Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=200, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,80,120,160', model='ResNet50_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.687, loss: 0.573 | Val-acc: 0.766 | time: 11.8
[Epoch 1] Train-acc: 0.877, loss: 0.308 | Val-acc: 0.791 | time: 5.6
[Epoch 2] Train-acc: 0.935, loss: 0.182 | Val-acc: 0.824 | time: 5.8
[Epoch 3] Train-acc: 0.966, loss: 0.110 | Val-acc: 0.833 | time: 5.8
[Epoch 4] Train-acc: 0.980, loss: 0.068 | Val-acc: 0.826 | time: 5.8
[Epoch 5] Train-acc: 0.983, loss: 0.059 | Val-acc: 0.824 | time: 5.6
[Epoch 6] Train-acc: 0.989, loss: 0.044 | Val-acc: 0.847 | time: 6.0
[Epoch 7] Train-acc: 0.993, loss: 0.031 | Val-acc: 0.854 | time: 5.9
[Epoch 8] Train-acc: 0.996, loss: 0.020 | Val-acc: 0.829 | time: 5.7
[Epoch 9] Train-acc: 0.997, loss: 0.016 | Val-acc: 0.829 | time: 5.6
[Epoch 10] Train-acc: 0.999, loss: 0.012 | Val-acc: 0.844 | time: 5.6
[Epoch 11] Train-acc: 0.996, loss: 0.014 | Val-acc: 0.842 | time: 5.7
[Epoch 12] Train-acc: 0.998, loss: 0.011 | Val-acc: 0.842 | time: 5.7
[Epoch 13] Train-acc: 0.998, loss: 0.011 | Val-acc: 0.838 | time: 5.7
[Epoch 14] Train-acc: 0.997, loss: 0.013 | Val-acc: 0.854 | time: 5.7
[Epoch 15] Train-acc: 0.998, loss: 0.013 | Val-acc: 0.847 | time: 5.7
[Epoch 16] Train-acc: 0.999, loss: 0.008 | Val-acc: 0.833 | time: 5.8
[Epoch 17] Train-acc: 0.999, loss: 0.008 | Val-acc: 0.836 | time: 5.6
