Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=100, input_sz=224, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70', model='ResNet50_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.746, loss: 0.501 | Val-acc: 0.890 | time: 26.8
[Epoch 1] Train-acc: 0.899, loss: 0.252 | Val-acc: 0.888 | time: 18.4
[Epoch 2] Train-acc: 0.924, loss: 0.199 | Val-acc: 0.908 | time: 18.3
[Epoch 3] Train-acc: 0.941, loss: 0.161 | Val-acc: 0.890 | time: 18.4
[Epoch 4] Train-acc: 0.946, loss: 0.145 | Val-acc: 0.910 | time: 18.3
[Epoch 5] Train-acc: 0.951, loss: 0.143 | Val-acc: 0.933 | time: 18.6
[Epoch 6] Train-acc: 0.951, loss: 0.128 | Val-acc: 0.914 | time: 18.4
[Epoch 7] Train-acc: 0.962, loss: 0.108 | Val-acc: 0.917 | time: 18.4
[Epoch 8] Train-acc: 0.966, loss: 0.087 | Val-acc: 0.897 | time: 18.4
[Epoch 9] Train-acc: 0.968, loss: 0.092 | Val-acc: 0.939 | time: 18.1
[Epoch 10] Train-acc: 0.967, loss: 0.097 | Val-acc: 0.897 | time: 18.3
[Epoch 11] Train-acc: 0.971, loss: 0.081 | Val-acc: 0.910 | time: 18.2
[Epoch 12] Train-acc: 0.969, loss: 0.085 | Val-acc: 0.915 | time: 18.2
[Epoch 13] Train-acc: 0.970, loss: 0.077 | Val-acc: 0.905 | time: 18.3
[Epoch 14] Train-acc: 0.977, loss: 0.062 | Val-acc: 0.901 | time: 18.8
[Epoch 15] Train-acc: 0.972, loss: 0.069 | Val-acc: 0.897 | time: 18.9
[Epoch 16] Train-acc: 0.981, loss: 0.056 | Val-acc: 0.903 | time: 18.5
[Epoch 17] Train-acc: 0.974, loss: 0.068 | Val-acc: 0.905 | time: 18.7
[Epoch 18] Train-acc: 0.976, loss: 0.062 | Val-acc: 0.905 | time: 18.5
[Epoch 19] Train-acc: 0.978, loss: 0.072 | Val-acc: 0.924 | time: 18.3
[Epoch 20] Train-acc: 0.974, loss: 0.065 | Val-acc: 0.915 | time: 18.4
[Epoch 21] Train-acc: 0.983, loss: 0.055 | Val-acc: 0.939 | time: 18.0
[Epoch 22] Train-acc: 0.979, loss: 0.057 | Val-acc: 0.926 | time: 18.6
[Epoch 23] Train-acc: 0.976, loss: 0.058 | Val-acc: 0.919 | time: 18.4
[Epoch 24] Train-acc: 0.980, loss: 0.054 | Val-acc: 0.897 | time: 18.6
[Epoch 25] Train-acc: 0.985, loss: 0.047 | Val-acc: 0.930 | time: 18.3
[Epoch 26] Train-acc: 0.985, loss: 0.040 | Val-acc: 0.930 | time: 18.2
[Epoch 27] Train-acc: 0.983, loss: 0.044 | Val-acc: 0.905 | time: 18.3
[Epoch 28] Train-acc: 0.983, loss: 0.052 | Val-acc: 0.910 | time: 18.5
[Epoch 29] Train-acc: 0.986, loss: 0.042 | Val-acc: 0.932 | time: 18.3
[Epoch 30] Train-acc: 0.981, loss: 0.052 | Val-acc: 0.917 | time: 18.2
[Epoch 31] Train-acc: 0.977, loss: 0.060 | Val-acc: 0.914 | time: 18.2
[Epoch 32] Train-acc: 0.985, loss: 0.045 | Val-acc: 0.912 | time: 18.1
[Epoch 33] Train-acc: 0.985, loss: 0.044 | Val-acc: 0.917 | time: 18.2
[Epoch 34] Train-acc: 0.979, loss: 0.053 | Val-acc: 0.921 | time: 18.4
[Epoch 35] Train-acc: 0.985, loss: 0.041 | Val-acc: 0.921 | time: 18.7
[Epoch 36] Train-acc: 0.983, loss: 0.046 | Val-acc: 0.917 | time: 18.7
[Epoch 37] Train-acc: 0.982, loss: 0.055 | Val-acc: 0.914 | time: 20.1
[Epoch 38] Train-acc: 0.990, loss: 0.032 | Val-acc: 0.923 | time: 20.1
[Epoch 39] Train-acc: 0.989, loss: 0.034 | Val-acc: 0.919 | time: 18.3
[Epoch 40] Train-acc: 0.984, loss: 0.045 | Val-acc: 0.906 | time: 18.9
[Epoch 41] Train-acc: 0.988, loss: 0.037 | Val-acc: 0.908 | time: 18.6
[Epoch 42] Train-acc: 0.986, loss: 0.038 | Val-acc: 0.924 | time: 18.1
[Epoch 43] Train-acc: 0.985, loss: 0.038 | Val-acc: 0.901 | time: 18.1
[Epoch 44] Train-acc: 0.982, loss: 0.046 | Val-acc: 0.910 | time: 18.1
[Epoch 45] Train-acc: 0.982, loss: 0.043 | Val-acc: 0.928 | time: 18.1
[Epoch 46] Train-acc: 0.986, loss: 0.037 | Val-acc: 0.912 | time: 18.2
[Epoch 47] Train-acc: 0.986, loss: 0.035 | Val-acc: 0.912 | time: 18.5
[Epoch 48] Train-acc: 0.986, loss: 0.039 | Val-acc: 0.921 | time: 18.5
[Epoch 49] Train-acc: 0.990, loss: 0.034 | Val-acc: 0.923 | time: 18.2
[Epoch 50] Train-acc: 0.985, loss: 0.042 | Val-acc: 0.915 | time: 18.8
[Epoch 51] Train-acc: 0.986, loss: 0.037 | Val-acc: 0.917 | time: 18.2
[Epoch 52] Train-acc: 0.988, loss: 0.035 | Val-acc: 0.919 | time: 18.2
[Epoch 53] Train-acc: 0.987, loss: 0.037 | Val-acc: 0.919 | time: 18.7
