Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='arm_network_v3.3', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.535, loss: 0.703 | Val-acc: 0.577 | time: 4.6
[Epoch 1] Train-acc: 0.580, loss: 0.673 | Val-acc: 0.601 | time: 4.2
[Epoch 2] Train-acc: 0.609, loss: 0.648 | Val-acc: 0.621 | time: 4.2
[Epoch 3] Train-acc: 0.662, loss: 0.616 | Val-acc: 0.635 | time: 4.2
[Epoch 4] Train-acc: 0.665, loss: 0.612 | Val-acc: 0.642 | time: 4.1
[Epoch 5] Train-acc: 0.685, loss: 0.591 | Val-acc: 0.662 | time: 4.1
[Epoch 6] Train-acc: 0.700, loss: 0.574 | Val-acc: 0.649 | time: 4.1
[Epoch 7] Train-acc: 0.703, loss: 0.571 | Val-acc: 0.646 | time: 4.2
[Epoch 8] Train-acc: 0.718, loss: 0.554 | Val-acc: 0.664 | time: 4.1
[Epoch 9] Train-acc: 0.725, loss: 0.537 | Val-acc: 0.662 | time: 4.2
[Epoch 10] Train-acc: 0.720, loss: 0.545 | Val-acc: 0.613 | time: 4.2
[Epoch 11] Train-acc: 0.737, loss: 0.532 | Val-acc: 0.656 | time: 4.1
[Epoch 12] Train-acc: 0.750, loss: 0.520 | Val-acc: 0.649 | time: 4.1
[Epoch 13] Train-acc: 0.742, loss: 0.500 | Val-acc: 0.642 | time: 4.2
[Epoch 14] Train-acc: 0.752, loss: 0.501 | Val-acc: 0.647 | time: 4.1
[Epoch 15] Train-acc: 0.757, loss: 0.493 | Val-acc: 0.658 | time: 4.2
[Epoch 16] Train-acc: 0.775, loss: 0.483 | Val-acc: 0.655 | time: 4.1
[Epoch 17] Train-acc: 0.760, loss: 0.484 | Val-acc: 0.644 | time: 4.1
[Epoch 18] Train-acc: 0.782, loss: 0.465 | Val-acc: 0.642 | time: 4.1
[Epoch 19] Train-acc: 0.780, loss: 0.457 | Val-acc: 0.680 | time: 4.1
[Epoch 20] Train-acc: 0.787, loss: 0.449 | Val-acc: 0.674 | time: 4.2
[Epoch 21] Train-acc: 0.790, loss: 0.444 | Val-acc: 0.658 | time: 4.1
[Epoch 22] Train-acc: 0.793, loss: 0.441 | Val-acc: 0.683 | time: 4.1
[Epoch 23] Train-acc: 0.805, loss: 0.428 | Val-acc: 0.683 | time: 4.3
[Epoch 24] Train-acc: 0.808, loss: 0.426 | Val-acc: 0.673 | time: 4.2
[Epoch 25] Train-acc: 0.796, loss: 0.422 | Val-acc: 0.662 | time: 4.3
[Epoch 26] Train-acc: 0.820, loss: 0.401 | Val-acc: 0.683 | time: 4.1
[Epoch 27] Train-acc: 0.827, loss: 0.395 | Val-acc: 0.682 | time: 4.3
[Epoch 28] Train-acc: 0.822, loss: 0.389 | Val-acc: 0.662 | time: 4.2
[Epoch 29] Train-acc: 0.834, loss: 0.377 | Val-acc: 0.700 | time: 4.2
[Epoch 30] Train-acc: 0.836, loss: 0.368 | Val-acc: 0.682 | time: 4.2
[Epoch 31] Train-acc: 0.842, loss: 0.370 | Val-acc: 0.665 | time: 4.1
[Epoch 32] Train-acc: 0.859, loss: 0.347 | Val-acc: 0.676 | time: 4.2
[Epoch 33] Train-acc: 0.848, loss: 0.351 | Val-acc: 0.633 | time: 4.1
[Epoch 34] Train-acc: 0.857, loss: 0.331 | Val-acc: 0.665 | time: 4.1
[Epoch 35] Train-acc: 0.838, loss: 0.360 | Val-acc: 0.680 | time: 4.2
[Epoch 36] Train-acc: 0.850, loss: 0.341 | Val-acc: 0.682 | time: 4.2
[Epoch 37] Train-acc: 0.855, loss: 0.333 | Val-acc: 0.635 | time: 4.2
[Epoch 38] Train-acc: 0.871, loss: 0.317 | Val-acc: 0.678 | time: 4.2
[Epoch 39] Train-acc: 0.865, loss: 0.327 | Val-acc: 0.662 | time: 4.2
[Epoch 40] Train-acc: 0.857, loss: 0.321 | Val-acc: 0.674 | time: 4.2
[Epoch 41] Train-acc: 0.867, loss: 0.309 | Val-acc: 0.656 | time: 4.1
[Epoch 42] Train-acc: 0.878, loss: 0.287 | Val-acc: 0.667 | time: 4.1
[Epoch 43] Train-acc: 0.878, loss: 0.296 | Val-acc: 0.689 | time: 4.2
[Epoch 44] Train-acc: 0.881, loss: 0.287 | Val-acc: 0.691 | time: 4.1
[Epoch 45] Train-acc: 0.873, loss: 0.285 | Val-acc: 0.665 | time: 4.2
[Epoch 46] Train-acc: 0.893, loss: 0.276 | Val-acc: 0.671 | time: 4.3
[Epoch 47] Train-acc: 0.874, loss: 0.292 | Val-acc: 0.687 | time: 4.1
[Epoch 48] Train-acc: 0.872, loss: 0.289 | Val-acc: 0.664 | time: 4.1
[Epoch 49] Train-acc: 0.890, loss: 0.279 | Val-acc: 0.682 | time: 4.1
[Epoch 50] Train-acc: 0.895, loss: 0.260 | Val-acc: 0.685 | time: 4.1
[Epoch 51] Train-acc: 0.912, loss: 0.242 | Val-acc: 0.703 | time: 4.1
[Epoch 52] Train-acc: 0.895, loss: 0.260 | Val-acc: 0.674 | time: 4.2
[Epoch 53] Train-acc: 0.912, loss: 0.229 | Val-acc: 0.701 | time: 4.2
[Epoch 54] Train-acc: 0.910, loss: 0.234 | Val-acc: 0.682 | time: 4.2
[Epoch 55] Train-acc: 0.896, loss: 0.249 | Val-acc: 0.685 | time: 4.1
[Epoch 56] Train-acc: 0.910, loss: 0.228 | Val-acc: 0.698 | time: 4.2
[Epoch 57] Train-acc: 0.913, loss: 0.231 | Val-acc: 0.683 | time: 4.2
[Epoch 58] Train-acc: 0.891, loss: 0.246 | Val-acc: 0.680 | time: 4.1
[Epoch 59] Train-acc: 0.911, loss: 0.222 | Val-acc: 0.689 | time: 4.2
[Epoch 60] Train-acc: 0.924, loss: 0.213 | Val-acc: 0.689 | time: 4.3
[Epoch 61] Train-acc: 0.918, loss: 0.213 | Val-acc: 0.705 | time: 4.2
[Epoch 62] Train-acc: 0.913, loss: 0.218 | Val-acc: 0.705 | time: 4.3
[Epoch 63] Train-acc: 0.905, loss: 0.220 | Val-acc: 0.664 | time: 4.2
[Epoch 64] Train-acc: 0.928, loss: 0.200 | Val-acc: 0.694 | time: 4.1
[Epoch 65] Train-acc: 0.918, loss: 0.214 | Val-acc: 0.694 | time: 4.2
[Epoch 66] Train-acc: 0.920, loss: 0.202 | Val-acc: 0.671 | time: 4.2
[Epoch 67] Train-acc: 0.921, loss: 0.195 | Val-acc: 0.700 | time: 4.1
