Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='arm_network_v3.3', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.522, loss: 0.708 | Val-acc: 0.547 | time: 4.6
[Epoch 1] Train-acc: 0.590, loss: 0.670 | Val-acc: 0.583 | time: 4.2
[Epoch 2] Train-acc: 0.605, loss: 0.666 | Val-acc: 0.619 | time: 4.2
[Epoch 3] Train-acc: 0.616, loss: 0.651 | Val-acc: 0.612 | time: 4.3
[Epoch 4] Train-acc: 0.620, loss: 0.652 | Val-acc: 0.640 | time: 4.3
[Epoch 5] Train-acc: 0.629, loss: 0.644 | Val-acc: 0.655 | time: 4.2
[Epoch 6] Train-acc: 0.642, loss: 0.647 | Val-acc: 0.667 | time: 4.2
[Epoch 7] Train-acc: 0.648, loss: 0.631 | Val-acc: 0.671 | time: 4.1
[Epoch 8] Train-acc: 0.647, loss: 0.624 | Val-acc: 0.651 | time: 4.2
[Epoch 9] Train-acc: 0.640, loss: 0.624 | Val-acc: 0.644 | time: 4.3
[Epoch 10] Train-acc: 0.650, loss: 0.622 | Val-acc: 0.685 | time: 4.2
[Epoch 11] Train-acc: 0.662, loss: 0.613 | Val-acc: 0.642 | time: 4.2
[Epoch 12] Train-acc: 0.650, loss: 0.620 | Val-acc: 0.673 | time: 4.3
[Epoch 13] Train-acc: 0.663, loss: 0.619 | Val-acc: 0.624 | time: 4.3
[Epoch 14] Train-acc: 0.657, loss: 0.612 | Val-acc: 0.678 | time: 4.3
[Epoch 15] Train-acc: 0.660, loss: 0.622 | Val-acc: 0.595 | time: 4.3
[Epoch 16] Train-acc: 0.665, loss: 0.613 | Val-acc: 0.649 | time: 4.3
[Epoch 17] Train-acc: 0.681, loss: 0.602 | Val-acc: 0.685 | time: 4.3
[Epoch 18] Train-acc: 0.670, loss: 0.606 | Val-acc: 0.658 | time: 4.3
[Epoch 19] Train-acc: 0.678, loss: 0.607 | Val-acc: 0.658 | time: 4.4
[Epoch 20] Train-acc: 0.670, loss: 0.605 | Val-acc: 0.621 | time: 4.3
[Epoch 21] Train-acc: 0.679, loss: 0.605 | Val-acc: 0.628 | time: 4.5
[Epoch 22] Train-acc: 0.688, loss: 0.608 | Val-acc: 0.683 | time: 4.3
[Epoch 23] Train-acc: 0.692, loss: 0.591 | Val-acc: 0.678 | time: 4.3
[Epoch 24] Train-acc: 0.678, loss: 0.590 | Val-acc: 0.673 | time: 4.4
[Epoch 25] Train-acc: 0.669, loss: 0.610 | Val-acc: 0.685 | time: 4.2
[Epoch 26] Train-acc: 0.667, loss: 0.608 | Val-acc: 0.665 | time: 4.3
[Epoch 27] Train-acc: 0.677, loss: 0.594 | Val-acc: 0.655 | time: 4.2
[Epoch 28] Train-acc: 0.704, loss: 0.584 | Val-acc: 0.649 | time: 4.4
[Epoch 29] Train-acc: 0.682, loss: 0.597 | Val-acc: 0.683 | time: 4.2
[Epoch 30] Train-acc: 0.693, loss: 0.573 | Val-acc: 0.673 | time: 4.1
[Epoch 31] Train-acc: 0.701, loss: 0.576 | Val-acc: 0.705 | time: 4.3
[Epoch 32] Train-acc: 0.683, loss: 0.585 | Val-acc: 0.680 | time: 4.3
[Epoch 33] Train-acc: 0.690, loss: 0.577 | Val-acc: 0.710 | time: 4.2
[Epoch 34] Train-acc: 0.686, loss: 0.583 | Val-acc: 0.678 | time: 4.2
[Epoch 35] Train-acc: 0.684, loss: 0.583 | Val-acc: 0.653 | time: 4.2
[Epoch 36] Train-acc: 0.705, loss: 0.568 | Val-acc: 0.646 | time: 4.2
[Epoch 37] Train-acc: 0.696, loss: 0.577 | Val-acc: 0.655 | time: 4.3
[Epoch 38] Train-acc: 0.690, loss: 0.589 | Val-acc: 0.667 | time: 4.2
[Epoch 39] Train-acc: 0.690, loss: 0.580 | Val-acc: 0.631 | time: 4.3
[Epoch 40] Train-acc: 0.692, loss: 0.581 | Val-acc: 0.687 | time: 4.3
[Epoch 41] Train-acc: 0.712, loss: 0.559 | Val-acc: 0.703 | time: 4.2
[Epoch 42] Train-acc: 0.705, loss: 0.565 | Val-acc: 0.700 | time: 4.3
[Epoch 43] Train-acc: 0.713, loss: 0.558 | Val-acc: 0.721 | time: 4.3
[Epoch 44] Train-acc: 0.704, loss: 0.569 | Val-acc: 0.734 | time: 4.3
[Epoch 45] Train-acc: 0.700, loss: 0.569 | Val-acc: 0.700 | time: 4.2
[Epoch 46] Train-acc: 0.729, loss: 0.558 | Val-acc: 0.694 | time: 4.2
[Epoch 47] Train-acc: 0.734, loss: 0.547 | Val-acc: 0.669 | time: 4.3
[Epoch 48] Train-acc: 0.704, loss: 0.568 | Val-acc: 0.710 | time: 4.2
[Epoch 49] Train-acc: 0.718, loss: 0.558 | Val-acc: 0.653 | time: 4.3
[Epoch 50] Train-acc: 0.705, loss: 0.567 | Val-acc: 0.680 | time: 4.3
