Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.534, loss: 0.690 | Val-acc-top1: 0.571 | Val-acc-top5: 1.000 | time: 10.1 | Speed: 167.65 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.592, loss: 0.668 | Val-acc-top1: 0.650 | Val-acc-top5: 1.000 | time: 9.1 | Speed: 186.61 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.634, loss: 0.654 | Val-acc-top1: 0.627 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 189.29 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.655, loss: 0.626 | Val-acc-top1: 0.671 | Val-acc-top5: 1.000 | time: 8.6 | Speed: 196.88 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.675, loss: 0.597 | Val-acc-top1: 0.690 | Val-acc-top5: 1.000 | time: 8.9 | Speed: 191.58 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.685, loss: 0.597 | Val-acc-top1: 0.720 | Val-acc-top5: 1.000 | time: 10.0 | Speed: 170.54 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.730, loss: 0.563 | Val-acc-top1: 0.632 | Val-acc-top5: 1.000 | time: 9.4 | Speed: 181.48 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.724, loss: 0.555 | Val-acc-top1: 0.578 | Val-acc-top5: 1.000 | time: 8.9 | Speed: 190.81 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.703, loss: 0.592 | Val-acc-top1: 0.627 | Val-acc-top5: 1.000 | time: 9.2 | Speed: 185.47 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.723, loss: 0.554 | Val-acc-top1: 0.655 | Val-acc-top5: 1.000 | time: 8.7 | Speed: 195.99 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.743, loss: 0.544 | Val-acc-top1: 0.711 | Val-acc-top5: 1.000 | time: 8.7 | Speed: 194.58 samples/sec | lr: 0.00750000
[Epoch 11] Train-acc: 0.742, loss: 0.533 | Val-acc-top1: 0.758 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 179.98 samples/sec | lr: 0.00750000
[Epoch 12] Train-acc: 0.738, loss: 0.525 | Val-acc-top1: 0.760 | Val-acc-top5: 1.000 | time: 9.2 | Speed: 184.00 samples/sec | lr: 0.00750000
[Epoch 13] Train-acc: 0.754, loss: 0.527 | Val-acc-top1: 0.741 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 193.48 samples/sec | lr: 0.00750000
[Epoch 14] Train-acc: 0.761, loss: 0.497 | Val-acc-top1: 0.774 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 179.11 samples/sec | lr: 0.00750000
[Epoch 15] Train-acc: 0.754, loss: 0.510 | Val-acc-top1: 0.807 | Val-acc-top5: 1.000 | time: 9.3 | Speed: 182.58 samples/sec | lr: 0.00750000
[Epoch 16] Train-acc: 0.751, loss: 0.514 | Val-acc-top1: 0.758 | Val-acc-top5: 1.000 | time: 9.6 | Speed: 176.59 samples/sec | lr: 0.00750000
[Epoch 17] Train-acc: 0.754, loss: 0.515 | Val-acc-top1: 0.762 | Val-acc-top5: 1.000 | time: 9.4 | Speed: 181.80 samples/sec | lr: 0.00750000
[Epoch 18] Train-acc: 0.743, loss: 0.520 | Val-acc-top1: 0.667 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 193.58 samples/sec | lr: 0.00562500
[Epoch 19] Train-acc: 0.751, loss: 0.516 | Val-acc-top1: 0.671 | Val-acc-top5: 1.000 | time: 8.7 | Speed: 195.64 samples/sec | lr: 0.00562500
[Epoch 20] Train-acc: 0.764, loss: 0.505 | Val-acc-top1: 0.762 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 178.23 samples/sec | lr: 0.00562500
