Namespace(batch_size=32, input_sz=112, log_interval=200, lr=0.001, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.5.2', momentum=0.9, num_class=2, num_epochs=200, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.5.2_112_8435/ImageNet-arm_network_v3.5.2-best-42_3440.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.731, loss: 0.820 | Val-acc-top1: 0.764 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 330.60 samples/sec | lr: 0.00100000
[Epoch 1] Train-acc: 0.792, loss: 0.462 | Val-acc-top1: 0.775 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 357.72 samples/sec | lr: 0.00100000
[Epoch 2] Train-acc: 0.821, loss: 0.391 | Val-acc-top1: 0.793 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 352.98 samples/sec | lr: 0.00100000
[Epoch 3] Train-acc: 0.839, loss: 0.371 | Val-acc-top1: 0.788 | Val-acc-top5: 1.000 | time: 5.9 | Speed: 370.27 samples/sec | lr: 0.00100000
[Epoch 4] Train-acc: 0.841, loss: 0.352 | Val-acc-top1: 0.791 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 348.61 samples/sec | lr: 0.00100000
[Epoch 5] Train-acc: 0.852, loss: 0.348 | Val-acc-top1: 0.818 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 360.32 samples/sec | lr: 0.00100000
[Epoch 6] Train-acc: 0.861, loss: 0.325 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 362.22 samples/sec | lr: 0.00100000
[Epoch 7] Train-acc: 0.857, loss: 0.324 | Val-acc-top1: 0.815 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 360.02 samples/sec | lr: 0.00100000
[Epoch 8] Train-acc: 0.855, loss: 0.326 | Val-acc-top1: 0.827 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 354.91 samples/sec | lr: 0.00100000
[Epoch 9] Train-acc: 0.868, loss: 0.307 | Val-acc-top1: 0.806 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 362.84 samples/sec | lr: 0.00075000
[Epoch 10] Train-acc: 0.875, loss: 0.290 | Val-acc-top1: 0.799 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 364.76 samples/sec | lr: 0.00075000
[Epoch 11] Train-acc: 0.874, loss: 0.300 | Val-acc-top1: 0.815 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 364.10 samples/sec | lr: 0.00075000
[Epoch 12] Train-acc: 0.885, loss: 0.277 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 357.26 samples/sec | lr: 0.00075000
[Epoch 13] Train-acc: 0.871, loss: 0.296 | Val-acc-top1: 0.781 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 365.29 samples/sec | lr: 0.00075000
[Epoch 14] Train-acc: 0.874, loss: 0.296 | Val-acc-top1: 0.836 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 366.84 samples/sec | lr: 0.00075000
[Epoch 15] Train-acc: 0.874, loss: 0.304 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 355.56 samples/sec | lr: 0.00075000
[Epoch 16] Train-acc: 0.885, loss: 0.268 | Val-acc-top1: 0.831 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 356.96 samples/sec | lr: 0.00075000
[Epoch 17] Train-acc: 0.875, loss: 0.297 | Val-acc-top1: 0.847 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 356.55 samples/sec | lr: 0.00075000
[Epoch 18] Train-acc: 0.881, loss: 0.281 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 365.36 samples/sec | lr: 0.00075000
[Epoch 19] Train-acc: 0.885, loss: 0.271 | Val-acc-top1: 0.804 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 358.34 samples/sec | lr: 0.00056250
[Epoch 20] Train-acc: 0.883, loss: 0.282 | Val-acc-top1: 0.826 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 365.38 samples/sec | lr: 0.00056250
[Epoch 21] Train-acc: 0.879, loss: 0.285 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 359.94 samples/sec | lr: 0.00056250
[Epoch 22] Train-acc: 0.879, loss: 0.282 | Val-acc-top1: 0.842 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 366.30 samples/sec | lr: 0.00056250
[Epoch 23] Train-acc: 0.886, loss: 0.256 | Val-acc-top1: 0.845 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 359.05 samples/sec | lr: 0.00056250
[Epoch 24] Train-acc: 0.893, loss: 0.255 | Val-acc-top1: 0.844 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 357.15 samples/sec | lr: 0.00056250
[Epoch 25] Train-acc: 0.891, loss: 0.267 | Val-acc-top1: 0.840 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 358.23 samples/sec | lr: 0.00056250
[Epoch 26] Train-acc: 0.889, loss: 0.262 | Val-acc-top1: 0.835 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 362.67 samples/sec | lr: 0.00056250
[Epoch 27] Train-acc: 0.897, loss: 0.244 | Val-acc-top1: 0.851 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 361.52 samples/sec | lr: 0.00056250
[Epoch 28] Train-acc: 0.893, loss: 0.267 | Val-acc-top1: 0.829 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 348.47 samples/sec | lr: 0.00056250
[Epoch 29] Train-acc: 0.882, loss: 0.277 | Val-acc-top1: 0.840 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 353.43 samples/sec | lr: 0.00042187
[Epoch 30] Train-acc: 0.894, loss: 0.245 | Val-acc-top1: 0.849 | Val-acc-top5: 1.000 | time: 6.9 | Speed: 317.69 samples/sec | lr: 0.00042187
[Epoch 31] Train-acc: 0.889, loss: 0.258 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 359.13 samples/sec | lr: 0.00042187
