Namespace(batch_size=64, input_sz=112, log_interval=200, lr=0.0001, lr_decay=0.5, lr_decay_epoch='500', lr_decay_period=0, lr_mode='step', model='arm_network_v3.5.2', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.5.2_112/2019-05-29_08.32_8705/ZaloAILandmark-arm_network_v3.5.2-best-178.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.928, loss: 0.175 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 324.03 samples/sec | lr: 0.00010000
[Epoch 1] Train-acc: 0.929, loss: 0.185 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 344.12 samples/sec | lr: 0.00010000
[Epoch 2] Train-acc: 0.928, loss: 0.187 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 350.60 samples/sec | lr: 0.00010000
[Epoch 3] Train-acc: 0.928, loss: 0.183 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 358.20 samples/sec | lr: 0.00010000
[Epoch 4] Train-acc: 0.925, loss: 0.186 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 362.34 samples/sec | lr: 0.00010000
[Epoch 5] Train-acc: 0.924, loss: 0.188 | Val-acc-top1: 0.867 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 364.69 samples/sec | lr: 0.00010000
[Epoch 6] Train-acc: 0.933, loss: 0.171 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 348.58 samples/sec | lr: 0.00010000
[Epoch 7] Train-acc: 0.930, loss: 0.174 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 364.97 samples/sec | lr: 0.00010000
[Epoch 8] Train-acc: 0.925, loss: 0.190 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 344.53 samples/sec | lr: 0.00010000
[Epoch 9] Train-acc: 0.929, loss: 0.181 | Val-acc-top1: 0.867 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 364.79 samples/sec | lr: 0.00010000
[Epoch 10] Train-acc: 0.923, loss: 0.190 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 366.46 samples/sec | lr: 0.00010000
[Epoch 11] Train-acc: 0.934, loss: 0.174 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 361.19 samples/sec | lr: 0.00010000
[Epoch 12] Train-acc: 0.927, loss: 0.180 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 353.22 samples/sec | lr: 0.00010000
[Epoch 13] Train-acc: 0.925, loss: 0.183 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 351.85 samples/sec | lr: 0.00010000
[Epoch 14] Train-acc: 0.922, loss: 0.183 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 357.56 samples/sec | lr: 0.00010000
[Epoch 15] Train-acc: 0.939, loss: 0.166 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 358.99 samples/sec | lr: 0.00010000
[Epoch 16] Train-acc: 0.937, loss: 0.162 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 348.41 samples/sec | lr: 0.00010000
[Epoch 17] Train-acc: 0.925, loss: 0.184 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 355.66 samples/sec | lr: 0.00010000
[Epoch 18] Train-acc: 0.928, loss: 0.178 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 355.71 samples/sec | lr: 0.00010000
[Epoch 19] Train-acc: 0.925, loss: 0.178 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 356.14 samples/sec | lr: 0.00010000
[Epoch 20] Train-acc: 0.931, loss: 0.173 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 358.24 samples/sec | lr: 0.00010000
[Epoch 21] Train-acc: 0.931, loss: 0.183 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 361.41 samples/sec | lr: 0.00010000
[Epoch 22] Train-acc: 0.935, loss: 0.162 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 366.78 samples/sec | lr: 0.00010000
[Epoch 23] Train-acc: 0.924, loss: 0.188 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 352.42 samples/sec | lr: 0.00010000
[Epoch 24] Train-acc: 0.930, loss: 0.174 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.1 | Speed: 362.94 samples/sec | lr: 0.00010000
[Epoch 25] Train-acc: 0.932, loss: 0.170 | Val-acc-top1: 0.869 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 346.35 samples/sec | lr: 0.00010000
