Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.5.2', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.5.2_112_8831/ImageNet_v3.5.2_3440.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.670, loss: 1.552 | Val-acc-top1: 0.552 | Val-acc-top5: 1.000 | time: 10.4 | Speed: 163.11 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.744, loss: 0.615 | Val-acc-top1: 0.755 | Val-acc-top5: 1.000 | time: 9.2 | Speed: 184.59 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.784, loss: 0.464 | Val-acc-top1: 0.830 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 189.20 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.815, loss: 0.426 | Val-acc-top1: 0.848 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 179.66 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.828, loss: 0.392 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 8.7 | Speed: 195.71 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.831, loss: 0.373 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 9.1 | Speed: 186.60 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.847, loss: 0.350 | Val-acc-top1: 0.828 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 193.07 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.851, loss: 0.339 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 9.6 | Speed: 178.03 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.850, loss: 0.336 | Val-acc-top1: 0.900 | Val-acc-top5: 1.000 | time: 9.4 | Speed: 181.18 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.853, loss: 0.322 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 9.6 | Speed: 177.05 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.855, loss: 0.327 | Val-acc-top1: 0.895 | Val-acc-top5: 1.000 | time: 9.1 | Speed: 186.59 samples/sec | lr: 0.00750000
[Epoch 11] Train-acc: 0.864, loss: 0.320 | Val-acc-top1: 0.883 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 193.39 samples/sec | lr: 0.00750000
[Epoch 12] Train-acc: 0.871, loss: 0.317 | Val-acc-top1: 0.918 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 178.49 samples/sec | lr: 0.00750000
[Epoch 13] Train-acc: 0.879, loss: 0.291 | Val-acc-top1: 0.923 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 189.16 samples/sec | lr: 0.00750000
[Epoch 14] Train-acc: 0.868, loss: 0.316 | Val-acc-top1: 0.916 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 192.63 samples/sec | lr: 0.00750000
[Epoch 15] Train-acc: 0.887, loss: 0.276 | Val-acc-top1: 0.907 | Val-acc-top5: 1.000 | time: 9.7 | Speed: 176.10 samples/sec | lr: 0.00750000
[Epoch 16] Train-acc: 0.881, loss: 0.277 | Val-acc-top1: 0.881 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 189.46 samples/sec | lr: 0.00750000
[Epoch 17] Train-acc: 0.876, loss: 0.293 | Val-acc-top1: 0.923 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 194.15 samples/sec | lr: 0.00750000
[Epoch 18] Train-acc: 0.885, loss: 0.285 | Val-acc-top1: 0.921 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 178.19 samples/sec | lr: 0.00562500
[Epoch 19] Train-acc: 0.869, loss: 0.275 | Val-acc-top1: 0.918 | Val-acc-top5: 1.000 | time: 9.1 | Speed: 186.28 samples/sec | lr: 0.00562500
[Epoch 20] Train-acc: 0.896, loss: 0.269 | Val-acc-top1: 0.921 | Val-acc-top5: 1.000 | time: 9.6 | Speed: 177.37 samples/sec | lr: 0.00562500
[Epoch 21] Train-acc: 0.900, loss: 0.238 | Val-acc-top1: 0.930 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 192.39 samples/sec | lr: 0.00562500
[Epoch 22] Train-acc: 0.885, loss: 0.267 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 187.99 samples/sec | lr: 0.00562500
