Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='arm_network_v3.5.4', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.574, loss: 0.695 | Val-acc: 0.626 | time: 5.2
[Epoch 1] Train-acc: 0.639, loss: 0.644 | Val-acc: 0.647 | time: 4.4
[Epoch 2] Train-acc: 0.655, loss: 0.627 | Val-acc: 0.644 | time: 4.5
[Epoch 3] Train-acc: 0.660, loss: 0.635 | Val-acc: 0.660 | time: 4.5
[Epoch 4] Train-acc: 0.662, loss: 0.631 | Val-acc: 0.644 | time: 4.3
[Epoch 5] Train-acc: 0.647, loss: 0.624 | Val-acc: 0.647 | time: 4.4
[Epoch 6] Train-acc: 0.665, loss: 0.619 | Val-acc: 0.669 | time: 4.4
[Epoch 7] Train-acc: 0.666, loss: 0.610 | Val-acc: 0.673 | time: 4.4
[Epoch 8] Train-acc: 0.665, loss: 0.610 | Val-acc: 0.651 | time: 4.3
[Epoch 9] Train-acc: 0.661, loss: 0.608 | Val-acc: 0.662 | time: 4.4
[Epoch 10] Train-acc: 0.665, loss: 0.607 | Val-acc: 0.676 | time: 4.4
[Epoch 11] Train-acc: 0.715, loss: 0.580 | Val-acc: 0.676 | time: 4.4
[Epoch 12] Train-acc: 0.687, loss: 0.589 | Val-acc: 0.673 | time: 4.3
[Epoch 13] Train-acc: 0.688, loss: 0.594 | Val-acc: 0.700 | time: 4.2
[Epoch 14] Train-acc: 0.687, loss: 0.581 | Val-acc: 0.719 | time: 4.3
[Epoch 15] Train-acc: 0.692, loss: 0.573 | Val-acc: 0.694 | time: 4.4
[Epoch 16] Train-acc: 0.700, loss: 0.568 | Val-acc: 0.728 | time: 4.3
[Epoch 17] Train-acc: 0.698, loss: 0.587 | Val-acc: 0.730 | time: 4.4
[Epoch 18] Train-acc: 0.700, loss: 0.568 | Val-acc: 0.655 | time: 4.3
[Epoch 19] Train-acc: 0.716, loss: 0.562 | Val-acc: 0.646 | time: 4.2
[Epoch 20] Train-acc: 0.722, loss: 0.556 | Val-acc: 0.669 | time: 4.4
[Epoch 21] Train-acc: 0.716, loss: 0.560 | Val-acc: 0.727 | time: 4.3
[Epoch 22] Train-acc: 0.727, loss: 0.549 | Val-acc: 0.737 | time: 4.4
[Epoch 23] Train-acc: 0.729, loss: 0.539 | Val-acc: 0.755 | time: 4.3
[Epoch 24] Train-acc: 0.720, loss: 0.546 | Val-acc: 0.759 | time: 4.2
[Epoch 25] Train-acc: 0.722, loss: 0.551 | Val-acc: 0.750 | time: 4.3
[Epoch 26] Train-acc: 0.728, loss: 0.535 | Val-acc: 0.763 | time: 4.3
[Epoch 27] Train-acc: 0.710, loss: 0.559 | Val-acc: 0.748 | time: 4.2
[Epoch 28] Train-acc: 0.723, loss: 0.550 | Val-acc: 0.678 | time: 4.3
[Epoch 29] Train-acc: 0.725, loss: 0.534 | Val-acc: 0.754 | time: 4.2
