Namespace(batch_size=64, input_sz=160, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v4.5.2', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.613, loss: 0.664 | Val-acc-top1: 0.629 | Val-acc-top5: 1.000 | time: 107.7 | Speed: 20.43 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.650, loss: 0.635 | Val-acc-top1: 0.640 | Val-acc-top5: 1.000 | time: 46.8 | Speed: 46.99 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.648, loss: 0.618 | Val-acc-top1: 0.527 | Val-acc-top5: 1.000 | time: 46.6 | Speed: 47.19 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.672, loss: 0.612 | Val-acc-top1: 0.682 | Val-acc-top5: 1.000 | time: 43.2 | Speed: 50.90 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.680, loss: 0.602 | Val-acc-top1: 0.689 | Val-acc-top5: 1.000 | time: 44.5 | Speed: 49.41 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.675, loss: 0.595 | Val-acc-top1: 0.673 | Val-acc-top5: 1.000 | time: 45.2 | Speed: 48.63 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.677, loss: 0.595 | Val-acc-top1: 0.656 | Val-acc-top5: 1.000 | time: 43.8 | Speed: 50.23 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.699, loss: 0.589 | Val-acc-top1: 0.525 | Val-acc-top5: 1.000 | time: 44.9 | Speed: 49.05 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.703, loss: 0.576 | Val-acc-top1: 0.563 | Val-acc-top5: 1.000 | time: 48.7 | Speed: 45.16 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.708, loss: 0.574 | Val-acc-top1: 0.671 | Val-acc-top5: 1.000 | time: 46.9 | Speed: 46.94 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.710, loss: 0.571 | Val-acc-top1: 0.606 | Val-acc-top5: 1.000 | time: 45.3 | Speed: 48.59 samples/sec | lr: 0.00750000
[Epoch 11] Train-acc: 0.710, loss: 0.558 | Val-acc-top1: 0.727 | Val-acc-top5: 1.000 | time: 45.6 | Speed: 48.29 samples/sec | lr: 0.00750000
[Epoch 12] Train-acc: 0.730, loss: 0.546 | Val-acc-top1: 0.741 | Val-acc-top5: 1.000 | time: 48.4 | Speed: 45.44 samples/sec | lr: 0.00750000
[Epoch 13] Train-acc: 0.727, loss: 0.543 | Val-acc-top1: 0.719 | Val-acc-top5: 1.000 | time: 48.1 | Speed: 45.72 samples/sec | lr: 0.00750000
[Epoch 14] Train-acc: 0.710, loss: 0.551 | Val-acc-top1: 0.714 | Val-acc-top5: 1.000 | time: 45.3 | Speed: 48.53 samples/sec | lr: 0.00750000
[Epoch 15] Train-acc: 0.710, loss: 0.562 | Val-acc-top1: 0.554 | Val-acc-top5: 1.000 | time: 47.0 | Speed: 46.82 samples/sec | lr: 0.00750000
[Epoch 16] Train-acc: 0.724, loss: 0.534 | Val-acc-top1: 0.523 | Val-acc-top5: 1.000 | time: 45.7 | Speed: 48.11 samples/sec | lr: 0.00750000
[Epoch 17] Train-acc: 0.724, loss: 0.540 | Val-acc-top1: 0.763 | Val-acc-top5: 1.000 | time: 47.1 | Speed: 46.69 samples/sec | lr: 0.00750000
[Epoch 18] Train-acc: 0.745, loss: 0.518 | Val-acc-top1: 0.755 | Val-acc-top5: 1.000 | time: 46.3 | Speed: 47.53 samples/sec | lr: 0.00750000
[Epoch 19] Train-acc: 0.747, loss: 0.514 | Val-acc-top1: 0.613 | Val-acc-top5: 1.000 | time: 45.6 | Speed: 48.26 samples/sec | lr: 0.00562500
[Epoch 20] Train-acc: 0.772, loss: 0.481 | Val-acc-top1: 0.716 | Val-acc-top5: 1.000 | time: 44.5 | Speed: 49.41 samples/sec | lr: 0.00562500
[Epoch 21] Train-acc: 0.767, loss: 0.488 | Val-acc-top1: 0.725 | Val-acc-top5: 1.000 | time: 48.0 | Speed: 45.80 samples/sec | lr: 0.00562500
[Epoch 22] Train-acc: 0.750, loss: 0.500 | Val-acc-top1: 0.763 | Val-acc-top5: 1.000 | time: 48.7 | Speed: 45.13 samples/sec | lr: 0.00562500
[Epoch 23] Train-acc: 0.770, loss: 0.484 | Val-acc-top1: 0.682 | Val-acc-top5: 1.000 | time: 48.7 | Speed: 45.19 samples/sec | lr: 0.00562500
[Epoch 24] Train-acc: 0.778, loss: 0.466 | Val-acc-top1: 0.791 | Val-acc-top5: 1.000 | time: 52.3 | Speed: 42.10 samples/sec | lr: 0.00562500
[Epoch 25] Train-acc: 0.782, loss: 0.476 | Val-acc-top1: 0.790 | Val-acc-top5: 1.000 | time: 47.6 | Speed: 46.26 samples/sec | lr: 0.00562500
[Epoch 26] Train-acc: 0.766, loss: 0.481 | Val-acc-top1: 0.757 | Val-acc-top5: 1.000 | time: 46.0 | Speed: 47.85 samples/sec | lr: 0.00562500
[Epoch 27] Train-acc: 0.792, loss: 0.461 | Val-acc-top1: 0.809 | Val-acc-top5: 1.000 | time: 45.9 | Speed: 47.92 samples/sec | lr: 0.00562500
[Epoch 28] Train-acc: 0.802, loss: 0.432 | Val-acc-top1: 0.800 | Val-acc-top5: 1.000 | time: 47.3 | Speed: 46.48 samples/sec | lr: 0.00562500
[Epoch 29] Train-acc: 0.788, loss: 0.450 | Val-acc-top1: 0.716 | Val-acc-top5: 1.000 | time: 47.6 | Speed: 46.21 samples/sec | lr: 0.00421875
[Epoch 30] Train-acc: 0.799, loss: 0.437 | Val-acc-top1: 0.800 | Val-acc-top5: 1.000 | time: 45.1 | Speed: 48.73 samples/sec | lr: 0.00421875
[Epoch 31] Train-acc: 0.793, loss: 0.436 | Val-acc-top1: 0.612 | Val-acc-top5: 1.000 | time: 46.2 | Speed: 47.65 samples/sec | lr: 0.00421875
[Epoch 32] Train-acc: 0.788, loss: 0.440 | Val-acc-top1: 0.763 | Val-acc-top5: 1.000 | time: 45.2 | Speed: 48.70 samples/sec | lr: 0.00421875
[Epoch 33] Train-acc: 0.815, loss: 0.405 | Val-acc-top1: 0.750 | Val-acc-top5: 1.000 | time: 44.7 | Speed: 49.22 samples/sec | lr: 0.00421875
[Epoch 34] Train-acc: 0.815, loss: 0.410 | Val-acc-top1: 0.791 | Val-acc-top5: 1.000 | time: 47.6 | Speed: 46.20 samples/sec | lr: 0.00421875
