Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v4.5.3', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=4, resume_epoch=0, resume_params='arm_network_v4.5.3_180/ImageNet-arm_network_v4.5.3-best-53.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.660, loss: 1.509 | Val-acc-top1: 0.775 | Val-acc-top5: 1.000 | time: 48.1 | Speed: 45.72 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.809, loss: 0.411 | Val-acc-top1: 0.818 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 281.53 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.859, loss: 0.340 | Val-acc-top1: 0.822 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 273.76 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.860, loss: 0.316 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 269.95 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.872, loss: 0.285 | Val-acc-top1: 0.788 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.18 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.891, loss: 0.263 | Val-acc-top1: 0.835 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.85 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.889, loss: 0.256 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 8.2 | Speed: 269.07 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.894, loss: 0.249 | Val-acc-top1: 0.836 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 272.23 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.899, loss: 0.255 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 274.15 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.910, loss: 0.223 | Val-acc-top1: 0.820 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 276.86 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.903, loss: 0.223 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 272.52 samples/sec | lr: 0.00750000
[Epoch 11] Train-acc: 0.904, loss: 0.225 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 279.57 samples/sec | lr: 0.00750000
[Epoch 12] Train-acc: 0.921, loss: 0.209 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 295.55 samples/sec | lr: 0.00750000
[Epoch 13] Train-acc: 0.911, loss: 0.208 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.27 samples/sec | lr: 0.00750000
[Epoch 14] Train-acc: 0.924, loss: 0.198 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 283.69 samples/sec | lr: 0.00750000
[Epoch 15] Train-acc: 0.915, loss: 0.203 | Val-acc-top1: 0.817 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 279.71 samples/sec | lr: 0.00750000
[Epoch 16] Train-acc: 0.928, loss: 0.177 | Val-acc-top1: 0.831 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.00 samples/sec | lr: 0.00750000
[Epoch 17] Train-acc: 0.935, loss: 0.164 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.55 samples/sec | lr: 0.00750000
[Epoch 18] Train-acc: 0.922, loss: 0.196 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 8.3 | Speed: 264.51 samples/sec | lr: 0.00562500
[Epoch 19] Train-acc: 0.921, loss: 0.194 | Val-acc-top1: 0.883 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 274.52 samples/sec | lr: 0.00562500
[Epoch 20] Train-acc: 0.934, loss: 0.167 | Val-acc-top1: 0.879 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 283.94 samples/sec | lr: 0.00562500
[Epoch 21] Train-acc: 0.942, loss: 0.162 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 8.4 | Speed: 263.35 samples/sec | lr: 0.00562500
[Epoch 22] Train-acc: 0.932, loss: 0.162 | Val-acc-top1: 0.887 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 282.65 samples/sec | lr: 0.00562500
[Epoch 23] Train-acc: 0.930, loss: 0.158 | Val-acc-top1: 0.838 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 274.83 samples/sec | lr: 0.00562500
[Epoch 24] Train-acc: 0.936, loss: 0.155 | Val-acc-top1: 0.790 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 286.75 samples/sec | lr: 0.00562500
[Epoch 25] Train-acc: 0.931, loss: 0.172 | Val-acc-top1: 0.879 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 276.63 samples/sec | lr: 0.00562500
[Epoch 26] Train-acc: 0.944, loss: 0.153 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 278.99 samples/sec | lr: 0.00562500
[Epoch 27] Train-acc: 0.932, loss: 0.164 | Val-acc-top1: 0.876 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 284.10 samples/sec | lr: 0.00562500
[Epoch 28] Train-acc: 0.943, loss: 0.170 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.34 samples/sec | lr: 0.00421875
[Epoch 29] Train-acc: 0.940, loss: 0.156 | Val-acc-top1: 0.892 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 277.80 samples/sec | lr: 0.00421875
[Epoch 30] Train-acc: 0.933, loss: 0.168 | Val-acc-top1: 0.869 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.24 samples/sec | lr: 0.00421875
[Epoch 31] Train-acc: 0.945, loss: 0.149 | Val-acc-top1: 0.885 | Val-acc-top5: 1.000 | time: 8.3 | Speed: 264.22 samples/sec | lr: 0.00421875
[Epoch 32] Train-acc: 0.940, loss: 0.148 | Val-acc-top1: 0.874 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 285.29 samples/sec | lr: 0.00421875
[Epoch 33] Train-acc: 0.943, loss: 0.143 | Val-acc-top1: 0.890 | Val-acc-top5: 1.000 | time: 8.5 | Speed: 258.96 samples/sec | lr: 0.00421875
[Epoch 34] Train-acc: 0.949, loss: 0.118 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 282.25 samples/sec | lr: 0.00421875
[Epoch 35] Train-acc: 0.938, loss: 0.172 | Val-acc-top1: 0.879 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 286.26 samples/sec | lr: 0.00421875
[Epoch 36] Train-acc: 0.954, loss: 0.129 | Val-acc-top1: 0.881 | Val-acc-top5: 1.000 | time: 8.3 | Speed: 265.20 samples/sec | lr: 0.00421875
[Epoch 37] Train-acc: 0.946, loss: 0.140 | Val-acc-top1: 0.896 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 276.26 samples/sec | lr: 0.00316406
[Epoch 38] Train-acc: 0.945, loss: 0.129 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 270.93 samples/sec | lr: 0.00316406
[Epoch 39] Train-acc: 0.950, loss: 0.128 | Val-acc-top1: 0.876 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 280.17 samples/sec | lr: 0.00316406
[Epoch 40] Train-acc: 0.955, loss: 0.115 | Val-acc-top1: 0.878 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.21 samples/sec | lr: 0.00316406
[Epoch 41] Train-acc: 0.945, loss: 0.130 | Val-acc-top1: 0.878 | Val-acc-top5: 1.000 | time: 8.2 | Speed: 269.83 samples/sec | lr: 0.00316406
[Epoch 42] Train-acc: 0.964, loss: 0.101 | Val-acc-top1: 0.896 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 272.12 samples/sec | lr: 0.00316406
[Epoch 43] Train-acc: 0.951, loss: 0.128 | Val-acc-top1: 0.892 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 278.76 samples/sec | lr: 0.00316406
[Epoch 44] Train-acc: 0.954, loss: 0.120 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 277.06 samples/sec | lr: 0.00316406
[Epoch 45] Train-acc: 0.941, loss: 0.145 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 283.98 samples/sec | lr: 0.00316406
[Epoch 46] Train-acc: 0.959, loss: 0.105 | Val-acc-top1: 0.890 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 274.08 samples/sec | lr: 0.00316406
[Epoch 47] Train-acc: 0.961, loss: 0.108 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 276.26 samples/sec | lr: 0.00237305
[Epoch 48] Train-acc: 0.950, loss: 0.115 | Val-acc-top1: 0.879 | Val-acc-top5: 1.000 | time: 8.2 | Speed: 266.92 samples/sec | lr: 0.00237305
[Epoch 49] Train-acc: 0.955, loss: 0.115 | Val-acc-top1: 0.896 | Val-acc-top5: 1.000 | time: 8.2 | Speed: 266.69 samples/sec | lr: 0.00237305
[Epoch 50] Train-acc: 0.962, loss: 0.104 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.53 samples/sec | lr: 0.00237305
[Epoch 51] Train-acc: 0.957, loss: 0.121 | Val-acc-top1: 0.869 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 271.16 samples/sec | lr: 0.00237305
[Epoch 52] Train-acc: 0.957, loss: 0.104 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 284.39 samples/sec | lr: 0.00237305
[Epoch 53] Train-acc: 0.961, loss: 0.100 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.29 samples/sec | lr: 0.00237305
[Epoch 54] Train-acc: 0.950, loss: 0.124 | Val-acc-top1: 0.890 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 271.35 samples/sec | lr: 0.00237305
[Epoch 55] Train-acc: 0.954, loss: 0.114 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 280.60 samples/sec | lr: 0.00237305
[Epoch 56] Train-acc: 0.955, loss: 0.121 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 276.04 samples/sec | lr: 0.00237305
[Epoch 57] Train-acc: 0.959, loss: 0.106 | Val-acc-top1: 0.887 | Val-acc-top5: 1.000 | time: 8.3 | Speed: 264.02 samples/sec | lr: 0.00237305
[Epoch 58] Train-acc: 0.960, loss: 0.105 | Val-acc-top1: 0.878 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 271.94 samples/sec | lr: 0.00237305
[Epoch 59] Train-acc: 0.962, loss: 0.096 | Val-acc-top1: 0.894 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 281.83 samples/sec | lr: 0.00237305
