Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v4.5.3', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=4, resume_epoch=0, resume_params='arm_network_v4.5.3_180/ImageNet-arm_network_v4.5.3-best-53.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.634, loss: 1.923 | Val-acc-top1: 0.781 | Val-acc-top5: 1.000 | time: 12.6 | Speed: 134.93 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.750, loss: 0.694 | Val-acc-top1: 0.765 | Val-acc-top5: 1.000 | time: 11.6 | Speed: 146.57 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.807, loss: 0.411 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 11.6 | Speed: 146.13 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.825, loss: 0.374 | Val-acc-top1: 0.874 | Val-acc-top5: 1.000 | time: 11.6 | Speed: 147.00 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.848, loss: 0.346 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 11.9 | Speed: 143.53 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.860, loss: 0.322 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 11.7 | Speed: 145.22 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.870, loss: 0.306 | Val-acc-top1: 0.902 | Val-acc-top5: 1.000 | time: 11.8 | Speed: 144.68 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.871, loss: 0.316 | Val-acc-top1: 0.911 | Val-acc-top5: 1.000 | time: 11.7 | Speed: 144.98 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.878, loss: 0.295 | Val-acc-top1: 0.923 | Val-acc-top5: 1.000 | time: 11.8 | Speed: 144.51 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.879, loss: 0.289 | Val-acc-top1: 0.911 | Val-acc-top5: 1.000 | time: 11.7 | Speed: 146.01 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.880, loss: 0.270 | Val-acc-top1: 0.914 | Val-acc-top5: 1.000 | time: 11.6 | Speed: 146.97 samples/sec | lr: 0.00750000
