Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.0001, lr_decay=0.5, lr_decay_epoch='500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v4.5.3', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v4.5.3_180/2019-06-01_09.31/ARM_New_Dataset-arm_network_v4.5.3-best-273.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.974, loss: 0.066 | Val-acc-top1: 0.914 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 279.26 samples/sec | lr: 0.00010000
[Epoch 1] Train-acc: 0.980, loss: 0.062 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 296.81 samples/sec | lr: 0.00010000
[Epoch 2] Train-acc: 0.980, loss: 0.077 | Val-acc-top1: 0.914 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 284.57 samples/sec | lr: 0.00010000
[Epoch 3] Train-acc: 0.972, loss: 0.066 | Val-acc-top1: 0.912 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 306.43 samples/sec | lr: 0.00010000
[Epoch 4] Train-acc: 0.978, loss: 0.069 | Val-acc-top1: 0.910 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 291.31 samples/sec | lr: 0.00010000
[Epoch 5] Train-acc: 0.974, loss: 0.064 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 289.03 samples/sec | lr: 0.00010000
[Epoch 6] Train-acc: 0.971, loss: 0.070 | Val-acc-top1: 0.908 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 302.49 samples/sec | lr: 0.00010000
[Epoch 7] Train-acc: 0.980, loss: 0.061 | Val-acc-top1: 0.908 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 296.36 samples/sec | lr: 0.00010000
[Epoch 8] Train-acc: 0.980, loss: 0.057 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 287.58 samples/sec | lr: 0.00010000
[Epoch 9] Train-acc: 0.974, loss: 0.078 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 291.11 samples/sec | lr: 0.00010000
[Epoch 10] Train-acc: 0.980, loss: 0.062 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 300.15 samples/sec | lr: 0.00010000
[Epoch 11] Train-acc: 0.976, loss: 0.074 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 306.65 samples/sec | lr: 0.00010000
[Epoch 12] Train-acc: 0.983, loss: 0.051 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 306.84 samples/sec | lr: 0.00010000
[Epoch 13] Train-acc: 0.981, loss: 0.057 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 301.44 samples/sec | lr: 0.00010000
[Epoch 14] Train-acc: 0.981, loss: 0.049 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 296.45 samples/sec | lr: 0.00010000
[Epoch 15] Train-acc: 0.973, loss: 0.065 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 286.25 samples/sec | lr: 0.00010000
[Epoch 16] Train-acc: 0.972, loss: 0.075 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 295.70 samples/sec | lr: 0.00010000
[Epoch 17] Train-acc: 0.981, loss: 0.061 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 302.31 samples/sec | lr: 0.00010000
[Epoch 18] Train-acc: 0.980, loss: 0.066 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 6.9 | Speed: 318.90 samples/sec | lr: 0.00010000
[Epoch 19] Train-acc: 0.977, loss: 0.064 | Val-acc-top1: 0.894 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 301.45 samples/sec | lr: 0.00010000
[Epoch 20] Train-acc: 0.975, loss: 0.064 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 287.68 samples/sec | lr: 0.00010000
[Epoch 21] Train-acc: 0.970, loss: 0.067 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.93 samples/sec | lr: 0.00010000
[Epoch 22] Train-acc: 0.984, loss: 0.055 | Val-acc-top1: 0.901 | Val-acc-top5: 1.000 | time: 7.1 | Speed: 308.74 samples/sec | lr: 0.00010000
[Epoch 23] Train-acc: 0.975, loss: 0.064 | Val-acc-top1: 0.897 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 298.89 samples/sec | lr: 0.00010000
[Epoch 24] Train-acc: 0.979, loss: 0.061 | Val-acc-top1: 0.914 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 298.75 samples/sec | lr: 0.00010000
[Epoch 25] Train-acc: 0.979, loss: 0.073 | Val-acc-top1: 0.912 | Val-acc-top5: 1.000 | time: 7.5 | Speed: 293.15 samples/sec | lr: 0.00010000
[Epoch 26] Train-acc: 0.979, loss: 0.060 | Val-acc-top1: 0.905 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 289.89 samples/sec | lr: 0.00010000
[Epoch 27] Train-acc: 0.977, loss: 0.060 | Val-acc-top1: 0.896 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 298.09 samples/sec | lr: 0.00010000
[Epoch 28] Train-acc: 0.979, loss: 0.055 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 7.5 | Speed: 295.21 samples/sec | lr: 0.00010000
[Epoch 29] Train-acc: 0.974, loss: 0.065 | Val-acc-top1: 0.894 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 304.20 samples/sec | lr: 0.00010000
[Epoch 30] Train-acc: 0.974, loss: 0.066 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 290.40 samples/sec | lr: 0.00010000
[Epoch 31] Train-acc: 0.979, loss: 0.067 | Val-acc-top1: 0.899 | Val-acc-top5: 1.000 | time: 7.1 | Speed: 309.25 samples/sec | lr: 0.00010000
[Epoch 32] Train-acc: 0.973, loss: 0.071 | Val-acc-top1: 0.908 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 301.11 samples/sec | lr: 0.00010000
[Epoch 33] Train-acc: 0.980, loss: 0.052 | Val-acc-top1: 0.903 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 296.20 samples/sec | lr: 0.00010000
[Epoch 34] Train-acc: 0.982, loss: 0.053 | Val-acc-top1: 0.908 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 297.55 samples/sec | lr: 0.00010000
[Epoch 35] Train-acc: 0.970, loss: 0.082 | Val-acc-top1: 0.896 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 283.00 samples/sec | lr: 0.00010000
