Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='darknet53', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.770, loss: 0.527 | Val-acc: 0.835 | time: 11.5
[Epoch 1] Train-acc: 0.873, loss: 0.316 | Val-acc: 0.867 | time: 6.7
[Epoch 2] Train-acc: 0.891, loss: 0.250 | Val-acc: 0.881 | time: 6.7
[Epoch 3] Train-acc: 0.924, loss: 0.191 | Val-acc: 0.892 | time: 6.7
[Epoch 4] Train-acc: 0.923, loss: 0.191 | Val-acc: 0.865 | time: 6.6
[Epoch 5] Train-acc: 0.930, loss: 0.173 | Val-acc: 0.883 | time: 6.5
[Epoch 6] Train-acc: 0.946, loss: 0.146 | Val-acc: 0.905 | time: 6.6
[Epoch 7] Train-acc: 0.940, loss: 0.143 | Val-acc: 0.906 | time: 6.6
[Epoch 8] Train-acc: 0.945, loss: 0.136 | Val-acc: 0.910 | time: 6.5
[Epoch 9] Train-acc: 0.950, loss: 0.118 | Val-acc: 0.888 | time: 6.6
[Epoch 10] Train-acc: 0.960, loss: 0.096 | Val-acc: 0.915 | time: 6.5
[Epoch 11] Train-acc: 0.958, loss: 0.105 | Val-acc: 0.914 | time: 6.6
[Epoch 12] Train-acc: 0.962, loss: 0.095 | Val-acc: 0.906 | time: 6.6
[Epoch 13] Train-acc: 0.965, loss: 0.087 | Val-acc: 0.890 | time: 6.5
[Epoch 14] Train-acc: 0.968, loss: 0.082 | Val-acc: 0.919 | time: 6.7
[Epoch 15] Train-acc: 0.966, loss: 0.084 | Val-acc: 0.906 | time: 6.6
[Epoch 16] Train-acc: 0.971, loss: 0.081 | Val-acc: 0.915 | time: 6.6
[Epoch 17] Train-acc: 0.969, loss: 0.073 | Val-acc: 0.919 | time: 6.5
[Epoch 18] Train-acc: 0.962, loss: 0.093 | Val-acc: 0.915 | time: 6.6
[Epoch 19] Train-acc: 0.970, loss: 0.079 | Val-acc: 0.915 | time: 6.7
[Epoch 20] Train-acc: 0.973, loss: 0.082 | Val-acc: 0.919 | time: 6.6
[Epoch 21] Train-acc: 0.966, loss: 0.088 | Val-acc: 0.908 | time: 6.7
[Epoch 22] Train-acc: 0.977, loss: 0.066 | Val-acc: 0.905 | time: 6.6
[Epoch 23] Train-acc: 0.972, loss: 0.077 | Val-acc: 0.923 | time: 6.6
[Epoch 24] Train-acc: 0.976, loss: 0.064 | Val-acc: 0.926 | time: 6.9
[Epoch 25] Train-acc: 0.973, loss: 0.069 | Val-acc: 0.915 | time: 6.7
[Epoch 26] Train-acc: 0.971, loss: 0.078 | Val-acc: 0.890 | time: 6.6
[Epoch 27] Train-acc: 0.976, loss: 0.067 | Val-acc: 0.917 | time: 6.6
[Epoch 28] Train-acc: 0.978, loss: 0.064 | Val-acc: 0.921 | time: 6.7
[Epoch 29] Train-acc: 0.977, loss: 0.062 | Val-acc: 0.915 | time: 6.6
[Epoch 30] Train-acc: 0.973, loss: 0.063 | Val-acc: 0.919 | time: 6.6
[Epoch 31] Train-acc: 0.981, loss: 0.051 | Val-acc: 0.928 | time: 6.6
[Epoch 32] Train-acc: 0.972, loss: 0.074 | Val-acc: 0.919 | time: 6.9
[Epoch 33] Train-acc: 0.978, loss: 0.059 | Val-acc: 0.912 | time: 6.6
[Epoch 34] Train-acc: 0.974, loss: 0.069 | Val-acc: 0.915 | time: 6.6
[Epoch 35] Train-acc: 0.977, loss: 0.063 | Val-acc: 0.910 | time: 6.6
