Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.684, loss: 0.763 | Test-acc: 0.712 | time: 6.7 | Speed: 327.71 samples/sec | lr: 0.00100000
[Epoch 1] Train-acc: 0.780, loss: 0.534 | Test-acc: 0.723 | time: 4.4 | Speed: 502.91 samples/sec | lr: 0.00100000
[Epoch 2] Train-acc: 0.802, loss: 0.461 | Test-acc: 0.728 | time: 4.5 | Speed: 488.34 samples/sec | lr: 0.00100000
[Epoch 3] Train-acc: 0.830, loss: 0.406 | Test-acc: 0.757 | time: 4.4 | Speed: 500.16 samples/sec | lr: 0.00100000
[Epoch 4] Train-acc: 0.825, loss: 0.397 | Test-acc: 0.764 | time: 4.4 | Speed: 501.18 samples/sec | lr: 0.00100000
[Epoch 5] Train-acc: 0.848, loss: 0.344 | Test-acc: 0.768 | time: 4.5 | Speed: 493.28 samples/sec | lr: 0.00100000
[Epoch 6] Train-acc: 0.863, loss: 0.341 | Test-acc: 0.797 | time: 4.4 | Speed: 498.58 samples/sec | lr: 0.00100000
[Epoch 7] Train-acc: 0.863, loss: 0.318 | Test-acc: 0.799 | time: 4.5 | Speed: 490.39 samples/sec | lr: 0.00100000
[Epoch 8] Train-acc: 0.864, loss: 0.328 | Test-acc: 0.788 | time: 4.4 | Speed: 498.01 samples/sec | lr: 0.00100000
[Epoch 9] Train-acc: 0.874, loss: 0.290 | Test-acc: 0.808 | time: 4.5 | Speed: 490.53 samples/sec | lr: 0.00100000
[Epoch 10] Train-acc: 0.875, loss: 0.293 | Test-acc: 0.797 | time: 4.5 | Speed: 489.71 samples/sec | lr: 0.00075000
[Epoch 11] Train-acc: 0.880, loss: 0.281 | Test-acc: 0.811 | time: 4.5 | Speed: 484.63 samples/sec | lr: 0.00075000
[Epoch 12] Train-acc: 0.881, loss: 0.283 | Test-acc: 0.802 | time: 4.4 | Speed: 504.58 samples/sec | lr: 0.00075000
[Epoch 13] Train-acc: 0.886, loss: 0.277 | Test-acc: 0.831 | time: 4.5 | Speed: 486.98 samples/sec | lr: 0.00075000
[Epoch 14] Train-acc: 0.878, loss: 0.270 | Test-acc: 0.806 | time: 4.5 | Speed: 494.15 samples/sec | lr: 0.00075000
[Epoch 15] Train-acc: 0.891, loss: 0.268 | Test-acc: 0.813 | time: 4.6 | Speed: 479.06 samples/sec | lr: 0.00075000
[Epoch 16] Train-acc: 0.902, loss: 0.253 | Test-acc: 0.820 | time: 4.4 | Speed: 498.01 samples/sec | lr: 0.00075000
[Epoch 17] Train-acc: 0.898, loss: 0.236 | Test-acc: 0.815 | time: 4.4 | Speed: 501.85 samples/sec | lr: 0.00075000
[Epoch 18] Train-acc: 0.908, loss: 0.232 | Test-acc: 0.827 | time: 4.4 | Speed: 496.47 samples/sec | lr: 0.00075000
[Epoch 19] Train-acc: 0.897, loss: 0.240 | Test-acc: 0.831 | time: 4.4 | Speed: 504.20 samples/sec | lr: 0.00075000
[Epoch 20] Train-acc: 0.908, loss: 0.226 | Test-acc: 0.829 | time: 4.5 | Speed: 493.23 samples/sec | lr: 0.00056250
[Epoch 21] Train-acc: 0.912, loss: 0.222 | Test-acc: 0.827 | time: 4.4 | Speed: 498.83 samples/sec | lr: 0.00056250
[Epoch 22] Train-acc: 0.909, loss: 0.220 | Test-acc: 0.817 | time: 4.5 | Speed: 487.36 samples/sec | lr: 0.00056250
[Epoch 23] Train-acc: 0.912, loss: 0.210 | Test-acc: 0.822 | time: 4.4 | Speed: 502.31 samples/sec | lr: 0.00056250
[Epoch 24] Train-acc: 0.912, loss: 0.219 | Test-acc: 0.820 | time: 4.4 | Speed: 494.78 samples/sec | lr: 0.00056250
[Epoch 25] Train-acc: 0.909, loss: 0.215 | Test-acc: 0.804 | time: 4.5 | Speed: 494.14 samples/sec | lr: 0.00056250
[Epoch 26] Train-acc: 0.917, loss: 0.211 | Test-acc: 0.815 | time: 4.3 | Speed: 505.98 samples/sec | lr: 0.00056250
[Epoch 27] Train-acc: 0.919, loss: 0.201 | Test-acc: 0.813 | time: 4.5 | Speed: 490.23 samples/sec | lr: 0.00056250
[Epoch 28] Train-acc: 0.923, loss: 0.185 | Test-acc: 0.831 | time: 4.5 | Speed: 492.92 samples/sec | lr: 0.00056250
[Epoch 29] Train-acc: 0.922, loss: 0.194 | Test-acc: 0.820 | time: 4.5 | Speed: 488.48 samples/sec | lr: 0.00056250
[Epoch 30] Train-acc: 0.913, loss: 0.206 | Test-acc: 0.815 | time: 4.4 | Speed: 497.41 samples/sec | lr: 0.00042188
[Epoch 31] Train-acc: 0.925, loss: 0.180 | Test-acc: 0.833 | time: 4.4 | Speed: 494.82 samples/sec | lr: 0.00042188
[Epoch 32] Train-acc: 0.919, loss: 0.203 | Test-acc: 0.831 | time: 4.5 | Speed: 493.75 samples/sec | lr: 0.00042188
[Epoch 33] Train-acc: 0.936, loss: 0.165 | Test-acc: 0.836 | time: 4.5 | Speed: 486.42 samples/sec | lr: 0.00042188
[Epoch 34] Train-acc: 0.924, loss: 0.183 | Test-acc: 0.809 | time: 4.4 | Speed: 499.80 samples/sec | lr: 0.00042188
[Epoch 35] Train-acc: 0.921, loss: 0.191 | Test-acc: 0.824 | time: 4.5 | Speed: 487.28 samples/sec | lr: 0.00042188
[Epoch 36] Train-acc: 0.928, loss: 0.182 | Test-acc: 0.820 | time: 4.5 | Speed: 492.54 samples/sec | lr: 0.00042188
[Epoch 37] Train-acc: 0.921, loss: 0.185 | Test-acc: 0.831 | time: 4.4 | Speed: 499.13 samples/sec | lr: 0.00042188
[Epoch 38] Train-acc: 0.930, loss: 0.175 | Test-acc: 0.829 | time: 4.6 | Speed: 483.29 samples/sec | lr: 0.00042188
[Epoch 39] Train-acc: 0.931, loss: 0.170 | Test-acc: 0.826 | time: 4.4 | Speed: 494.74 samples/sec | lr: 0.00042188
[Epoch 40] Train-acc: 0.925, loss: 0.183 | Test-acc: 0.829 | time: 4.4 | Speed: 495.64 samples/sec | lr: 0.00031641
[Epoch 41] Train-acc: 0.939, loss: 0.156 | Test-acc: 0.827 | time: 4.5 | Speed: 486.24 samples/sec | lr: 0.00031641
[Epoch 42] Train-acc: 0.938, loss: 0.169 | Test-acc: 0.835 | time: 4.5 | Speed: 489.95 samples/sec | lr: 0.00031641
[Epoch 43] Train-acc: 0.937, loss: 0.166 | Test-acc: 0.827 | time: 4.5 | Speed: 491.63 samples/sec | lr: 0.00031641
[Epoch 44] Train-acc: 0.934, loss: 0.171 | Test-acc: 0.831 | time: 4.4 | Speed: 495.22 samples/sec | lr: 0.00031641
[Epoch 45] Train-acc: 0.938, loss: 0.168 | Test-acc: 0.820 | time: 4.4 | Speed: 496.96 samples/sec | lr: 0.00031641
[Epoch 46] Train-acc: 0.931, loss: 0.180 | Test-acc: 0.824 | time: 4.4 | Speed: 500.58 samples/sec | lr: 0.00031641
[Epoch 47] Train-acc: 0.937, loss: 0.164 | Test-acc: 0.831 | time: 4.4 | Speed: 498.30 samples/sec | lr: 0.00031641
[Epoch 48] Train-acc: 0.934, loss: 0.172 | Test-acc: 0.831 | time: 4.5 | Speed: 488.31 samples/sec | lr: 0.00031641
[Epoch 49] Train-acc: 0.943, loss: 0.155 | Test-acc: 0.829 | time: 4.6 | Speed: 481.23 samples/sec | lr: 0.00031641
[Epoch 50] Train-acc: 0.941, loss: 0.176 | Test-acc: 0.824 | time: 4.5 | Speed: 492.07 samples/sec | lr: 0.00023730
[Epoch 51] Train-acc: 0.945, loss: 0.142 | Test-acc: 0.826 | time: 4.5 | Speed: 488.74 samples/sec | lr: 0.00023730
[Epoch 52] Train-acc: 0.937, loss: 0.153 | Test-acc: 0.833 | time: 4.5 | Speed: 489.91 samples/sec | lr: 0.00023730
[Epoch 53] Train-acc: 0.941, loss: 0.150 | Test-acc: 0.840 | time: 4.6 | Speed: 473.23 samples/sec | lr: 0.00023730
[Epoch 54] Train-acc: 0.935, loss: 0.151 | Test-acc: 0.827 | time: 4.4 | Speed: 498.89 samples/sec | lr: 0.00023730
[Epoch 55] Train-acc: 0.933, loss: 0.179 | Test-acc: 0.829 | time: 4.4 | Speed: 494.72 samples/sec | lr: 0.00023730
[Epoch 56] Train-acc: 0.943, loss: 0.156 | Test-acc: 0.827 | time: 4.5 | Speed: 488.52 samples/sec | lr: 0.00023730
[Epoch 57] Train-acc: 0.943, loss: 0.137 | Test-acc: 0.827 | time: 4.4 | Speed: 495.87 samples/sec | lr: 0.00023730
[Epoch 58] Train-acc: 0.940, loss: 0.151 | Test-acc: 0.827 | time: 4.4 | Speed: 494.40 samples/sec | lr: 0.00023730
[Epoch 59] Train-acc: 0.940, loss: 0.156 | Test-acc: 0.833 | time: 4.5 | Speed: 483.82 samples/sec | lr: 0.00023730
[Epoch 60] Train-acc: 0.928, loss: 0.166 | Test-acc: 0.831 | time: 4.5 | Speed: 489.14 samples/sec | lr: 0.00023730
[Epoch 61] Train-acc: 0.943, loss: 0.141 | Test-acc: 0.827 | time: 4.4 | Speed: 496.06 samples/sec | lr: 0.00023730
[Epoch 62] Train-acc: 0.936, loss: 0.155 | Test-acc: 0.836 | time: 4.4 | Speed: 502.61 samples/sec | lr: 0.00023730
[Epoch 63] Train-acc: 0.943, loss: 0.151 | Test-acc: 0.836 | time: 4.5 | Speed: 485.80 samples/sec | lr: 0.00023730
[Epoch 64] Train-acc: 0.939, loss: 0.146 | Test-acc: 0.842 | time: 4.6 | Speed: 482.59 samples/sec | lr: 0.00023730
[Epoch 65] Train-acc: 0.937, loss: 0.160 | Test-acc: 0.842 | time: 4.7 | Speed: 469.74 samples/sec | lr: 0.00023730
[Epoch 66] Train-acc: 0.945, loss: 0.146 | Test-acc: 0.829 | time: 5.0 | Speed: 436.36 samples/sec | lr: 0.00023730
[Epoch 67] Train-acc: 0.947, loss: 0.144 | Test-acc: 0.838 | time: 5.2 | Speed: 423.69 samples/sec | lr: 0.00023730
[Epoch 68] Train-acc: 0.949, loss: 0.144 | Test-acc: 0.833 | time: 4.8 | Speed: 455.20 samples/sec | lr: 0.00023730
[Epoch 69] Train-acc: 0.943, loss: 0.141 | Test-acc: 0.835 | time: 4.7 | Speed: 470.45 samples/sec | lr: 0.00023730
[Epoch 70] Train-acc: 0.940, loss: 0.154 | Test-acc: 0.831 | time: 4.7 | Speed: 471.94 samples/sec | lr: 0.00017798
[Epoch 71] Train-acc: 0.949, loss: 0.152 | Test-acc: 0.836 | time: 4.5 | Speed: 484.27 samples/sec | lr: 0.00017798
[Epoch 72] Train-acc: 0.949, loss: 0.134 | Test-acc: 0.833 | time: 4.6 | Speed: 476.15 samples/sec | lr: 0.00017798
[Epoch 73] Train-acc: 0.943, loss: 0.149 | Test-acc: 0.836 | time: 4.7 | Speed: 469.83 samples/sec | lr: 0.00017798
[Epoch 74] Train-acc: 0.940, loss: 0.148 | Test-acc: 0.838 | time: 4.3 | Speed: 507.47 samples/sec | lr: 0.00017798
[Epoch 75] Train-acc: 0.944, loss: 0.147 | Test-acc: 0.833 | time: 4.4 | Speed: 498.73 samples/sec | lr: 0.00017798
[Epoch 76] Train-acc: 0.942, loss: 0.138 | Test-acc: 0.835 | time: 4.5 | Speed: 494.26 samples/sec | lr: 0.00017798
[Epoch 77] Train-acc: 0.936, loss: 0.156 | Test-acc: 0.835 | time: 4.5 | Speed: 486.51 samples/sec | lr: 0.00017798
[Epoch 78] Train-acc: 0.940, loss: 0.155 | Test-acc: 0.826 | time: 4.5 | Speed: 491.22 samples/sec | lr: 0.00017798
