Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=100, input_sz=224, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70', model='mobilenet1.0', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.752, loss: 0.499 | Val-acc: 0.858 | time: 20.3
[Epoch 1] Train-acc: 0.899, loss: 0.249 | Val-acc: 0.901 | time: 8.2
[Epoch 2] Train-acc: 0.922, loss: 0.202 | Val-acc: 0.896 | time: 8.2
[Epoch 3] Train-acc: 0.936, loss: 0.156 | Val-acc: 0.885 | time: 7.9
[Epoch 4] Train-acc: 0.943, loss: 0.151 | Val-acc: 0.908 | time: 8.1
[Epoch 5] Train-acc: 0.955, loss: 0.128 | Val-acc: 0.896 | time: 7.9
[Epoch 6] Train-acc: 0.953, loss: 0.131 | Val-acc: 0.869 | time: 7.8
[Epoch 7] Train-acc: 0.965, loss: 0.106 | Val-acc: 0.915 | time: 8.0
[Epoch 8] Train-acc: 0.962, loss: 0.113 | Val-acc: 0.867 | time: 8.0
[Epoch 9] Train-acc: 0.962, loss: 0.103 | Val-acc: 0.914 | time: 7.9
[Epoch 10] Train-acc: 0.969, loss: 0.085 | Val-acc: 0.915 | time: 8.1
[Epoch 11] Train-acc: 0.969, loss: 0.086 | Val-acc: 0.896 | time: 8.1
[Epoch 12] Train-acc: 0.963, loss: 0.096 | Val-acc: 0.903 | time: 7.9
[Epoch 13] Train-acc: 0.971, loss: 0.086 | Val-acc: 0.897 | time: 8.2
[Epoch 14] Train-acc: 0.972, loss: 0.082 | Val-acc: 0.901 | time: 8.2
[Epoch 15] Train-acc: 0.971, loss: 0.081 | Val-acc: 0.910 | time: 8.1
[Epoch 16] Train-acc: 0.974, loss: 0.079 | Val-acc: 0.887 | time: 8.0
[Epoch 17] Train-acc: 0.972, loss: 0.082 | Val-acc: 0.908 | time: 7.9
[Epoch 18] Train-acc: 0.979, loss: 0.070 | Val-acc: 0.908 | time: 8.3
[Epoch 19] Train-acc: 0.974, loss: 0.072 | Val-acc: 0.888 | time: 8.3
[Epoch 20] Train-acc: 0.980, loss: 0.061 | Val-acc: 0.901 | time: 7.9
[Epoch 21] Train-acc: 0.975, loss: 0.064 | Val-acc: 0.915 | time: 8.3
[Epoch 22] Train-acc: 0.977, loss: 0.067 | Val-acc: 0.899 | time: 8.1
[Epoch 23] Train-acc: 0.979, loss: 0.056 | Val-acc: 0.905 | time: 8.2
[Epoch 24] Train-acc: 0.978, loss: 0.060 | Val-acc: 0.910 | time: 8.1
[Epoch 25] Train-acc: 0.978, loss: 0.064 | Val-acc: 0.901 | time: 8.2
[Epoch 26] Train-acc: 0.972, loss: 0.086 | Val-acc: 0.858 | time: 8.0
[Epoch 27] Train-acc: 0.975, loss: 0.067 | Val-acc: 0.901 | time: 8.0
[Epoch 28] Train-acc: 0.973, loss: 0.067 | Val-acc: 0.906 | time: 8.1
[Epoch 29] Train-acc: 0.982, loss: 0.053 | Val-acc: 0.892 | time: 7.9
[Epoch 30] Train-acc: 0.982, loss: 0.054 | Val-acc: 0.894 | time: 8.1
[Epoch 31] Train-acc: 0.980, loss: 0.055 | Val-acc: 0.881 | time: 7.9
[Epoch 32] Train-acc: 0.978, loss: 0.062 | Val-acc: 0.923 | time: 8.1
[Epoch 33] Train-acc: 0.976, loss: 0.064 | Val-acc: 0.894 | time: 7.9
[Epoch 34] Train-acc: 0.981, loss: 0.054 | Val-acc: 0.910 | time: 7.9
[Epoch 35] Train-acc: 0.982, loss: 0.055 | Val-acc: 0.903 | time: 7.9
[Epoch 36] Train-acc: 0.980, loss: 0.058 | Val-acc: 0.890 | time: 8.2
[Epoch 37] Train-acc: 0.981, loss: 0.058 | Val-acc: 0.897 | time: 8.1
[Epoch 38] Train-acc: 0.983, loss: 0.059 | Val-acc: 0.897 | time: 8.0
[Epoch 39] Train-acc: 0.987, loss: 0.042 | Val-acc: 0.912 | time: 8.1
[Epoch 40] Train-acc: 0.987, loss: 0.049 | Val-acc: 0.906 | time: 7.9
[Epoch 41] Train-acc: 0.984, loss: 0.043 | Val-acc: 0.923 | time: 7.9
[Epoch 42] Train-acc: 0.981, loss: 0.054 | Val-acc: 0.897 | time: 8.0
[Epoch 43] Train-acc: 0.978, loss: 0.057 | Val-acc: 0.908 | time: 8.0
[Epoch 44] Train-acc: 0.984, loss: 0.046 | Val-acc: 0.906 | time: 7.9
[Epoch 45] Train-acc: 0.982, loss: 0.051 | Val-acc: 0.915 | time: 8.2
[Epoch 46] Train-acc: 0.987, loss: 0.040 | Val-acc: 0.914 | time: 8.1
[Epoch 47] Train-acc: 0.985, loss: 0.040 | Val-acc: 0.910 | time: 8.0
[Epoch 48] Train-acc: 0.985, loss: 0.040 | Val-acc: 0.897 | time: 8.0
[Epoch 49] Train-acc: 0.986, loss: 0.039 | Val-acc: 0.897 | time: 8.1
[Epoch 50] Train-acc: 0.983, loss: 0.044 | Val-acc: 0.906 | time: 8.1
[Epoch 51] Train-acc: 0.980, loss: 0.058 | Val-acc: 0.899 | time: 8.2
[Epoch 52] Train-acc: 0.981, loss: 0.045 | Val-acc: 0.899 | time: 8.1
[Epoch 53] Train-acc: 0.986, loss: 0.041 | Val-acc: 0.899 | time: 8.0
[Epoch 54] Train-acc: 0.986, loss: 0.040 | Val-acc: 0.897 | time: 8.0
[Epoch 55] Train-acc: 0.980, loss: 0.047 | Val-acc: 0.901 | time: 7.8
[Epoch 56] Train-acc: 0.990, loss: 0.033 | Val-acc: 0.901 | time: 7.9
[Epoch 57] Train-acc: 0.978, loss: 0.057 | Val-acc: 0.899 | time: 8.0
[Epoch 58] Train-acc: 0.985, loss: 0.038 | Val-acc: 0.894 | time: 8.0
[Epoch 59] Train-acc: 0.983, loss: 0.044 | Val-acc: 0.906 | time: 7.9
[Epoch 60] Train-acc: 0.984, loss: 0.048 | Val-acc: 0.903 | time: 8.0
[Epoch 61] Train-acc: 0.985, loss: 0.045 | Val-acc: 0.905 | time: 8.0
[Epoch 62] Train-acc: 0.984, loss: 0.045 | Val-acc: 0.887 | time: 8.2
[Epoch 63] Train-acc: 0.988, loss: 0.041 | Val-acc: 0.901 | time: 7.9
[Epoch 64] Train-acc: 0.984, loss: 0.044 | Val-acc: 0.906 | time: 7.9
[Epoch 65] Train-acc: 0.985, loss: 0.044 | Val-acc: 0.883 | time: 7.9
[Epoch 66] Train-acc: 0.985, loss: 0.044 | Val-acc: 0.908 | time: 7.9
[Epoch 67] Train-acc: 0.984, loss: 0.041 | Val-acc: 0.906 | time: 8.0
[Epoch 68] Train-acc: 0.991, loss: 0.035 | Val-acc: 0.903 | time: 7.9
[Epoch 69] Train-acc: 0.986, loss: 0.040 | Val-acc: 0.906 | time: 7.9
[Epoch 70] Train-acc: 0.983, loss: 0.043 | Val-acc: 0.897 | time: 7.9
[Epoch 71] Train-acc: 0.991, loss: 0.035 | Val-acc: 0.901 | time: 7.8
[Epoch 72] Train-acc: 0.984, loss: 0.046 | Val-acc: 0.905 | time: 7.9
[Epoch 73] Train-acc: 0.984, loss: 0.039 | Val-acc: 0.905 | time: 8.0
[Epoch 74] Train-acc: 0.985, loss: 0.041 | Val-acc: 0.908 | time: 8.0
[Epoch 75] Train-acc: 0.985, loss: 0.040 | Val-acc: 0.910 | time: 7.9
[Epoch 76] Train-acc: 0.986, loss: 0.039 | Val-acc: 0.897 | time: 8.0
[Epoch 77] Train-acc: 0.990, loss: 0.035 | Val-acc: 0.908 | time: 7.9
[Epoch 78] Train-acc: 0.986, loss: 0.043 | Val-acc: 0.901 | time: 7.9
[Epoch 79] Train-acc: 0.981, loss: 0.046 | Val-acc: 0.906 | time: 7.9
[Epoch 80] Train-acc: 0.987, loss: 0.041 | Val-acc: 0.910 | time: 7.9
[Epoch 81] Train-acc: 0.984, loss: 0.044 | Val-acc: 0.915 | time: 7.9
[Epoch 82] Train-acc: 0.982, loss: 0.051 | Val-acc: 0.917 | time: 7.8
[Epoch 83] Train-acc: 0.984, loss: 0.037 | Val-acc: 0.897 | time: 7.9
[Epoch 84] Train-acc: 0.986, loss: 0.043 | Val-acc: 0.894 | time: 7.9
[Epoch 85] Train-acc: 0.988, loss: 0.039 | Val-acc: 0.899 | time: 7.8
[Epoch 86] Train-acc: 0.992, loss: 0.024 | Val-acc: 0.908 | time: 7.9
[Epoch 87] Train-acc: 0.982, loss: 0.046 | Val-acc: 0.905 | time: 7.9
