Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=100, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70', model='resnet101_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.668, loss: 0.584 | Val-acc: 0.784 | time: 14.7
[Epoch 1] Train-acc: 0.818, loss: 0.404 | Val-acc: 0.808 | time: 8.5
[Epoch 2] Train-acc: 0.845, loss: 0.349 | Val-acc: 0.853 | time: 8.2
[Epoch 3] Train-acc: 0.881, loss: 0.275 | Val-acc: 0.865 | time: 8.3
[Epoch 4] Train-acc: 0.894, loss: 0.251 | Val-acc: 0.860 | time: 8.4
[Epoch 5] Train-acc: 0.896, loss: 0.246 | Val-acc: 0.879 | time: 8.4
[Epoch 6] Train-acc: 0.908, loss: 0.217 | Val-acc: 0.872 | time: 8.3
[Epoch 7] Train-acc: 0.908, loss: 0.207 | Val-acc: 0.878 | time: 8.2
[Epoch 8] Train-acc: 0.927, loss: 0.189 | Val-acc: 0.888 | time: 8.4
[Epoch 9] Train-acc: 0.940, loss: 0.176 | Val-acc: 0.890 | time: 8.2
[Epoch 10] Train-acc: 0.936, loss: 0.167 | Val-acc: 0.883 | time: 8.4
[Epoch 11] Train-acc: 0.931, loss: 0.169 | Val-acc: 0.888 | time: 8.3
[Epoch 12] Train-acc: 0.947, loss: 0.145 | Val-acc: 0.879 | time: 8.5
[Epoch 13] Train-acc: 0.947, loss: 0.129 | Val-acc: 0.887 | time: 9.3
[Epoch 14] Train-acc: 0.953, loss: 0.120 | Val-acc: 0.896 | time: 8.3
[Epoch 15] Train-acc: 0.952, loss: 0.121 | Val-acc: 0.890 | time: 8.6
[Epoch 16] Train-acc: 0.947, loss: 0.139 | Val-acc: 0.896 | time: 8.3
[Epoch 17] Train-acc: 0.957, loss: 0.112 | Val-acc: 0.906 | time: 8.5
[Epoch 18] Train-acc: 0.949, loss: 0.127 | Val-acc: 0.906 | time: 8.7
[Epoch 19] Train-acc: 0.958, loss: 0.103 | Val-acc: 0.905 | time: 9.1
[Epoch 20] Train-acc: 0.964, loss: 0.093 | Val-acc: 0.892 | time: 9.7
[Epoch 21] Train-acc: 0.956, loss: 0.117 | Val-acc: 0.897 | time: 9.0
[Epoch 22] Train-acc: 0.958, loss: 0.108 | Val-acc: 0.899 | time: 8.8
[Epoch 23] Train-acc: 0.959, loss: 0.107 | Val-acc: 0.892 | time: 8.8
[Epoch 24] Train-acc: 0.964, loss: 0.099 | Val-acc: 0.899 | time: 8.2
[Epoch 25] Train-acc: 0.968, loss: 0.080 | Val-acc: 0.901 | time: 8.3
[Epoch 26] Train-acc: 0.965, loss: 0.098 | Val-acc: 0.890 | time: 8.3
[Epoch 27] Train-acc: 0.962, loss: 0.094 | Val-acc: 0.888 | time: 8.3
[Epoch 28] Train-acc: 0.967, loss: 0.092 | Val-acc: 0.897 | time: 8.2
[Epoch 29] Train-acc: 0.962, loss: 0.092 | Val-acc: 0.890 | time: 8.6
[Epoch 30] Train-acc: 0.974, loss: 0.075 | Val-acc: 0.892 | time: 8.4
[Epoch 31] Train-acc: 0.964, loss: 0.088 | Val-acc: 0.897 | time: 8.4
[Epoch 32] Train-acc: 0.972, loss: 0.074 | Val-acc: 0.903 | time: 8.6
[Epoch 33] Train-acc: 0.972, loss: 0.081 | Val-acc: 0.894 | time: 8.6
[Epoch 34] Train-acc: 0.972, loss: 0.074 | Val-acc: 0.905 | time: 8.9
[Epoch 35] Train-acc: 0.968, loss: 0.082 | Val-acc: 0.899 | time: 8.3
[Epoch 36] Train-acc: 0.972, loss: 0.080 | Val-acc: 0.892 | time: 8.2
[Epoch 37] Train-acc: 0.972, loss: 0.073 | Val-acc: 0.892 | time: 8.4
[Epoch 38] Train-acc: 0.971, loss: 0.072 | Val-acc: 0.887 | time: 8.4
[Epoch 39] Train-acc: 0.965, loss: 0.085 | Val-acc: 0.899 | time: 8.4
[Epoch 40] Train-acc: 0.965, loss: 0.092 | Val-acc: 0.899 | time: 8.5
[Epoch 41] Train-acc: 0.971, loss: 0.080 | Val-acc: 0.901 | time: 8.4
[Epoch 42] Train-acc: 0.973, loss: 0.074 | Val-acc: 0.897 | time: 8.3
[Epoch 43] Train-acc: 0.974, loss: 0.063 | Val-acc: 0.896 | time: 8.4
[Epoch 44] Train-acc: 0.974, loss: 0.068 | Val-acc: 0.897 | time: 8.6
[Epoch 45] Train-acc: 0.968, loss: 0.076 | Val-acc: 0.899 | time: 8.9
[Epoch 46] Train-acc: 0.972, loss: 0.068 | Val-acc: 0.897 | time: 8.4
[Epoch 47] Train-acc: 0.979, loss: 0.057 | Val-acc: 0.897 | time: 8.4
[Epoch 48] Train-acc: 0.966, loss: 0.077 | Val-acc: 0.899 | time: 8.4
[Epoch 49] Train-acc: 0.969, loss: 0.075 | Val-acc: 0.903 | time: 8.4
[Epoch 50] Train-acc: 0.970, loss: 0.078 | Val-acc: 0.905 | time: 8.4
[Epoch 51] Train-acc: 0.973, loss: 0.078 | Val-acc: 0.892 | time: 8.3
[Epoch 52] Train-acc: 0.972, loss: 0.074 | Val-acc: 0.903 | time: 8.8
[Epoch 53] Train-acc: 0.979, loss: 0.059 | Val-acc: 0.901 | time: 8.2
[Epoch 54] Train-acc: 0.970, loss: 0.080 | Val-acc: 0.905 | time: 8.4
[Epoch 55] Train-acc: 0.975, loss: 0.060 | Val-acc: 0.894 | time: 8.5
[Epoch 56] Train-acc: 0.975, loss: 0.071 | Val-acc: 0.901 | time: 8.5
[Epoch 57] Train-acc: 0.972, loss: 0.071 | Val-acc: 0.903 | time: 8.5
[Epoch 58] Train-acc: 0.979, loss: 0.056 | Val-acc: 0.899 | time: 8.3
[Epoch 59] Train-acc: 0.972, loss: 0.080 | Val-acc: 0.905 | time: 8.3
[Epoch 60] Train-acc: 0.981, loss: 0.053 | Val-acc: 0.912 | time: 8.3
[Epoch 61] Train-acc: 0.976, loss: 0.065 | Val-acc: 0.901 | time: 8.4
[Epoch 62] Train-acc: 0.975, loss: 0.064 | Val-acc: 0.901 | time: 8.4
[Epoch 63] Train-acc: 0.978, loss: 0.065 | Val-acc: 0.899 | time: 8.3
[Epoch 64] Train-acc: 0.970, loss: 0.082 | Val-acc: 0.905 | time: 8.4
[Epoch 65] Train-acc: 0.971, loss: 0.071 | Val-acc: 0.905 | time: 8.3
[Epoch 66] Train-acc: 0.975, loss: 0.066 | Val-acc: 0.912 | time: 8.4
[Epoch 67] Train-acc: 0.979, loss: 0.060 | Val-acc: 0.896 | time: 8.4
[Epoch 68] Train-acc: 0.981, loss: 0.056 | Val-acc: 0.901 | time: 8.3
[Epoch 69] Train-acc: 0.976, loss: 0.062 | Val-acc: 0.896 | time: 8.5
[Epoch 70] Train-acc: 0.972, loss: 0.068 | Val-acc: 0.905 | time: 8.4
[Epoch 71] Train-acc: 0.974, loss: 0.067 | Val-acc: 0.897 | time: 8.4
[Epoch 72] Train-acc: 0.980, loss: 0.061 | Val-acc: 0.903 | time: 8.3
[Epoch 73] Train-acc: 0.982, loss: 0.053 | Val-acc: 0.897 | time: 8.6
[Epoch 74] Train-acc: 0.972, loss: 0.064 | Val-acc: 0.906 | time: 8.3
[Epoch 75] Train-acc: 0.981, loss: 0.055 | Val-acc: 0.901 | time: 8.3
[Epoch 76] Train-acc: 0.975, loss: 0.062 | Val-acc: 0.906 | time: 8.3
[Epoch 77] Train-acc: 0.975, loss: 0.062 | Val-acc: 0.888 | time: 8.4
[Epoch 78] Train-acc: 0.977, loss: 0.058 | Val-acc: 0.897 | time: 8.5
[Epoch 79] Train-acc: 0.973, loss: 0.068 | Val-acc: 0.896 | time: 8.4
[Epoch 80] Train-acc: 0.985, loss: 0.042 | Val-acc: 0.897 | time: 8.4
[Epoch 81] Train-acc: 0.971, loss: 0.070 | Val-acc: 0.901 | time: 8.7
[Epoch 82] Train-acc: 0.975, loss: 0.065 | Val-acc: 0.903 | time: 8.4
[Epoch 83] Train-acc: 0.975, loss: 0.062 | Val-acc: 0.903 | time: 8.3
[Epoch 84] Train-acc: 0.980, loss: 0.060 | Val-acc: 0.905 | time: 8.4
[Epoch 85] Train-acc: 0.979, loss: 0.058 | Val-acc: 0.896 | time: 8.4
[Epoch 86] Train-acc: 0.977, loss: 0.058 | Val-acc: 0.894 | time: 8.4
[Epoch 87] Train-acc: 0.976, loss: 0.061 | Val-acc: 0.901 | time: 8.4
[Epoch 88] Train-acc: 0.980, loss: 0.059 | Val-acc: 0.899 | time: 9.3
[Epoch 89] Train-acc: 0.981, loss: 0.058 | Val-acc: 0.897 | time: 9.0
[Epoch 90] Train-acc: 0.982, loss: 0.053 | Val-acc: 0.899 | time: 8.4
[Epoch 91] Train-acc: 0.982, loss: 0.054 | Val-acc: 0.894 | time: 8.2
[Epoch 92] Train-acc: 0.978, loss: 0.065 | Val-acc: 0.905 | time: 8.3
[Epoch 93] Train-acc: 0.974, loss: 0.076 | Val-acc: 0.912 | time: 8.3
[Epoch 94] Train-acc: 0.979, loss: 0.055 | Val-acc: 0.892 | time: 8.4
