Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='resnext50_32x4d', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.713, loss: 0.568 | Val-acc: 0.808 | time: 12.7
[Epoch 1] Train-acc: 0.845, loss: 0.357 | Val-acc: 0.809 | time: 7.4
[Epoch 2] Train-acc: 0.865, loss: 0.307 | Val-acc: 0.842 | time: 7.2
[Epoch 3] Train-acc: 0.895, loss: 0.262 | Val-acc: 0.847 | time: 7.2
[Epoch 4] Train-acc: 0.908, loss: 0.237 | Val-acc: 0.853 | time: 7.4
[Epoch 5] Train-acc: 0.906, loss: 0.225 | Val-acc: 0.871 | time: 7.4
[Epoch 6] Train-acc: 0.923, loss: 0.202 | Val-acc: 0.876 | time: 7.3
[Epoch 7] Train-acc: 0.936, loss: 0.172 | Val-acc: 0.867 | time: 7.4
[Epoch 8] Train-acc: 0.932, loss: 0.169 | Val-acc: 0.869 | time: 7.2
[Epoch 9] Train-acc: 0.943, loss: 0.146 | Val-acc: 0.885 | time: 7.3
[Epoch 10] Train-acc: 0.944, loss: 0.133 | Val-acc: 0.881 | time: 7.3
[Epoch 11] Train-acc: 0.946, loss: 0.144 | Val-acc: 0.892 | time: 7.4
[Epoch 12] Train-acc: 0.950, loss: 0.140 | Val-acc: 0.881 | time: 7.3
[Epoch 13] Train-acc: 0.947, loss: 0.131 | Val-acc: 0.888 | time: 7.3
[Epoch 14] Train-acc: 0.955, loss: 0.125 | Val-acc: 0.883 | time: 7.4
[Epoch 15] Train-acc: 0.950, loss: 0.131 | Val-acc: 0.838 | time: 7.5
[Epoch 16] Train-acc: 0.954, loss: 0.106 | Val-acc: 0.888 | time: 7.2
[Epoch 17] Train-acc: 0.956, loss: 0.113 | Val-acc: 0.899 | time: 7.2
[Epoch 18] Train-acc: 0.955, loss: 0.117 | Val-acc: 0.899 | time: 7.4
[Epoch 19] Train-acc: 0.965, loss: 0.090 | Val-acc: 0.888 | time: 7.4
[Epoch 20] Train-acc: 0.968, loss: 0.091 | Val-acc: 0.888 | time: 7.5
[Epoch 21] Train-acc: 0.958, loss: 0.099 | Val-acc: 0.892 | time: 7.4
[Epoch 22] Train-acc: 0.970, loss: 0.077 | Val-acc: 0.892 | time: 7.4
[Epoch 23] Train-acc: 0.963, loss: 0.100 | Val-acc: 0.896 | time: 7.4
[Epoch 24] Train-acc: 0.968, loss: 0.089 | Val-acc: 0.905 | time: 7.5
[Epoch 25] Train-acc: 0.970, loss: 0.076 | Val-acc: 0.908 | time: 7.5
[Epoch 26] Train-acc: 0.965, loss: 0.094 | Val-acc: 0.912 | time: 7.3
[Epoch 27] Train-acc: 0.964, loss: 0.084 | Val-acc: 0.908 | time: 7.3
[Epoch 28] Train-acc: 0.967, loss: 0.089 | Val-acc: 0.885 | time: 7.4
[Epoch 29] Train-acc: 0.971, loss: 0.077 | Val-acc: 0.912 | time: 7.4
[Epoch 30] Train-acc: 0.974, loss: 0.082 | Val-acc: 0.910 | time: 7.3
[Epoch 31] Train-acc: 0.975, loss: 0.071 | Val-acc: 0.905 | time: 7.3
[Epoch 32] Train-acc: 0.980, loss: 0.063 | Val-acc: 0.897 | time: 7.5
[Epoch 33] Train-acc: 0.971, loss: 0.077 | Val-acc: 0.896 | time: 7.3
[Epoch 34] Train-acc: 0.971, loss: 0.080 | Val-acc: 0.897 | time: 7.4
[Epoch 35] Train-acc: 0.971, loss: 0.067 | Val-acc: 0.908 | time: 7.3
[Epoch 36] Train-acc: 0.969, loss: 0.081 | Val-acc: 0.905 | time: 7.5
[Epoch 37] Train-acc: 0.970, loss: 0.069 | Val-acc: 0.914 | time: 7.4
[Epoch 38] Train-acc: 0.974, loss: 0.081 | Val-acc: 0.905 | time: 7.4
[Epoch 39] Train-acc: 0.976, loss: 0.069 | Val-acc: 0.912 | time: 7.4
[Epoch 40] Train-acc: 0.975, loss: 0.067 | Val-acc: 0.905 | time: 7.5
[Epoch 41] Train-acc: 0.973, loss: 0.062 | Val-acc: 0.899 | time: 7.4
[Epoch 42] Train-acc: 0.978, loss: 0.066 | Val-acc: 0.908 | time: 7.3
[Epoch 43] Train-acc: 0.977, loss: 0.063 | Val-acc: 0.908 | time: 7.3
[Epoch 44] Train-acc: 0.975, loss: 0.067 | Val-acc: 0.903 | time: 7.2
[Epoch 45] Train-acc: 0.976, loss: 0.068 | Val-acc: 0.901 | time: 7.4
[Epoch 46] Train-acc: 0.976, loss: 0.057 | Val-acc: 0.901 | time: 7.3
[Epoch 47] Train-acc: 0.980, loss: 0.063 | Val-acc: 0.908 | time: 7.4
[Epoch 48] Train-acc: 0.978, loss: 0.067 | Val-acc: 0.901 | time: 7.4
[Epoch 49] Train-acc: 0.982, loss: 0.053 | Val-acc: 0.908 | time: 7.3
[Epoch 50] Train-acc: 0.976, loss: 0.063 | Val-acc: 0.905 | time: 7.4
[Epoch 51] Train-acc: 0.974, loss: 0.070 | Val-acc: 0.906 | time: 7.4
[Epoch 52] Train-acc: 0.980, loss: 0.065 | Val-acc: 0.905 | time: 7.4
[Epoch 53] Train-acc: 0.981, loss: 0.048 | Val-acc: 0.906 | time: 7.2
[Epoch 54] Train-acc: 0.974, loss: 0.069 | Val-acc: 0.905 | time: 7.4
[Epoch 55] Train-acc: 0.981, loss: 0.051 | Val-acc: 0.901 | time: 7.3
[Epoch 56] Train-acc: 0.977, loss: 0.074 | Val-acc: 0.910 | time: 7.4
[Epoch 57] Train-acc: 0.978, loss: 0.055 | Val-acc: 0.912 | time: 7.4
[Epoch 58] Train-acc: 0.974, loss: 0.064 | Val-acc: 0.908 | time: 7.4
[Epoch 59] Train-acc: 0.983, loss: 0.050 | Val-acc: 0.905 | time: 7.5
[Epoch 60] Train-acc: 0.978, loss: 0.057 | Val-acc: 0.910 | time: 7.5
[Epoch 61] Train-acc: 0.977, loss: 0.062 | Val-acc: 0.901 | time: 7.3
[Epoch 62] Train-acc: 0.974, loss: 0.080 | Val-acc: 0.908 | time: 7.5
[Epoch 63] Train-acc: 0.983, loss: 0.053 | Val-acc: 0.901 | time: 7.3
[Epoch 64] Train-acc: 0.975, loss: 0.065 | Val-acc: 0.899 | time: 7.3
[Epoch 65] Train-acc: 0.973, loss: 0.061 | Val-acc: 0.908 | time: 7.5
[Epoch 66] Train-acc: 0.980, loss: 0.052 | Val-acc: 0.906 | time: 7.5
[Epoch 67] Train-acc: 0.985, loss: 0.044 | Val-acc: 0.899 | time: 7.3
[Epoch 68] Train-acc: 0.982, loss: 0.045 | Val-acc: 0.897 | time: 7.3
[Epoch 69] Train-acc: 0.976, loss: 0.060 | Val-acc: 0.905 | time: 7.3
[Epoch 70] Train-acc: 0.981, loss: 0.048 | Val-acc: 0.899 | time: 7.6
[Epoch 71] Train-acc: 0.980, loss: 0.050 | Val-acc: 0.905 | time: 7.3
[Epoch 72] Train-acc: 0.975, loss: 0.059 | Val-acc: 0.903 | time: 7.4
[Epoch 73] Train-acc: 0.983, loss: 0.049 | Val-acc: 0.903 | time: 7.4
[Epoch 74] Train-acc: 0.979, loss: 0.049 | Val-acc: 0.905 | time: 7.3
[Epoch 75] Train-acc: 0.976, loss: 0.053 | Val-acc: 0.892 | time: 7.3
[Epoch 76] Train-acc: 0.976, loss: 0.055 | Val-acc: 0.901 | time: 7.4
[Epoch 77] Train-acc: 0.978, loss: 0.052 | Val-acc: 0.908 | time: 7.4
[Epoch 78] Train-acc: 0.980, loss: 0.048 | Val-acc: 0.910 | time: 7.4
[Epoch 79] Train-acc: 0.978, loss: 0.060 | Val-acc: 0.901 | time: 7.3
[Epoch 80] Train-acc: 0.987, loss: 0.040 | Val-acc: 0.905 | time: 7.4
[Epoch 81] Train-acc: 0.982, loss: 0.054 | Val-acc: 0.901 | time: 7.3
[Epoch 82] Train-acc: 0.982, loss: 0.051 | Val-acc: 0.903 | time: 7.3
[Epoch 83] Train-acc: 0.982, loss: 0.046 | Val-acc: 0.903 | time: 7.3
[Epoch 84] Train-acc: 0.983, loss: 0.056 | Val-acc: 0.897 | time: 7.4
[Epoch 85] Train-acc: 0.977, loss: 0.064 | Val-acc: 0.896 | time: 7.4
[Epoch 86] Train-acc: 0.981, loss: 0.051 | Val-acc: 0.894 | time: 7.6
[Epoch 87] Train-acc: 0.980, loss: 0.056 | Val-acc: 0.903 | time: 7.4
[Epoch 88] Train-acc: 0.984, loss: 0.043 | Val-acc: 0.899 | time: 7.2
[Epoch 89] Train-acc: 0.979, loss: 0.050 | Val-acc: 0.897 | time: 7.4
[Epoch 90] Train-acc: 0.979, loss: 0.053 | Val-acc: 0.897 | time: 7.4
[Epoch 91] Train-acc: 0.985, loss: 0.046 | Val-acc: 0.903 | time: 7.4
[Epoch 92] Train-acc: 0.980, loss: 0.052 | Val-acc: 0.899 | time: 7.4
[Epoch 93] Train-acc: 0.987, loss: 0.040 | Val-acc: 0.894 | time: 7.4
[Epoch 94] Train-acc: 0.980, loss: 0.052 | Val-acc: 0.908 | time: 7.4
[Epoch 95] Train-acc: 0.983, loss: 0.059 | Val-acc: 0.894 | time: 7.4
[Epoch 96] Train-acc: 0.978, loss: 0.049 | Val-acc: 0.901 | time: 7.2
[Epoch 97] Train-acc: 0.985, loss: 0.036 | Val-acc: 0.901 | time: 7.3
[Epoch 98] Train-acc: 0.985, loss: 0.037 | Val-acc: 0.899 | time: 7.3
[Epoch 99] Train-acc: 0.982, loss: 0.044 | Val-acc: 0.897 | time: 7.4
[Epoch 100] Train-acc: 0.972, loss: 0.066 | Val-acc: 0.901 | time: 7.4
[Epoch 101] Train-acc: 0.982, loss: 0.048 | Val-acc: 0.896 | time: 7.4
[Epoch 102] Train-acc: 0.984, loss: 0.046 | Val-acc: 0.899 | time: 7.5
[Epoch 103] Train-acc: 0.983, loss: 0.046 | Val-acc: 0.901 | time: 7.3
[Epoch 104] Train-acc: 0.983, loss: 0.045 | Val-acc: 0.899 | time: 7.4
[Epoch 105] Train-acc: 0.987, loss: 0.036 | Val-acc: 0.887 | time: 7.4
[Epoch 106] Train-acc: 0.977, loss: 0.056 | Val-acc: 0.894 | time: 7.3
[Epoch 107] Train-acc: 0.985, loss: 0.042 | Val-acc: 0.888 | time: 7.4
[Epoch 108] Train-acc: 0.985, loss: 0.039 | Val-acc: 0.896 | time: 7.4
[Epoch 109] Train-acc: 0.985, loss: 0.043 | Val-acc: 0.888 | time: 7.5
[Epoch 110] Train-acc: 0.977, loss: 0.049 | Val-acc: 0.892 | time: 7.4
[Epoch 111] Train-acc: 0.985, loss: 0.045 | Val-acc: 0.899 | time: 7.4
[Epoch 112] Train-acc: 0.982, loss: 0.052 | Val-acc: 0.899 | time: 7.3
[Epoch 113] Train-acc: 0.981, loss: 0.052 | Val-acc: 0.897 | time: 7.4
[Epoch 114] Train-acc: 0.982, loss: 0.047 | Val-acc: 0.890 | time: 7.4
[Epoch 115] Train-acc: 0.980, loss: 0.055 | Val-acc: 0.888 | time: 7.3
