Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.683, loss: 1.627 | Val-acc-top1: 0.665 | time: 3.5 | Speed: 637.36 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.736, loss: 0.578 | Val-acc-top1: 0.743 | time: 2.3 | Speed: 958.03 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.779, loss: 0.492 | Val-acc-top1: 0.759 | time: 2.3 | Speed: 949.87 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.798, loss: 0.439 | Val-acc-top1: 0.723 | time: 2.3 | Speed: 955.19 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.820, loss: 0.404 | Val-acc-top1: 0.709 | time: 2.3 | Speed: 938.90 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.839, loss: 0.368 | Val-acc-top1: 0.739 | time: 2.2 | Speed: 981.18 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.846, loss: 0.350 | Val-acc-top1: 0.764 | time: 2.3 | Speed: 941.34 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.853, loss: 0.339 | Val-acc-top1: 0.718 | time: 2.3 | Speed: 970.47 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.845, loss: 0.341 | Val-acc-top1: 0.759 | time: 2.3 | Speed: 971.79 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.862, loss: 0.338 | Val-acc-top1: 0.757 | time: 2.0 | Speed: 1080.75 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.863, loss: 0.312 | Val-acc-top1: 0.750 | time: 2.1 | Speed: 1048.06 samples/sec | lr: 0.00700000
