Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v4.2', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v4.2_4551.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.638, loss: 1.936 | Val-acc-top1: 0.683 | time: 4.4 | Speed: 388.22 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.732, loss: 0.745 | Val-acc-top1: 0.685 | time: 2.4 | Speed: 707.49 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.785, loss: 0.455 | Val-acc-top1: 0.837 | time: 2.4 | Speed: 704.32 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.825, loss: 0.377 | Val-acc-top1: 0.874 | time: 2.4 | Speed: 696.92 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.846, loss: 0.380 | Val-acc-top1: 0.865 | time: 2.5 | Speed: 686.36 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.844, loss: 0.341 | Val-acc-top1: 0.881 | time: 2.3 | Speed: 725.47 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.847, loss: 0.337 | Val-acc-top1: 0.869 | time: 2.4 | Speed: 707.58 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.857, loss: 0.315 | Val-acc-top1: 0.881 | time: 2.4 | Speed: 705.82 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.857, loss: 0.313 | Val-acc-top1: 0.888 | time: 2.4 | Speed: 704.57 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.861, loss: 0.314 | Val-acc-top1: 0.869 | time: 2.4 | Speed: 701.19 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.875, loss: 0.279 | Val-acc-top1: 0.902 | time: 2.4 | Speed: 716.17 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.885, loss: 0.276 | Val-acc-top1: 0.914 | time: 2.5 | Speed: 689.85 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.891, loss: 0.265 | Val-acc-top1: 0.907 | time: 2.3 | Speed: 734.02 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.889, loss: 0.259 | Val-acc-top1: 0.921 | time: 2.4 | Speed: 700.98 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.891, loss: 0.254 | Val-acc-top1: 0.909 | time: 2.2 | Speed: 757.74 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.884, loss: 0.264 | Val-acc-top1: 0.921 | time: 2.4 | Speed: 694.56 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.901, loss: 0.240 | Val-acc-top1: 0.925 | time: 2.4 | Speed: 704.22 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.899, loss: 0.245 | Val-acc-top1: 0.939 | time: 2.4 | Speed: 700.89 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.892, loss: 0.232 | Val-acc-top1: 0.925 | time: 2.4 | Speed: 698.46 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.907, loss: 0.234 | Val-acc-top1: 0.932 | time: 2.4 | Speed: 718.66 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.897, loss: 0.242 | Val-acc-top1: 0.923 | time: 2.4 | Speed: 709.90 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.908, loss: 0.215 | Val-acc-top1: 0.932 | time: 2.3 | Speed: 750.91 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.895, loss: 0.223 | Val-acc-top1: 0.949 | time: 2.3 | Speed: 747.70 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.912, loss: 0.207 | Val-acc-top1: 0.951 | time: 2.4 | Speed: 701.24 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.910, loss: 0.211 | Val-acc-top1: 0.935 | time: 2.4 | Speed: 697.59 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.914, loss: 0.203 | Val-acc-top1: 0.930 | time: 2.4 | Speed: 701.97 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.911, loss: 0.214 | Val-acc-top1: 0.939 | time: 2.4 | Speed: 699.88 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.918, loss: 0.203 | Val-acc-top1: 0.953 | time: 2.4 | Speed: 700.44 samples/sec | lr: 0.00343000
[Epoch 28] Train-acc: 0.911, loss: 0.218 | Val-acc-top1: 0.953 | time: 2.3 | Speed: 725.84 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.912, loss: 0.200 | Val-acc-top1: 0.965 | time: 2.5 | Speed: 683.87 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.922, loss: 0.201 | Val-acc-top1: 0.956 | time: 2.4 | Speed: 694.90 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.932, loss: 0.186 | Val-acc-top1: 0.953 | time: 2.4 | Speed: 695.14 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.927, loss: 0.180 | Val-acc-top1: 0.953 | time: 2.4 | Speed: 695.21 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.915, loss: 0.213 | Val-acc-top1: 0.958 | time: 2.4 | Speed: 701.04 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.927, loss: 0.186 | Val-acc-top1: 0.949 | time: 2.5 | Speed: 693.51 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.921, loss: 0.200 | Val-acc-top1: 0.960 | time: 2.4 | Speed: 705.41 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.919, loss: 0.203 | Val-acc-top1: 0.958 | time: 2.5 | Speed: 693.04 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.926, loss: 0.169 | Val-acc-top1: 0.965 | time: 2.4 | Speed: 694.50 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.935, loss: 0.167 | Val-acc-top1: 0.965 | time: 2.3 | Speed: 750.37 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.926, loss: 0.185 | Val-acc-top1: 0.974 | time: 2.4 | Speed: 703.56 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.931, loss: 0.174 | Val-acc-top1: 0.965 | time: 2.4 | Speed: 715.38 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.939, loss: 0.151 | Val-acc-top1: 0.965 | time: 2.4 | Speed: 718.15 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.935, loss: 0.173 | Val-acc-top1: 0.963 | time: 2.5 | Speed: 667.14 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.925, loss: 0.182 | Val-acc-top1: 0.967 | time: 2.4 | Speed: 698.90 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.927, loss: 0.180 | Val-acc-top1: 0.970 | time: 2.4 | Speed: 704.18 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.935, loss: 0.174 | Val-acc-top1: 0.972 | time: 2.4 | Speed: 712.77 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.932, loss: 0.175 | Val-acc-top1: 0.965 | time: 2.4 | Speed: 698.15 samples/sec | lr: 0.00168070
[Epoch 47] Train-acc: 0.925, loss: 0.175 | Val-acc-top1: 0.970 | time: 2.5 | Speed: 678.28 samples/sec | lr: 0.00168070
[Epoch 48] Train-acc: 0.939, loss: 0.165 | Val-acc-top1: 0.967 | time: 2.7 | Speed: 638.00 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.940, loss: 0.151 | Val-acc-top1: 0.967 | time: 2.7 | Speed: 639.40 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.940, loss: 0.141 | Val-acc-top1: 0.977 | time: 2.4 | Speed: 699.37 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.938, loss: 0.157 | Val-acc-top1: 0.974 | time: 2.4 | Speed: 699.96 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.941, loss: 0.154 | Val-acc-top1: 0.970 | time: 2.5 | Speed: 677.59 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.944, loss: 0.150 | Val-acc-top1: 0.974 | time: 2.5 | Speed: 688.58 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.935, loss: 0.156 | Val-acc-top1: 0.974 | time: 2.3 | Speed: 724.52 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.937, loss: 0.156 | Val-acc-top1: 0.974 | time: 2.5 | Speed: 683.53 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.933, loss: 0.155 | Val-acc-top1: 0.972 | time: 2.4 | Speed: 712.95 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.938, loss: 0.149 | Val-acc-top1: 0.965 | time: 2.5 | Speed: 677.88 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.937, loss: 0.166 | Val-acc-top1: 0.967 | time: 2.3 | Speed: 725.52 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.932, loss: 0.153 | Val-acc-top1: 0.965 | time: 2.4 | Speed: 711.87 samples/sec | lr: 0.00168070
[Epoch 60] Train-acc: 0.930, loss: 0.183 | Val-acc-top1: 0.974 | time: 2.4 | Speed: 700.97 samples/sec | lr: 0.00168070
[Epoch 61] Train-acc: 0.928, loss: 0.161 | Val-acc-top1: 0.970 | time: 2.7 | Speed: 632.82 samples/sec | lr: 0.00168070
[Epoch 62] Train-acc: 0.937, loss: 0.165 | Val-acc-top1: 0.977 | time: 2.4 | Speed: 697.92 samples/sec | lr: 0.00168070
[Epoch 63] Train-acc: 0.939, loss: 0.144 | Val-acc-top1: 0.979 | time: 2.5 | Speed: 691.12 samples/sec | lr: 0.00168070
[Epoch 64] Train-acc: 0.940, loss: 0.142 | Val-acc-top1: 0.977 | time: 2.5 | Speed: 689.01 samples/sec | lr: 0.00117649
[Epoch 65] Train-acc: 0.936, loss: 0.164 | Val-acc-top1: 0.972 | time: 2.6 | Speed: 661.48 samples/sec | lr: 0.00117649
[Epoch 66] Train-acc: 0.945, loss: 0.145 | Val-acc-top1: 0.984 | time: 2.4 | Speed: 706.00 samples/sec | lr: 0.00117649
[Epoch 67] Train-acc: 0.950, loss: 0.131 | Val-acc-top1: 0.984 | time: 2.5 | Speed: 678.83 samples/sec | lr: 0.00117649
[Epoch 68] Train-acc: 0.938, loss: 0.170 | Val-acc-top1: 0.974 | time: 2.5 | Speed: 685.99 samples/sec | lr: 0.00117649
[Epoch 69] Train-acc: 0.942, loss: 0.154 | Val-acc-top1: 0.974 | time: 2.5 | Speed: 678.86 samples/sec | lr: 0.00117649
[Epoch 70] Train-acc: 0.931, loss: 0.161 | Val-acc-top1: 0.979 | time: 2.4 | Speed: 713.68 samples/sec | lr: 0.00117649
[Epoch 71] Train-acc: 0.941, loss: 0.156 | Val-acc-top1: 0.979 | time: 2.5 | Speed: 668.92 samples/sec | lr: 0.00117649
