Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v4.3', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v4.3_4150.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.637, loss: 1.746 | Val-acc-top1: 0.799 | time: 4.7 | Speed: 467.08 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.785, loss: 0.483 | Val-acc-top1: 0.791 | time: 2.9 | Speed: 755.09 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.834, loss: 0.388 | Val-acc-top1: 0.750 | time: 2.9 | Speed: 764.41 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.844, loss: 0.350 | Val-acc-top1: 0.802 | time: 2.9 | Speed: 767.77 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.858, loss: 0.321 | Val-acc-top1: 0.808 | time: 2.9 | Speed: 750.47 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.871, loss: 0.296 | Val-acc-top1: 0.844 | time: 2.9 | Speed: 751.36 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.871, loss: 0.288 | Val-acc-top1: 0.835 | time: 2.8 | Speed: 785.79 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.870, loss: 0.317 | Val-acc-top1: 0.822 | time: 3.0 | Speed: 736.96 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.875, loss: 0.291 | Val-acc-top1: 0.844 | time: 3.0 | Speed: 733.46 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.887, loss: 0.264 | Val-acc-top1: 0.836 | time: 2.9 | Speed: 755.68 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.891, loss: 0.252 | Val-acc-top1: 0.836 | time: 2.9 | Speed: 749.42 samples/sec | lr: 0.00700000
