Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v4.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v4.4_3952_160.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.681, loss: 1.700 | Val-acc-top1: 0.781 | time: 4.7 | Speed: 463.28 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.797, loss: 0.492 | Val-acc-top1: 0.791 | time: 2.9 | Speed: 769.11 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.814, loss: 0.427 | Val-acc-top1: 0.813 | time: 2.9 | Speed: 768.81 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.850, loss: 0.337 | Val-acc-top1: 0.786 | time: 2.9 | Speed: 761.86 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.871, loss: 0.296 | Val-acc-top1: 0.847 | time: 2.8 | Speed: 782.48 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.880, loss: 0.300 | Val-acc-top1: 0.818 | time: 2.9 | Speed: 766.32 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.875, loss: 0.307 | Val-acc-top1: 0.847 | time: 2.8 | Speed: 797.93 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.881, loss: 0.287 | Val-acc-top1: 0.608 | time: 2.9 | Speed: 769.55 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.881, loss: 0.295 | Val-acc-top1: 0.854 | time: 2.9 | Speed: 752.76 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.882, loss: 0.269 | Val-acc-top1: 0.863 | time: 2.8 | Speed: 787.18 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.889, loss: 0.257 | Val-acc-top1: 0.775 | time: 2.9 | Speed: 752.53 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.893, loss: 0.242 | Val-acc-top1: 0.815 | time: 2.9 | Speed: 766.55 samples/sec | lr: 0.00700000
