Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v4.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v4.4_3952_160.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.713, loss: 1.258 | Val-acc-top1: 0.797 | time: 4.7 | Speed: 471.34 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.781, loss: 0.526 | Val-acc-top1: 0.793 | time: 2.9 | Speed: 762.02 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.823, loss: 0.393 | Val-acc-top1: 0.755 | time: 2.8 | Speed: 774.00 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.850, loss: 0.331 | Val-acc-top1: 0.835 | time: 2.9 | Speed: 750.91 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.871, loss: 0.307 | Val-acc-top1: 0.845 | time: 2.9 | Speed: 757.78 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.877, loss: 0.294 | Val-acc-top1: 0.853 | time: 2.8 | Speed: 795.31 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.868, loss: 0.295 | Val-acc-top1: 0.867 | time: 2.9 | Speed: 757.06 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.885, loss: 0.266 | Val-acc-top1: 0.763 | time: 2.8 | Speed: 781.13 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.897, loss: 0.252 | Val-acc-top1: 0.847 | time: 2.9 | Speed: 754.29 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.895, loss: 0.262 | Val-acc-top1: 0.856 | time: 2.7 | Speed: 819.14 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.887, loss: 0.245 | Val-acc-top1: 0.862 | time: 2.9 | Speed: 767.29 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.906, loss: 0.239 | Val-acc-top1: 0.874 | time: 3.1 | Speed: 708.82 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.910, loss: 0.216 | Val-acc-top1: 0.862 | time: 3.0 | Speed: 742.01 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.910, loss: 0.212 | Val-acc-top1: 0.851 | time: 3.0 | Speed: 737.45 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.907, loss: 0.214 | Val-acc-top1: 0.862 | time: 3.0 | Speed: 728.17 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.920, loss: 0.217 | Val-acc-top1: 0.892 | time: 3.1 | Speed: 702.91 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.920, loss: 0.202 | Val-acc-top1: 0.878 | time: 3.2 | Speed: 692.63 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.920, loss: 0.201 | Val-acc-top1: 0.887 | time: 3.0 | Speed: 730.07 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.911, loss: 0.219 | Val-acc-top1: 0.874 | time: 3.0 | Speed: 725.59 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.905, loss: 0.254 | Val-acc-top1: 0.872 | time: 2.9 | Speed: 748.78 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.919, loss: 0.222 | Val-acc-top1: 0.872 | time: 2.9 | Speed: 754.65 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.926, loss: 0.198 | Val-acc-top1: 0.896 | time: 2.9 | Speed: 753.56 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.923, loss: 0.198 | Val-acc-top1: 0.890 | time: 2.9 | Speed: 757.64 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.928, loss: 0.183 | Val-acc-top1: 0.879 | time: 3.0 | Speed: 739.07 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.921, loss: 0.182 | Val-acc-top1: 0.858 | time: 3.0 | Speed: 733.00 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.921, loss: 0.195 | Val-acc-top1: 0.808 | time: 3.2 | Speed: 687.05 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.922, loss: 0.177 | Val-acc-top1: 0.885 | time: 3.1 | Speed: 699.65 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.934, loss: 0.173 | Val-acc-top1: 0.856 | time: 3.0 | Speed: 742.25 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.943, loss: 0.159 | Val-acc-top1: 0.890 | time: 2.8 | Speed: 784.06 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.933, loss: 0.168 | Val-acc-top1: 0.876 | time: 3.0 | Speed: 741.91 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.931, loss: 0.172 | Val-acc-top1: 0.838 | time: 2.9 | Speed: 746.03 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.941, loss: 0.152 | Val-acc-top1: 0.897 | time: 2.9 | Speed: 756.44 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.940, loss: 0.147 | Val-acc-top1: 0.896 | time: 2.9 | Speed: 745.80 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.935, loss: 0.151 | Val-acc-top1: 0.883 | time: 2.8 | Speed: 774.91 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.938, loss: 0.154 | Val-acc-top1: 0.892 | time: 2.9 | Speed: 765.14 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.933, loss: 0.162 | Val-acc-top1: 0.892 | time: 2.9 | Speed: 756.80 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.946, loss: 0.135 | Val-acc-top1: 0.906 | time: 2.9 | Speed: 761.43 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.944, loss: 0.138 | Val-acc-top1: 0.894 | time: 2.9 | Speed: 753.74 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.944, loss: 0.134 | Val-acc-top1: 0.890 | time: 3.0 | Speed: 737.66 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.945, loss: 0.128 | Val-acc-top1: 0.879 | time: 2.9 | Speed: 749.34 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.945, loss: 0.146 | Val-acc-top1: 0.890 | time: 2.9 | Speed: 751.73 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.956, loss: 0.131 | Val-acc-top1: 0.894 | time: 2.9 | Speed: 767.84 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.940, loss: 0.153 | Val-acc-top1: 0.890 | time: 2.9 | Speed: 766.91 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.934, loss: 0.149 | Val-acc-top1: 0.863 | time: 3.1 | Speed: 708.89 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.950, loss: 0.132 | Val-acc-top1: 0.874 | time: 3.1 | Speed: 699.81 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.954, loss: 0.130 | Val-acc-top1: 0.901 | time: 3.1 | Speed: 709.25 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.940, loss: 0.146 | Val-acc-top1: 0.892 | time: 3.1 | Speed: 706.45 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.954, loss: 0.127 | Val-acc-top1: 0.899 | time: 3.1 | Speed: 719.66 samples/sec | lr: 0.00168070
[Epoch 48] Train-acc: 0.949, loss: 0.130 | Val-acc-top1: 0.899 | time: 3.1 | Speed: 721.13 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.945, loss: 0.135 | Val-acc-top1: 0.879 | time: 3.2 | Speed: 696.14 samples/sec | lr: 0.00168070
