Namespace(batch_norm=False, batch_size=32, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=112, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v3.4.2_train_imagenet.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v3.4.2', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params', save_frequency=200, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [199]	Speed: 2134.587834 samples/sec	accuracy=0.000781	lr=0.000400
Epoch[0] Batch [399]	Speed: 2374.997377 samples/sec	accuracy=0.000859	lr=0.000799
Epoch[0] Batch [599]	Speed: 2379.898015 samples/sec	accuracy=0.000885	lr=0.001199
Epoch[0] Batch [799]	Speed: 2264.925469 samples/sec	accuracy=0.001133	lr=0.001599
Epoch[0] Batch [999]	Speed: 2346.157996 samples/sec	accuracy=0.001156	lr=0.001998
Epoch[0] Batch [1199]	Speed: 2329.250533 samples/sec	accuracy=0.001276	lr=0.002398
Epoch[0] Batch [1399]	Speed: 2124.680220 samples/sec	accuracy=0.001652	lr=0.002797
Epoch[0] Batch [1599]	Speed: 2390.376923 samples/sec	accuracy=0.001797	lr=0.003197
Epoch[0] Batch [1799]	Speed: 2293.859012 samples/sec	accuracy=0.002170	lr=0.003597
Epoch[0] Batch [1999]	Speed: 2356.243422 samples/sec	accuracy=0.002312	lr=0.003996
Epoch[0] Batch [2199]	Speed: 2316.170134 samples/sec	accuracy=0.002500	lr=0.004396
Epoch[0] Batch [2399]	Speed: 2336.785521 samples/sec	accuracy=0.002617	lr=0.004796
