Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=200, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,80,120,160', model='ResNet50_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.679, loss: 0.601 | Val-acc: 0.768 | time: 11.9
[Epoch 1] Train-acc: 0.806, loss: 0.411 | Val-acc: 0.808 | time: 5.7
[Epoch 2] Train-acc: 0.845, loss: 0.347 | Val-acc: 0.863 | time: 5.6
[Epoch 3] Train-acc: 0.875, loss: 0.300 | Val-acc: 0.856 | time: 5.8
[Epoch 4] Train-acc: 0.885, loss: 0.271 | Val-acc: 0.833 | time: 5.8
[Epoch 5] Train-acc: 0.890, loss: 0.269 | Val-acc: 0.856 | time: 6.0
[Epoch 6] Train-acc: 0.893, loss: 0.254 | Val-acc: 0.878 | time: 6.0
[Epoch 7] Train-acc: 0.911, loss: 0.227 | Val-acc: 0.860 | time: 5.8
[Epoch 8] Train-acc: 0.923, loss: 0.187 | Val-acc: 0.890 | time: 5.8
[Epoch 9] Train-acc: 0.918, loss: 0.196 | Val-acc: 0.883 | time: 5.9
[Epoch 10] Train-acc: 0.926, loss: 0.176 | Val-acc: 0.888 | time: 5.7
[Epoch 11] Train-acc: 0.937, loss: 0.166 | Val-acc: 0.878 | time: 5.6
[Epoch 12] Train-acc: 0.931, loss: 0.174 | Val-acc: 0.878 | time: 5.7
[Epoch 13] Train-acc: 0.945, loss: 0.146 | Val-acc: 0.883 | time: 5.8
[Epoch 14] Train-acc: 0.937, loss: 0.149 | Val-acc: 0.883 | time: 5.9
[Epoch 15] Train-acc: 0.945, loss: 0.147 | Val-acc: 0.883 | time: 5.7
[Epoch 16] Train-acc: 0.934, loss: 0.153 | Val-acc: 0.874 | time: 5.7
[Epoch 17] Train-acc: 0.940, loss: 0.149 | Val-acc: 0.892 | time: 5.7
[Epoch 18] Train-acc: 0.941, loss: 0.151 | Val-acc: 0.887 | time: 5.7
[Epoch 19] Train-acc: 0.950, loss: 0.122 | Val-acc: 0.899 | time: 5.7
[Epoch 20] Train-acc: 0.960, loss: 0.109 | Val-acc: 0.899 | time: 5.8
[Epoch 21] Train-acc: 0.951, loss: 0.130 | Val-acc: 0.899 | time: 5.9
[Epoch 22] Train-acc: 0.951, loss: 0.113 | Val-acc: 0.903 | time: 5.8
[Epoch 23] Train-acc: 0.956, loss: 0.110 | Val-acc: 0.901 | time: 5.7
[Epoch 24] Train-acc: 0.954, loss: 0.117 | Val-acc: 0.901 | time: 5.7
[Epoch 25] Train-acc: 0.959, loss: 0.110 | Val-acc: 0.903 | time: 5.8
[Epoch 26] Train-acc: 0.958, loss: 0.112 | Val-acc: 0.899 | time: 5.9
[Epoch 27] Train-acc: 0.955, loss: 0.108 | Val-acc: 0.903 | time: 5.8
[Epoch 28] Train-acc: 0.958, loss: 0.101 | Val-acc: 0.910 | time: 5.8
[Epoch 29] Train-acc: 0.965, loss: 0.097 | Val-acc: 0.901 | time: 5.7
[Epoch 30] Train-acc: 0.962, loss: 0.092 | Val-acc: 0.896 | time: 5.8
[Epoch 31] Train-acc: 0.955, loss: 0.102 | Val-acc: 0.905 | time: 5.7
[Epoch 32] Train-acc: 0.964, loss: 0.095 | Val-acc: 0.912 | time: 5.7
[Epoch 33] Train-acc: 0.958, loss: 0.100 | Val-acc: 0.915 | time: 5.8
[Epoch 34] Train-acc: 0.960, loss: 0.096 | Val-acc: 0.908 | time: 5.8
[Epoch 35] Train-acc: 0.967, loss: 0.088 | Val-acc: 0.912 | time: 5.7
[Epoch 36] Train-acc: 0.964, loss: 0.099 | Val-acc: 0.915 | time: 5.9
[Epoch 37] Train-acc: 0.957, loss: 0.101 | Val-acc: 0.901 | time: 5.8
[Epoch 38] Train-acc: 0.969, loss: 0.087 | Val-acc: 0.908 | time: 5.9
[Epoch 39] Train-acc: 0.962, loss: 0.102 | Val-acc: 0.906 | time: 5.7
[Epoch 40] Train-acc: 0.966, loss: 0.088 | Val-acc: 0.905 | time: 6.3
[Epoch 41] Train-acc: 0.965, loss: 0.086 | Val-acc: 0.897 | time: 5.9
[Epoch 42] Train-acc: 0.970, loss: 0.077 | Val-acc: 0.910 | time: 5.8
[Epoch 43] Train-acc: 0.971, loss: 0.086 | Val-acc: 0.906 | time: 5.8
[Epoch 44] Train-acc: 0.968, loss: 0.080 | Val-acc: 0.908 | time: 5.8
[Epoch 45] Train-acc: 0.969, loss: 0.081 | Val-acc: 0.910 | time: 5.8
[Epoch 46] Train-acc: 0.963, loss: 0.092 | Val-acc: 0.917 | time: 5.8
[Epoch 47] Train-acc: 0.966, loss: 0.092 | Val-acc: 0.910 | time: 5.9
[Epoch 48] Train-acc: 0.965, loss: 0.079 | Val-acc: 0.903 | time: 5.9
[Epoch 49] Train-acc: 0.970, loss: 0.081 | Val-acc: 0.912 | time: 5.8
[Epoch 50] Train-acc: 0.968, loss: 0.078 | Val-acc: 0.905 | time: 5.8
[Epoch 51] Train-acc: 0.971, loss: 0.081 | Val-acc: 0.903 | time: 5.8
[Epoch 52] Train-acc: 0.968, loss: 0.076 | Val-acc: 0.906 | time: 5.8
[Epoch 53] Train-acc: 0.974, loss: 0.068 | Val-acc: 0.899 | time: 6.0
[Epoch 54] Train-acc: 0.973, loss: 0.075 | Val-acc: 0.896 | time: 5.9
[Epoch 55] Train-acc: 0.968, loss: 0.079 | Val-acc: 0.901 | time: 5.7
[Epoch 56] Train-acc: 0.966, loss: 0.082 | Val-acc: 0.903 | time: 5.7
[Epoch 57] Train-acc: 0.967, loss: 0.087 | Val-acc: 0.901 | time: 5.7
[Epoch 58] Train-acc: 0.972, loss: 0.070 | Val-acc: 0.908 | time: 5.7
[Epoch 59] Train-acc: 0.965, loss: 0.081 | Val-acc: 0.910 | time: 5.8
[Epoch 60] Train-acc: 0.969, loss: 0.086 | Val-acc: 0.899 | time: 6.0
[Epoch 61] Train-acc: 0.973, loss: 0.068 | Val-acc: 0.912 | time: 5.9
[Epoch 62] Train-acc: 0.976, loss: 0.064 | Val-acc: 0.906 | time: 6.0
[Epoch 63] Train-acc: 0.971, loss: 0.069 | Val-acc: 0.897 | time: 5.7
[Epoch 64] Train-acc: 0.965, loss: 0.091 | Val-acc: 0.897 | time: 5.9
