Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.710, loss: 0.562 | Val-acc-top1: 0.782 | time: 1.5 | Speed: 1101.72 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.786, loss: 0.458 | Val-acc-top1: 0.820 | time: 1.2 | Speed: 1444.80 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.804, loss: 0.456 | Val-acc-top1: 0.820 | time: 1.2 | Speed: 1440.79 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.786, loss: 0.460 | Val-acc-top1: 0.787 | time: 1.2 | Speed: 1455.78 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.807, loss: 0.436 | Val-acc-top1: 0.845 | time: 1.2 | Speed: 1457.64 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.822, loss: 0.397 | Val-acc-top1: 0.700 | time: 1.2 | Speed: 1427.68 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.798, loss: 0.430 | Val-acc-top1: 0.787 | time: 1.2 | Speed: 1437.62 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.814, loss: 0.411 | Val-acc-top1: 0.775 | time: 1.2 | Speed: 1464.61 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.806, loss: 0.425 | Val-acc-top1: 0.815 | time: 1.2 | Speed: 1466.61 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.842, loss: 0.365 | Val-acc-top1: 0.799 | time: 1.2 | Speed: 1431.82 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.832, loss: 0.365 | Val-acc-top1: 0.796 | time: 1.2 | Speed: 1412.53 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.835, loss: 0.369 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1409.61 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.826, loss: 0.376 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1410.89 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.842, loss: 0.354 | Val-acc-top1: 0.829 | time: 1.2 | Speed: 1413.86 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.855, loss: 0.349 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1449.29 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.840, loss: 0.359 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1381.29 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.851, loss: 0.329 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1449.11 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.841, loss: 0.351 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1394.82 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.843, loss: 0.330 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1410.79 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.860, loss: 0.326 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1451.80 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.845, loss: 0.329 | Val-acc-top1: 0.829 | time: 1.2 | Speed: 1442.07 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.857, loss: 0.328 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1425.20 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.856, loss: 0.333 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1435.07 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.874, loss: 0.300 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1417.62 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.876, loss: 0.282 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1462.92 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.871, loss: 0.302 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1396.74 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.865, loss: 0.316 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1409.41 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.856, loss: 0.323 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1456.53 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.864, loss: 0.300 | Val-acc-top1: 0.841 | time: 1.2 | Speed: 1445.48 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.874, loss: 0.290 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1410.30 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.891, loss: 0.278 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1402.54 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.877, loss: 0.287 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1428.52 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.880, loss: 0.285 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1413.11 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.875, loss: 0.287 | Val-acc-top1: 0.789 | time: 1.2 | Speed: 1361.09 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.895, loss: 0.272 | Val-acc-top1: 0.862 | time: 1.3 | Speed: 1272.80 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.873, loss: 0.299 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1409.76 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.885, loss: 0.273 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1381.32 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.867, loss: 0.283 | Val-acc-top1: 0.820 | time: 1.2 | Speed: 1418.43 samples/sec | lr: 0.00343000
[Epoch 38] Train-acc: 0.895, loss: 0.261 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1373.27 samples/sec | lr: 0.00343000
[Epoch 39] Train-acc: 0.883, loss: 0.278 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1430.71 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.876, loss: 0.281 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1443.34 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.894, loss: 0.259 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1450.21 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.883, loss: 0.276 | Val-acc-top1: 0.885 | time: 1.2 | Speed: 1444.61 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.904, loss: 0.246 | Val-acc-top1: 0.885 | time: 1.2 | Speed: 1374.20 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.894, loss: 0.265 | Val-acc-top1: 0.829 | time: 1.2 | Speed: 1457.16 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.887, loss: 0.266 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1432.85 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.888, loss: 0.270 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1440.82 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.893, loss: 0.261 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1448.06 samples/sec | lr: 0.00240100
[Epoch 48] Train-acc: 0.880, loss: 0.271 | Val-acc-top1: 0.876 | time: 1.2 | Speed: 1407.84 samples/sec | lr: 0.00240100
[Epoch 49] Train-acc: 0.890, loss: 0.249 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1438.54 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.893, loss: 0.258 | Val-acc-top1: 0.876 | time: 1.2 | Speed: 1421.85 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.894, loss: 0.244 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1448.41 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.883, loss: 0.265 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1424.95 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.896, loss: 0.246 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1441.22 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.898, loss: 0.247 | Val-acc-top1: 0.883 | time: 1.2 | Speed: 1424.97 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.897, loss: 0.247 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1380.54 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.899, loss: 0.242 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1438.55 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.905, loss: 0.236 | Val-acc-top1: 0.834 | time: 1.2 | Speed: 1437.27 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.904, loss: 0.239 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1420.31 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.907, loss: 0.235 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1416.74 samples/sec | lr: 0.00168070
[Epoch 60] Train-acc: 0.908, loss: 0.226 | Val-acc-top1: 0.841 | time: 1.2 | Speed: 1423.75 samples/sec | lr: 0.00168070
[Epoch 61] Train-acc: 0.897, loss: 0.240 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1398.70 samples/sec | lr: 0.00168070
[Epoch 62] Train-acc: 0.900, loss: 0.239 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1447.82 samples/sec | lr: 0.00168070
[Epoch 63] Train-acc: 0.907, loss: 0.227 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1397.47 samples/sec | lr: 0.00168070
[Epoch 64] Train-acc: 0.893, loss: 0.254 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1362.99 samples/sec | lr: 0.00168070
[Epoch 65] Train-acc: 0.907, loss: 0.225 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1380.48 samples/sec | lr: 0.00168070
[Epoch 66] Train-acc: 0.905, loss: 0.238 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1384.32 samples/sec | lr: 0.00168070
[Epoch 67] Train-acc: 0.894, loss: 0.246 | Val-acc-top1: 0.862 | time: 1.3 | Speed: 1320.20 samples/sec | lr: 0.00168070
[Epoch 68] Train-acc: 0.891, loss: 0.254 | Val-acc-top1: 0.857 | time: 1.3 | Speed: 1300.40 samples/sec | lr: 0.00117649
[Epoch 69] Train-acc: 0.907, loss: 0.241 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1384.78 samples/sec | lr: 0.00117649
[Epoch 70] Train-acc: 0.896, loss: 0.245 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1415.25 samples/sec | lr: 0.00117649
[Epoch 71] Train-acc: 0.909, loss: 0.236 | Val-acc-top1: 0.876 | time: 1.2 | Speed: 1404.15 samples/sec | lr: 0.00117649
[Epoch 72] Train-acc: 0.906, loss: 0.241 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1398.81 samples/sec | lr: 0.00117649
[Epoch 73] Train-acc: 0.906, loss: 0.222 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1409.19 samples/sec | lr: 0.00117649
[Epoch 74] Train-acc: 0.912, loss: 0.229 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1401.09 samples/sec | lr: 0.00117649
[Epoch 75] Train-acc: 0.916, loss: 0.215 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1418.62 samples/sec | lr: 0.00117649
[Epoch 76] Train-acc: 0.914, loss: 0.216 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1379.86 samples/sec | lr: 0.00117649
[Epoch 77] Train-acc: 0.918, loss: 0.221 | Val-acc-top1: 0.871 | time: 1.3 | Speed: 1347.55 samples/sec | lr: 0.00117649
[Epoch 78] Train-acc: 0.912, loss: 0.229 | Val-acc-top1: 0.876 | time: 1.2 | Speed: 1396.50 samples/sec | lr: 0.00117649
[Epoch 79] Train-acc: 0.904, loss: 0.235 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1424.92 samples/sec | lr: 0.00117649
[Epoch 80] Train-acc: 0.907, loss: 0.232 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1450.26 samples/sec | lr: 0.00117649
[Epoch 81] Train-acc: 0.909, loss: 0.219 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1417.94 samples/sec | lr: 0.00117649
[Epoch 82] Train-acc: 0.903, loss: 0.232 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1413.22 samples/sec | lr: 0.00117649
[Epoch 83] Train-acc: 0.904, loss: 0.230 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1389.20 samples/sec | lr: 0.00117649
[Epoch 84] Train-acc: 0.907, loss: 0.225 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1385.97 samples/sec | lr: 0.00117649
[Epoch 85] Train-acc: 0.906, loss: 0.222 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1434.44 samples/sec | lr: 0.00117649
[Epoch 86] Train-acc: 0.900, loss: 0.241 | Val-acc-top1: 0.845 | time: 1.2 | Speed: 1415.00 samples/sec | lr: 0.00117649
[Epoch 87] Train-acc: 0.910, loss: 0.228 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1396.40 samples/sec | lr: 0.00117649
[Epoch 88] Train-acc: 0.906, loss: 0.223 | Val-acc-top1: 0.862 | time: 1.3 | Speed: 1329.11 samples/sec | lr: 0.00117649
[Epoch 89] Train-acc: 0.900, loss: 0.233 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1450.50 samples/sec | lr: 0.00117649
[Epoch 90] Train-acc: 0.911, loss: 0.220 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1380.53 samples/sec | lr: 0.00117649
[Epoch 91] Train-acc: 0.909, loss: 0.215 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1412.78 samples/sec | lr: 0.00117649
[Epoch 92] Train-acc: 0.906, loss: 0.226 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1411.44 samples/sec | lr: 0.00117649
[Epoch 93] Train-acc: 0.917, loss: 0.212 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1382.80 samples/sec | lr: 0.00117649
[Epoch 94] Train-acc: 0.908, loss: 0.239 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1428.01 samples/sec | lr: 0.00117649
[Epoch 95] Train-acc: 0.896, loss: 0.234 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1364.10 samples/sec | lr: 0.00117649
[Epoch 96] Train-acc: 0.912, loss: 0.210 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1380.99 samples/sec | lr: 0.00117649
[Epoch 97] Train-acc: 0.901, loss: 0.223 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1395.54 samples/sec | lr: 0.00117649
[Epoch 98] Train-acc: 0.910, loss: 0.219 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1404.59 samples/sec | lr: 0.00117649
[Epoch 99] Train-acc: 0.915, loss: 0.210 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1413.11 samples/sec | lr: 0.00117649
[Epoch 100] Train-acc: 0.904, loss: 0.227 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1419.21 samples/sec | lr: 0.00117649
[Epoch 101] Train-acc: 0.909, loss: 0.211 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1414.26 samples/sec | lr: 0.00117649
[Epoch 102] Train-acc: 0.907, loss: 0.211 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1399.61 samples/sec | lr: 0.00117649
[Epoch 103] Train-acc: 0.917, loss: 0.221 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1411.33 samples/sec | lr: 0.00117649
[Epoch 104] Train-acc: 0.919, loss: 0.212 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1431.46 samples/sec | lr: 0.00117649
[Epoch 105] Train-acc: 0.909, loss: 0.212 | Val-acc-top1: 0.871 | time: 1.4 | Speed: 1247.91 samples/sec | lr: 0.00117649
[Epoch 106] Train-acc: 0.912, loss: 0.212 | Val-acc-top1: 0.876 | time: 1.4 | Speed: 1235.25 samples/sec | lr: 0.00117649
[Epoch 107] Train-acc: 0.910, loss: 0.218 | Val-acc-top1: 0.869 | time: 1.3 | Speed: 1263.08 samples/sec | lr: 0.00082354
[Epoch 108] Train-acc: 0.917, loss: 0.216 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1192.68 samples/sec | lr: 0.00082354
[Epoch 109] Train-acc: 0.911, loss: 0.212 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1370.97 samples/sec | lr: 0.00082354
[Epoch 110] Train-acc: 0.914, loss: 0.224 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1391.01 samples/sec | lr: 0.00082354
[Epoch 111] Train-acc: 0.909, loss: 0.219 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1386.36 samples/sec | lr: 0.00082354
[Epoch 112] Train-acc: 0.923, loss: 0.195 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1379.24 samples/sec | lr: 0.00082354
[Epoch 113] Train-acc: 0.914, loss: 0.215 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1406.08 samples/sec | lr: 0.00082354
[Epoch 114] Train-acc: 0.914, loss: 0.219 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1389.85 samples/sec | lr: 0.00082354
[Epoch 115] Train-acc: 0.909, loss: 0.206 | Val-acc-top1: 0.871 | time: 1.4 | Speed: 1247.13 samples/sec | lr: 0.00082354
[Epoch 116] Train-acc: 0.909, loss: 0.217 | Val-acc-top1: 0.869 | time: 1.4 | Speed: 1212.80 samples/sec | lr: 0.00082354
[Epoch 117] Train-acc: 0.913, loss: 0.208 | Val-acc-top1: 0.864 | time: 1.5 | Speed: 1093.77 samples/sec | lr: 0.00082354
[Epoch 118] Train-acc: 0.911, loss: 0.202 | Val-acc-top1: 0.871 | time: 1.4 | Speed: 1212.09 samples/sec | lr: 0.00082354
[Epoch 119] Train-acc: 0.918, loss: 0.209 | Val-acc-top1: 0.864 | time: 1.5 | Speed: 1107.06 samples/sec | lr: 0.00082354
[Epoch 120] Train-acc: 0.912, loss: 0.209 | Val-acc-top1: 0.864 | time: 1.5 | Speed: 1163.24 samples/sec | lr: 0.00082354
[Epoch 121] Train-acc: 0.914, loss: 0.217 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1227.17 samples/sec | lr: 0.00082354
[Epoch 122] Train-acc: 0.917, loss: 0.201 | Val-acc-top1: 0.862 | time: 1.4 | Speed: 1229.64 samples/sec | lr: 0.00082354
[Epoch 123] Train-acc: 0.922, loss: 0.212 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1378.76 samples/sec | lr: 0.00082354
[Epoch 124] Train-acc: 0.926, loss: 0.191 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1409.09 samples/sec | lr: 0.00082354
[Epoch 125] Train-acc: 0.907, loss: 0.225 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1419.58 samples/sec | lr: 0.00082354
[Epoch 126] Train-acc: 0.916, loss: 0.211 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1402.86 samples/sec | lr: 0.00082354
[Epoch 127] Train-acc: 0.906, loss: 0.223 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1382.52 samples/sec | lr: 0.00082354
[Epoch 128] Train-acc: 0.917, loss: 0.197 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1391.43 samples/sec | lr: 0.00082354
[Epoch 129] Train-acc: 0.911, loss: 0.214 | Val-acc-top1: 0.859 | time: 1.3 | Speed: 1354.44 samples/sec | lr: 0.00082354
[Epoch 130] Train-acc: 0.915, loss: 0.213 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1405.84 samples/sec | lr: 0.00082354
[Epoch 131] Train-acc: 0.914, loss: 0.196 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1398.92 samples/sec | lr: 0.00082354
[Epoch 132] Train-acc: 0.923, loss: 0.192 | Val-acc-top1: 0.864 | time: 1.3 | Speed: 1332.58 samples/sec | lr: 0.00082354
[Epoch 133] Train-acc: 0.901, loss: 0.230 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1400.68 samples/sec | lr: 0.00082354
[Epoch 134] Train-acc: 0.913, loss: 0.216 | Val-acc-top1: 0.857 | time: 1.3 | Speed: 1310.56 samples/sec | lr: 0.00082354
[Epoch 135] Train-acc: 0.919, loss: 0.204 | Val-acc-top1: 0.862 | time: 1.3 | Speed: 1320.41 samples/sec | lr: 0.00082354
[Epoch 136] Train-acc: 0.922, loss: 0.197 | Val-acc-top1: 0.859 | time: 1.3 | Speed: 1272.84 samples/sec | lr: 0.00082354
[Epoch 137] Train-acc: 0.910, loss: 0.208 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1230.62 samples/sec | lr: 0.00082354
[Epoch 138] Train-acc: 0.910, loss: 0.219 | Val-acc-top1: 0.852 | time: 1.4 | Speed: 1248.86 samples/sec | lr: 0.00082354
