Namespace(batch_size=64, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.676, loss: 0.607 | Val-acc-top1: 0.789 | time: 1.8 | Speed: 943.19 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.761, loss: 0.501 | Val-acc-top1: 0.719 | time: 1.2 | Speed: 1399.26 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.795, loss: 0.452 | Val-acc-top1: 0.754 | time: 1.2 | Speed: 1398.78 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.799, loss: 0.435 | Val-acc-top1: 0.815 | time: 1.2 | Speed: 1414.51 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.798, loss: 0.431 | Val-acc-top1: 0.822 | time: 1.2 | Speed: 1405.31 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.808, loss: 0.420 | Val-acc-top1: 0.838 | time: 1.2 | Speed: 1420.94 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.824, loss: 0.395 | Val-acc-top1: 0.651 | time: 1.3 | Speed: 1351.51 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.825, loss: 0.402 | Val-acc-top1: 0.822 | time: 1.2 | Speed: 1432.39 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.824, loss: 0.379 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1413.56 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.822, loss: 0.396 | Val-acc-top1: 0.806 | time: 1.2 | Speed: 1385.88 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.841, loss: 0.362 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1416.47 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.837, loss: 0.365 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1364.62 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.842, loss: 0.356 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1393.01 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.842, loss: 0.363 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1391.77 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.840, loss: 0.366 | Val-acc-top1: 0.836 | time: 1.2 | Speed: 1377.32 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.843, loss: 0.337 | Val-acc-top1: 0.799 | time: 1.3 | Speed: 1344.07 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.860, loss: 0.333 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1401.61 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.867, loss: 0.326 | Val-acc-top1: 0.731 | time: 1.2 | Speed: 1402.45 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.841, loss: 0.354 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1356.62 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.841, loss: 0.332 | Val-acc-top1: 0.845 | time: 1.2 | Speed: 1403.33 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.861, loss: 0.322 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1421.29 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.855, loss: 0.322 | Val-acc-top1: 0.782 | time: 1.2 | Speed: 1401.27 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.864, loss: 0.317 | Val-acc-top1: 0.834 | time: 1.2 | Speed: 1397.11 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.859, loss: 0.326 | Val-acc-top1: 0.836 | time: 1.2 | Speed: 1381.48 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.868, loss: 0.321 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1378.24 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.870, loss: 0.308 | Val-acc-top1: 0.834 | time: 1.3 | Speed: 1277.29 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.867, loss: 0.316 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1250.93 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.863, loss: 0.311 | Val-acc-top1: 0.867 | time: 1.4 | Speed: 1194.61 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.870, loss: 0.301 | Val-acc-top1: 0.859 | time: 1.4 | Speed: 1197.65 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.863, loss: 0.293 | Val-acc-top1: 0.862 | time: 1.4 | Speed: 1225.56 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.868, loss: 0.303 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1414.93 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.873, loss: 0.300 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1406.24 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.867, loss: 0.299 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1385.41 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.882, loss: 0.292 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1382.03 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.879, loss: 0.294 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1389.43 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.868, loss: 0.304 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1379.83 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.882, loss: 0.291 | Val-acc-top1: 0.841 | time: 1.2 | Speed: 1421.44 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.886, loss: 0.292 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1413.54 samples/sec | lr: 0.00343000
[Epoch 38] Train-acc: 0.878, loss: 0.275 | Val-acc-top1: 0.890 | time: 1.2 | Speed: 1417.17 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.872, loss: 0.299 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1367.64 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.870, loss: 0.301 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1369.08 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.881, loss: 0.286 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1370.38 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.877, loss: 0.279 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1364.15 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.882, loss: 0.273 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1379.99 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.880, loss: 0.288 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1400.45 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.886, loss: 0.278 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1414.60 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.870, loss: 0.292 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1387.53 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.886, loss: 0.282 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1394.19 samples/sec | lr: 0.00240100
[Epoch 48] Train-acc: 0.894, loss: 0.271 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1386.99 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.889, loss: 0.269 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1407.29 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.883, loss: 0.279 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1399.59 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.883, loss: 0.282 | Val-acc-top1: 0.883 | time: 1.2 | Speed: 1403.87 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.887, loss: 0.272 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1404.86 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.878, loss: 0.269 | Val-acc-top1: 0.876 | time: 1.2 | Speed: 1408.69 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.883, loss: 0.265 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1361.02 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.894, loss: 0.267 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1401.72 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.892, loss: 0.258 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1389.00 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.881, loss: 0.278 | Val-acc-top1: 0.883 | time: 1.2 | Speed: 1366.24 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.890, loss: 0.277 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1390.26 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.883, loss: 0.273 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1376.38 samples/sec | lr: 0.00168070
