Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.001, lr_decay=0.1, lr_decay_epoch='800', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='output/arm_network_v3.4.1_112_new_dataset1_resize300/arm_network_v3.4.1_8993.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.812, loss: 0.436 | Val-acc-top1: 0.841 | time: 2.1 | Speed: 803.02 samples/sec | lr: 0.00100000
[Epoch 1] Train-acc: 0.851, loss: 0.373 | Val-acc-top1: 0.864 | time: 1.2 | Speed: 1427.43 samples/sec | lr: 0.00100000
[Epoch 2] Train-acc: 0.856, loss: 0.350 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1380.99 samples/sec | lr: 0.00100000
[Epoch 3] Train-acc: 0.862, loss: 0.336 | Val-acc-top1: 0.831 | time: 1.2 | Speed: 1387.38 samples/sec | lr: 0.00100000
[Epoch 4] Train-acc: 0.868, loss: 0.322 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1425.61 samples/sec | lr: 0.00100000
[Epoch 5] Train-acc: 0.867, loss: 0.319 | Val-acc-top1: 0.848 | time: 1.2 | Speed: 1411.68 samples/sec | lr: 0.00100000
[Epoch 6] Train-acc: 0.870, loss: 0.317 | Val-acc-top1: 0.883 | time: 1.2 | Speed: 1404.73 samples/sec | lr: 0.00100000
[Epoch 7] Train-acc: 0.873, loss: 0.299 | Val-acc-top1: 0.878 | time: 1.2 | Speed: 1402.57 samples/sec | lr: 0.00100000
[Epoch 8] Train-acc: 0.873, loss: 0.317 | Val-acc-top1: 0.890 | time: 1.2 | Speed: 1389.23 samples/sec | lr: 0.00100000
[Epoch 9] Train-acc: 0.883, loss: 0.289 | Val-acc-top1: 0.874 | time: 1.2 | Speed: 1378.65 samples/sec | lr: 0.00100000
[Epoch 10] Train-acc: 0.884, loss: 0.282 | Val-acc-top1: 0.890 | time: 1.2 | Speed: 1381.77 samples/sec | lr: 0.00100000
[Epoch 11] Train-acc: 0.886, loss: 0.286 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1399.45 samples/sec | lr: 0.00100000
[Epoch 12] Train-acc: 0.881, loss: 0.274 | Val-acc-top1: 0.899 | time: 1.2 | Speed: 1392.91 samples/sec | lr: 0.00100000
[Epoch 13] Train-acc: 0.892, loss: 0.276 | Val-acc-top1: 0.890 | time: 1.2 | Speed: 1387.89 samples/sec | lr: 0.00100000
[Epoch 14] Train-acc: 0.884, loss: 0.281 | Val-acc-top1: 0.869 | time: 1.2 | Speed: 1383.36 samples/sec | lr: 0.00100000
[Epoch 15] Train-acc: 0.883, loss: 0.274 | Val-acc-top1: 0.867 | time: 1.2 | Speed: 1424.30 samples/sec | lr: 0.00100000
