Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher='resnext50_32x4d', temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.530, loss: 139.014 | Val-acc-top1: 0.597 | time: 7.4 | Speed: 229.13 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.596, loss: 138.705 | Val-acc-top1: 0.653 | time: 2.4 | Speed: 706.77 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.658, loss: 137.950 | Val-acc-top1: 0.756 | time: 2.4 | Speed: 700.01 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.696, loss: 137.737 | Val-acc-top1: 0.546 | time: 2.4 | Speed: 712.25 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.692, loss: 137.625 | Val-acc-top1: 0.578 | time: 2.3 | Speed: 722.58 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.724, loss: 137.412 | Val-acc-top1: 0.595 | time: 2.3 | Speed: 729.52 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.742, loss: 137.129 | Val-acc-top1: 0.698 | time: 2.4 | Speed: 709.96 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.717, loss: 137.153 | Val-acc-top1: 0.787 | time: 2.6 | Speed: 654.83 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.732, loss: 136.985 | Val-acc-top1: 0.724 | time: 2.4 | Speed: 720.68 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.749, loss: 136.890 | Val-acc-top1: 0.604 | time: 2.4 | Speed: 716.89 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.759, loss: 136.722 | Val-acc-top1: 0.499 | time: 2.3 | Speed: 724.91 samples/sec | lr: 0.00700000
