Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4.1_3527.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.687, loss: 0.984 | Val-acc-top1: 0.773 | time: 2.1 | Speed: 796.85 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.764, loss: 0.644 | Val-acc-top1: 0.585 | time: 1.4 | Speed: 1242.60 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.763, loss: 0.537 | Val-acc-top1: 0.799 | time: 1.4 | Speed: 1230.17 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.792, loss: 0.437 | Val-acc-top1: 0.763 | time: 1.3 | Speed: 1277.89 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.822, loss: 0.407 | Val-acc-top1: 0.841 | time: 1.4 | Speed: 1243.27 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.822, loss: 0.390 | Val-acc-top1: 0.857 | time: 1.4 | Speed: 1246.96 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.806, loss: 0.417 | Val-acc-top1: 0.815 | time: 1.3 | Speed: 1271.98 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.822, loss: 0.383 | Val-acc-top1: 0.770 | time: 1.4 | Speed: 1250.52 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.825, loss: 0.413 | Val-acc-top1: 0.852 | time: 1.3 | Speed: 1314.06 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.844, loss: 0.359 | Val-acc-top1: 0.852 | time: 1.4 | Speed: 1251.90 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.850, loss: 0.344 | Val-acc-top1: 0.836 | time: 1.4 | Speed: 1216.35 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.858, loss: 0.324 | Val-acc-top1: 0.845 | time: 1.3 | Speed: 1273.24 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.859, loss: 0.310 | Val-acc-top1: 0.848 | time: 1.4 | Speed: 1245.73 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.869, loss: 0.306 | Val-acc-top1: 0.852 | time: 1.4 | Speed: 1253.49 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.872, loss: 0.313 | Val-acc-top1: 0.852 | time: 1.4 | Speed: 1249.59 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.885, loss: 0.285 | Val-acc-top1: 0.859 | time: 1.4 | Speed: 1236.42 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.881, loss: 0.273 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1244.96 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.868, loss: 0.310 | Val-acc-top1: 0.857 | time: 1.3 | Speed: 1269.60 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.861, loss: 0.321 | Val-acc-top1: 0.862 | time: 1.3 | Speed: 1286.38 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.874, loss: 0.282 | Val-acc-top1: 0.850 | time: 1.4 | Speed: 1212.26 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.877, loss: 0.300 | Val-acc-top1: 0.857 | time: 1.4 | Speed: 1241.68 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.884, loss: 0.263 | Val-acc-top1: 0.848 | time: 1.3 | Speed: 1298.19 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.886, loss: 0.281 | Val-acc-top1: 0.857 | time: 1.3 | Speed: 1288.16 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.885, loss: 0.279 | Val-acc-top1: 0.857 | time: 1.3 | Speed: 1294.19 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.876, loss: 0.290 | Val-acc-top1: 0.796 | time: 1.3 | Speed: 1258.87 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.878, loss: 0.299 | Val-acc-top1: 0.813 | time: 1.4 | Speed: 1249.86 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.871, loss: 0.295 | Val-acc-top1: 0.838 | time: 1.4 | Speed: 1231.91 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.886, loss: 0.249 | Val-acc-top1: 0.845 | time: 1.3 | Speed: 1265.10 samples/sec | lr: 0.00343000
[Epoch 28] Train-acc: 0.887, loss: 0.265 | Val-acc-top1: 0.869 | time: 1.4 | Speed: 1238.88 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.886, loss: 0.259 | Val-acc-top1: 0.841 | time: 1.4 | Speed: 1203.27 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.891, loss: 0.273 | Val-acc-top1: 0.852 | time: 1.3 | Speed: 1266.39 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.897, loss: 0.240 | Val-acc-top1: 0.855 | time: 1.4 | Speed: 1227.17 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.888, loss: 0.280 | Val-acc-top1: 0.855 | time: 1.3 | Speed: 1276.83 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.891, loss: 0.246 | Val-acc-top1: 0.874 | time: 1.3 | Speed: 1256.73 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.888, loss: 0.259 | Val-acc-top1: 0.850 | time: 1.4 | Speed: 1237.79 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.894, loss: 0.246 | Val-acc-top1: 0.864 | time: 1.4 | Speed: 1229.73 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.899, loss: 0.243 | Val-acc-top1: 0.845 | time: 1.3 | Speed: 1271.52 samples/sec | lr: 0.00343000
