Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.2', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.587, loss: 0.671 | Val-acc-top1: 0.499 | time: 1.6 | Speed: 1039.90 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.622, loss: 0.661 | Val-acc-top1: 0.520 | time: 0.9 | Speed: 1796.88 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.646, loss: 0.636 | Val-acc-top1: 0.541 | time: 0.9 | Speed: 1795.29 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.668, loss: 0.611 | Val-acc-top1: 0.618 | time: 1.0 | Speed: 1727.53 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.681, loss: 0.600 | Val-acc-top1: 0.578 | time: 1.0 | Speed: 1755.30 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.665, loss: 0.621 | Val-acc-top1: 0.520 | time: 1.0 | Speed: 1677.50 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.693, loss: 0.589 | Val-acc-top1: 0.710 | time: 1.0 | Speed: 1739.79 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.710, loss: 0.587 | Val-acc-top1: 0.644 | time: 1.0 | Speed: 1701.26 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.732, loss: 0.564 | Val-acc-top1: 0.689 | time: 1.0 | Speed: 1760.73 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.713, loss: 0.556 | Val-acc-top1: 0.703 | time: 0.9 | Speed: 1814.43 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.726, loss: 0.541 | Val-acc-top1: 0.761 | time: 1.0 | Speed: 1746.25 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.746, loss: 0.549 | Val-acc-top1: 0.703 | time: 1.1 | Speed: 1585.40 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.746, loss: 0.532 | Val-acc-top1: 0.770 | time: 1.0 | Speed: 1658.46 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.758, loss: 0.519 | Val-acc-top1: 0.768 | time: 1.0 | Speed: 1668.79 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.754, loss: 0.516 | Val-acc-top1: 0.770 | time: 1.0 | Speed: 1690.13 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.754, loss: 0.526 | Val-acc-top1: 0.700 | time: 1.0 | Speed: 1689.92 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.770, loss: 0.501 | Val-acc-top1: 0.792 | time: 1.0 | Speed: 1651.18 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.763, loss: 0.489 | Val-acc-top1: 0.738 | time: 1.0 | Speed: 1747.73 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.754, loss: 0.519 | Val-acc-top1: 0.754 | time: 1.0 | Speed: 1680.40 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.771, loss: 0.514 | Val-acc-top1: 0.600 | time: 1.0 | Speed: 1682.40 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.751, loss: 0.527 | Val-acc-top1: 0.672 | time: 1.0 | Speed: 1706.48 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.782, loss: 0.481 | Val-acc-top1: 0.756 | time: 1.0 | Speed: 1696.02 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.765, loss: 0.501 | Val-acc-top1: 0.782 | time: 1.0 | Speed: 1670.35 samples/sec | lr: 0.00490000
