Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=300, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70,110,150,200', model='arm_network_v3.4', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.539, loss: 0.695 | Val-acc: 0.635 | time: 5.5
[Epoch 1] Train-acc: 0.588, loss: 0.669 | Val-acc: 0.570 | time: 5.1
[Epoch 2] Train-acc: 0.575, loss: 0.672 | Val-acc: 0.635 | time: 4.8
[Epoch 3] Train-acc: 0.595, loss: 0.658 | Val-acc: 0.680 | time: 4.9
[Epoch 4] Train-acc: 0.641, loss: 0.641 | Val-acc: 0.626 | time: 5.1
[Epoch 5] Train-acc: 0.630, loss: 0.638 | Val-acc: 0.665 | time: 4.9
[Epoch 6] Train-acc: 0.650, loss: 0.631 | Val-acc: 0.667 | time: 4.9
[Epoch 7] Train-acc: 0.641, loss: 0.635 | Val-acc: 0.656 | time: 5.0
[Epoch 8] Train-acc: 0.649, loss: 0.620 | Val-acc: 0.691 | time: 5.1
[Epoch 9] Train-acc: 0.650, loss: 0.631 | Val-acc: 0.612 | time: 5.0
[Epoch 10] Train-acc: 0.661, loss: 0.620 | Val-acc: 0.703 | time: 4.8
[Epoch 11] Train-acc: 0.655, loss: 0.621 | Val-acc: 0.687 | time: 4.9
[Epoch 12] Train-acc: 0.669, loss: 0.615 | Val-acc: 0.678 | time: 4.9
[Epoch 13] Train-acc: 0.658, loss: 0.613 | Val-acc: 0.701 | time: 5.0
[Epoch 14] Train-acc: 0.672, loss: 0.607 | Val-acc: 0.694 | time: 4.8
[Epoch 15] Train-acc: 0.675, loss: 0.606 | Val-acc: 0.694 | time: 4.9
[Epoch 16] Train-acc: 0.666, loss: 0.606 | Val-acc: 0.691 | time: 4.8
[Epoch 17] Train-acc: 0.667, loss: 0.611 | Val-acc: 0.691 | time: 4.9
[Epoch 18] Train-acc: 0.671, loss: 0.607 | Val-acc: 0.597 | time: 5.1
[Epoch 19] Train-acc: 0.673, loss: 0.605 | Val-acc: 0.703 | time: 4.9
[Epoch 20] Train-acc: 0.683, loss: 0.594 | Val-acc: 0.709 | time: 4.9
[Epoch 21] Train-acc: 0.683, loss: 0.585 | Val-acc: 0.667 | time: 5.0
[Epoch 22] Train-acc: 0.676, loss: 0.601 | Val-acc: 0.736 | time: 5.0
[Epoch 23] Train-acc: 0.685, loss: 0.592 | Val-acc: 0.734 | time: 4.9
[Epoch 24] Train-acc: 0.686, loss: 0.586 | Val-acc: 0.728 | time: 5.1
[Epoch 25] Train-acc: 0.696, loss: 0.586 | Val-acc: 0.687 | time: 4.9
