Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.4_112/ImageNet_v3.4_3452.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.620, loss: 1.613 | Val-acc-top1: 0.698 | Val-acc-top5: 1.000 | time: 47.3 | Speed: 46.52 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.749, loss: 0.500 | Val-acc-top1: 0.754 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 339.21 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.798, loss: 0.437 | Val-acc-top1: 0.680 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.02 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.826, loss: 0.391 | Val-acc-top1: 0.752 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 321.89 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.839, loss: 0.369 | Val-acc-top1: 0.818 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 323.12 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.850, loss: 0.343 | Val-acc-top1: 0.732 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 342.21 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.854, loss: 0.343 | Val-acc-top1: 0.811 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 353.82 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.860, loss: 0.325 | Val-acc-top1: 0.777 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.68 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.867, loss: 0.320 | Val-acc-top1: 0.750 | Val-acc-top5: 1.000 | time: 6.0 | Speed: 366.23 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.871, loss: 0.296 | Val-acc-top1: 0.710 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 327.49 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.872, loss: 0.311 | Val-acc-top1: 0.818 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 357.11 samples/sec | lr: 0.00750000
[Epoch 11] Train-acc: 0.877, loss: 0.289 | Val-acc-top1: 0.799 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 340.60 samples/sec | lr: 0.00750000
[Epoch 12] Train-acc: 0.883, loss: 0.293 | Val-acc-top1: 0.838 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 340.88 samples/sec | lr: 0.00750000
[Epoch 13] Train-acc: 0.885, loss: 0.275 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 347.58 samples/sec | lr: 0.00750000
[Epoch 14] Train-acc: 0.878, loss: 0.297 | Val-acc-top1: 0.815 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 341.48 samples/sec | lr: 0.00750000
[Epoch 15] Train-acc: 0.895, loss: 0.255 | Val-acc-top1: 0.838 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 341.05 samples/sec | lr: 0.00750000
[Epoch 16] Train-acc: 0.887, loss: 0.266 | Val-acc-top1: 0.808 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 341.60 samples/sec | lr: 0.00750000
[Epoch 17] Train-acc: 0.877, loss: 0.271 | Val-acc-top1: 0.806 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 334.59 samples/sec | lr: 0.00750000
[Epoch 18] Train-acc: 0.886, loss: 0.262 | Val-acc-top1: 0.849 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 344.80 samples/sec | lr: 0.00562500
[Epoch 19] Train-acc: 0.897, loss: 0.240 | Val-acc-top1: 0.822 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 343.66 samples/sec | lr: 0.00562500
[Epoch 20] Train-acc: 0.903, loss: 0.243 | Val-acc-top1: 0.784 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 340.47 samples/sec | lr: 0.00562500
[Epoch 21] Train-acc: 0.893, loss: 0.262 | Val-acc-top1: 0.851 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 351.24 samples/sec | lr: 0.00562500
[Epoch 22] Train-acc: 0.901, loss: 0.238 | Val-acc-top1: 0.822 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 331.17 samples/sec | lr: 0.00562500
[Epoch 23] Train-acc: 0.904, loss: 0.227 | Val-acc-top1: 0.826 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 340.00 samples/sec | lr: 0.00562500
[Epoch 24] Train-acc: 0.903, loss: 0.227 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.63 samples/sec | lr: 0.00562500
[Epoch 25] Train-acc: 0.907, loss: 0.222 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 343.99 samples/sec | lr: 0.00562500
[Epoch 26] Train-acc: 0.915, loss: 0.223 | Val-acc-top1: 0.750 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 345.25 samples/sec | lr: 0.00562500
[Epoch 27] Train-acc: 0.906, loss: 0.245 | Val-acc-top1: 0.784 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 347.78 samples/sec | lr: 0.00562500
[Epoch 28] Train-acc: 0.900, loss: 0.242 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 334.36 samples/sec | lr: 0.00421875
[Epoch 29] Train-acc: 0.915, loss: 0.205 | Val-acc-top1: 0.869 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 332.01 samples/sec | lr: 0.00421875
[Epoch 30] Train-acc: 0.909, loss: 0.224 | Val-acc-top1: 0.833 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.06 samples/sec | lr: 0.00421875
[Epoch 31] Train-acc: 0.910, loss: 0.221 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 323.43 samples/sec | lr: 0.00421875
[Epoch 32] Train-acc: 0.923, loss: 0.199 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 327.11 samples/sec | lr: 0.00421875
