Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=200, teacher='resnext50_32x4d', temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.359, loss: 153.224 | Val-acc-top1: 0.499 | time: 8.7 | Speed: 193.98 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.935, loss: 138.995 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 513.00 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 1.000, loss: 138.948 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 498.46 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.935, loss: 138.955 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 520.75 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 1.000, loss: 138.954 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 516.98 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 1.000, loss: 138.937 | Val-acc-top1: 0.501 | time: 3.6 | Speed: 465.48 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.994, loss: 138.941 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 503.88 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.909, loss: 139.020 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 521.15 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.934, loss: 138.891 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 498.46 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.968, loss: 138.935 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 536.93 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.925, loss: 138.891 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 502.16 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.947, loss: 138.868 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 526.98 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.944, loss: 138.896 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 529.87 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.925, loss: 138.896 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 528.08 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.958, loss: 138.927 | Val-acc-top1: 0.501 | time: 3.6 | Speed: 470.84 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.940, loss: 138.897 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 502.49 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.947, loss: 138.896 | Val-acc-top1: 0.501 | time: 3.5 | Speed: 480.20 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.965, loss: 138.914 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 493.01 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.925, loss: 138.875 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 516.60 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.968, loss: 138.901 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 512.16 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.912, loss: 138.905 | Val-acc-top1: 0.501 | time: 3.5 | Speed: 482.33 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.983, loss: 138.907 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 509.40 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.975, loss: 138.895 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 527.37 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.965, loss: 138.894 | Val-acc-top1: 0.501 | time: 3.4 | Speed: 497.54 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.939, loss: 138.883 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 506.95 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.915, loss: 138.841 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 529.88 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.922, loss: 138.857 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 525.73 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.933, loss: 138.870 | Val-acc-top1: 0.501 | time: 3.3 | Speed: 511.54 samples/sec | lr: 0.00490000
