Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher='resnext50_32x4d', temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.535, loss: 139.350 | Val-acc-top1: 0.576 | time: 7.5 | Speed: 227.43 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.572, loss: 138.662 | Val-acc-top1: 0.578 | time: 2.5 | Speed: 688.49 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.555, loss: 138.880 | Val-acc-top1: 0.583 | time: 2.4 | Speed: 696.76 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.564, loss: 138.682 | Val-acc-top1: 0.588 | time: 2.4 | Speed: 703.70 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.615, loss: 138.397 | Val-acc-top1: 0.637 | time: 2.4 | Speed: 693.79 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.613, loss: 138.205 | Val-acc-top1: 0.616 | time: 2.5 | Speed: 689.08 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.646, loss: 137.695 | Val-acc-top1: 0.628 | time: 2.4 | Speed: 697.17 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.667, loss: 137.290 | Val-acc-top1: 0.553 | time: 2.4 | Speed: 702.36 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.706, loss: 136.747 | Val-acc-top1: 0.621 | time: 2.5 | Speed: 689.89 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.609, loss: 138.141 | Val-acc-top1: 0.501 | time: 2.4 | Speed: 692.86 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.678, loss: 137.392 | Val-acc-top1: 0.560 | time: 2.4 | Speed: 699.07 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.725, loss: 136.207 | Val-acc-top1: 0.548 | time: 2.4 | Speed: 693.11 samples/sec | lr: 0.00700000
