Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher='resnext50_32x4d', temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.519, loss: nan | Val-acc-top1: 0.499 | time: 7.2 | Speed: 235.63 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.44 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 718.46 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.24 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 696.90 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.5 | Speed: 688.61 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 724.60 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 723.16 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 719.43 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 723.85 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 720.19 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 721.46 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 719.82 samples/sec | lr: 0.00700000
