Namespace(batch_size=64, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.619, loss: 1.885 | Val-acc-top1: 0.611 | time: 1.8 | Speed: 936.98 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.671, loss: 0.827 | Val-acc-top1: 0.733 | time: 1.2 | Speed: 1361.96 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.684, loss: 0.661 | Val-acc-top1: 0.752 | time: 1.2 | Speed: 1402.48 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.727, loss: 0.563 | Val-acc-top1: 0.766 | time: 1.2 | Speed: 1388.88 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.746, loss: 0.537 | Val-acc-top1: 0.759 | time: 1.2 | Speed: 1396.47 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.747, loss: 0.546 | Val-acc-top1: 0.787 | time: 1.2 | Speed: 1401.06 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.754, loss: 0.530 | Val-acc-top1: 0.785 | time: 1.2 | Speed: 1392.87 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.789, loss: 0.466 | Val-acc-top1: 0.796 | time: 1.2 | Speed: 1393.40 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.778, loss: 0.468 | Val-acc-top1: 0.831 | time: 1.2 | Speed: 1439.25 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.795, loss: 0.465 | Val-acc-top1: 0.824 | time: 1.2 | Speed: 1428.74 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.800, loss: 0.446 | Val-acc-top1: 0.834 | time: 1.2 | Speed: 1401.98 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.806, loss: 0.427 | Val-acc-top1: 0.813 | time: 1.2 | Speed: 1426.65 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.822, loss: 0.401 | Val-acc-top1: 0.815 | time: 1.2 | Speed: 1403.82 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.814, loss: 0.427 | Val-acc-top1: 0.824 | time: 1.2 | Speed: 1412.32 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.806, loss: 0.416 | Val-acc-top1: 0.794 | time: 1.2 | Speed: 1380.03 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.819, loss: 0.408 | Val-acc-top1: 0.813 | time: 1.2 | Speed: 1413.46 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.809, loss: 0.416 | Val-acc-top1: 0.813 | time: 1.3 | Speed: 1286.61 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.821, loss: 0.383 | Val-acc-top1: 0.813 | time: 1.2 | Speed: 1385.14 samples/sec | lr: 0.00700000
