Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=100, lr=0.001, lr_factor=0.75, model='arm_network_v3.7', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.610, loss: 0.661 | Val-acc: 0.676 | time: 4.6
[Epoch 1] Train-acc: 0.645, loss: 0.632 | Val-acc: 0.696 | time: 4.1
[Epoch 2] Train-acc: 0.642, loss: 0.630 | Val-acc: 0.680 | time: 4.2
[Epoch 3] Train-acc: 0.648, loss: 0.624 | Val-acc: 0.678 | time: 4.3
[Epoch 4] Train-acc: 0.664, loss: 0.613 | Val-acc: 0.707 | time: 4.4
[Epoch 5] Train-acc: 0.663, loss: 0.608 | Val-acc: 0.709 | time: 4.3
[Epoch 6] Train-acc: 0.689, loss: 0.606 | Val-acc: 0.660 | time: 4.1
[Epoch 7] Train-acc: 0.685, loss: 0.597 | Val-acc: 0.664 | time: 4.1
[Epoch 8] Train-acc: 0.681, loss: 0.598 | Val-acc: 0.698 | time: 4.3
[Epoch 9] Train-acc: 0.692, loss: 0.591 | Val-acc: 0.719 | time: 4.0
[Epoch 10] Train-acc: 0.700, loss: 0.582 | Val-acc: 0.719 | time: 4.3
[Epoch 11] Train-acc: 0.712, loss: 0.576 | Val-acc: 0.622 | time: 4.3
[Epoch 12] Train-acc: 0.688, loss: 0.580 | Val-acc: 0.718 | time: 4.3
[Epoch 13] Train-acc: 0.697, loss: 0.579 | Val-acc: 0.651 | time: 4.2
[Epoch 14] Train-acc: 0.694, loss: 0.575 | Val-acc: 0.734 | time: 4.1
[Epoch 15] Train-acc: 0.708, loss: 0.569 | Val-acc: 0.721 | time: 4.2
[Epoch 16] Train-acc: 0.710, loss: 0.570 | Val-acc: 0.727 | time: 4.3
[Epoch 17] Train-acc: 0.693, loss: 0.575 | Val-acc: 0.716 | time: 4.2
[Epoch 18] Train-acc: 0.700, loss: 0.569 | Val-acc: 0.723 | time: 4.3
[Epoch 19] Train-acc: 0.705, loss: 0.581 | Val-acc: 0.750 | time: 4.8
[Epoch 20] Train-acc: 0.715, loss: 0.558 | Val-acc: 0.734 | time: 5.1
[Epoch 21] Train-acc: 0.731, loss: 0.547 | Val-acc: 0.709 | time: 5.0
[Epoch 22] Train-acc: 0.718, loss: 0.552 | Val-acc: 0.741 | time: 5.0
[Epoch 23] Train-acc: 0.725, loss: 0.544 | Val-acc: 0.683 | time: 4.9
[Epoch 24] Train-acc: 0.722, loss: 0.552 | Val-acc: 0.678 | time: 4.9
[Epoch 25] Train-acc: 0.730, loss: 0.547 | Val-acc: 0.725 | time: 4.9
[Epoch 26] Train-acc: 0.733, loss: 0.538 | Val-acc: 0.734 | time: 4.9
[Epoch 27] Train-acc: 0.735, loss: 0.530 | Val-acc: 0.745 | time: 4.9
[Epoch 28] Train-acc: 0.740, loss: 0.538 | Val-acc: 0.754 | time: 4.8
[Epoch 29] Train-acc: 0.750, loss: 0.525 | Val-acc: 0.714 | time: 4.5
[Epoch 30] Train-acc: 0.749, loss: 0.521 | Val-acc: 0.745 | time: 4.2
[Epoch 31] Train-acc: 0.730, loss: 0.533 | Val-acc: 0.755 | time: 4.3
[Epoch 32] Train-acc: 0.729, loss: 0.533 | Val-acc: 0.741 | time: 4.3
[Epoch 33] Train-acc: 0.735, loss: 0.530 | Val-acc: 0.727 | time: 4.2
[Epoch 34] Train-acc: 0.730, loss: 0.528 | Val-acc: 0.737 | time: 4.2
[Epoch 35] Train-acc: 0.731, loss: 0.525 | Val-acc: 0.737 | time: 4.1
[Epoch 36] Train-acc: 0.742, loss: 0.525 | Val-acc: 0.764 | time: 4.1
[Epoch 37] Train-acc: 0.744, loss: 0.525 | Val-acc: 0.761 | time: 4.4
[Epoch 38] Train-acc: 0.737, loss: 0.529 | Val-acc: 0.739 | time: 4.4
[Epoch 39] Train-acc: 0.739, loss: 0.522 | Val-acc: 0.748 | time: 4.3
[Epoch 40] Train-acc: 0.732, loss: 0.532 | Val-acc: 0.754 | time: 4.3
[Epoch 41] Train-acc: 0.745, loss: 0.524 | Val-acc: 0.752 | time: 4.2
[Epoch 42] Train-acc: 0.752, loss: 0.507 | Val-acc: 0.739 | time: 4.4
[Epoch 43] Train-acc: 0.765, loss: 0.510 | Val-acc: 0.777 | time: 4.4
[Epoch 44] Train-acc: 0.755, loss: 0.500 | Val-acc: 0.757 | time: 4.3
