Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='arm_network_v3.8', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.598, loss: 0.660 | Val-acc: 0.673 | time: 7.7
[Epoch 1] Train-acc: 0.643, loss: 0.629 | Val-acc: 0.707 | time: 6.9
[Epoch 2] Train-acc: 0.660, loss: 0.616 | Val-acc: 0.682 | time: 7.6
[Epoch 3] Train-acc: 0.667, loss: 0.620 | Val-acc: 0.696 | time: 6.8
[Epoch 4] Train-acc: 0.674, loss: 0.607 | Val-acc: 0.631 | time: 7.0
[Epoch 5] Train-acc: 0.690, loss: 0.594 | Val-acc: 0.734 | time: 6.9
[Epoch 6] Train-acc: 0.680, loss: 0.594 | Val-acc: 0.732 | time: 6.8
[Epoch 7] Train-acc: 0.702, loss: 0.582 | Val-acc: 0.725 | time: 6.5
[Epoch 8] Train-acc: 0.683, loss: 0.584 | Val-acc: 0.736 | time: 6.8
[Epoch 9] Train-acc: 0.698, loss: 0.570 | Val-acc: 0.748 | time: 6.9
[Epoch 10] Train-acc: 0.696, loss: 0.581 | Val-acc: 0.725 | time: 6.7
[Epoch 11] Train-acc: 0.710, loss: 0.572 | Val-acc: 0.595 | time: 7.1
[Epoch 12] Train-acc: 0.716, loss: 0.559 | Val-acc: 0.743 | time: 6.9
[Epoch 13] Train-acc: 0.710, loss: 0.562 | Val-acc: 0.748 | time: 6.9
[Epoch 14] Train-acc: 0.716, loss: 0.547 | Val-acc: 0.725 | time: 6.9
[Epoch 15] Train-acc: 0.717, loss: 0.557 | Val-acc: 0.678 | time: 6.7
[Epoch 16] Train-acc: 0.734, loss: 0.545 | Val-acc: 0.698 | time: 7.2
[Epoch 17] Train-acc: 0.734, loss: 0.536 | Val-acc: 0.757 | time: 7.4
[Epoch 18] Train-acc: 0.734, loss: 0.543 | Val-acc: 0.759 | time: 7.1
[Epoch 19] Train-acc: 0.738, loss: 0.528 | Val-acc: 0.754 | time: 7.1
[Epoch 20] Train-acc: 0.735, loss: 0.537 | Val-acc: 0.754 | time: 7.1
[Epoch 21] Train-acc: 0.731, loss: 0.527 | Val-acc: 0.763 | time: 6.8
[Epoch 22] Train-acc: 0.746, loss: 0.521 | Val-acc: 0.748 | time: 7.2
[Epoch 23] Train-acc: 0.748, loss: 0.529 | Val-acc: 0.734 | time: 7.1
[Epoch 24] Train-acc: 0.740, loss: 0.526 | Val-acc: 0.716 | time: 7.3
[Epoch 25] Train-acc: 0.743, loss: 0.511 | Val-acc: 0.766 | time: 6.7
[Epoch 26] Train-acc: 0.746, loss: 0.517 | Val-acc: 0.775 | time: 6.9
[Epoch 27] Train-acc: 0.739, loss: 0.514 | Val-acc: 0.750 | time: 8.0
[Epoch 28] Train-acc: 0.770, loss: 0.495 | Val-acc: 0.770 | time: 7.2
[Epoch 29] Train-acc: 0.762, loss: 0.512 | Val-acc: 0.736 | time: 7.1
[Epoch 30] Train-acc: 0.755, loss: 0.510 | Val-acc: 0.772 | time: 6.8
[Epoch 31] Train-acc: 0.761, loss: 0.507 | Val-acc: 0.781 | time: 6.9
[Epoch 32] Train-acc: 0.753, loss: 0.512 | Val-acc: 0.768 | time: 6.9
[Epoch 33] Train-acc: 0.755, loss: 0.504 | Val-acc: 0.777 | time: 7.5
[Epoch 34] Train-acc: 0.762, loss: 0.495 | Val-acc: 0.773 | time: 6.9
[Epoch 35] Train-acc: 0.750, loss: 0.514 | Val-acc: 0.779 | time: 7.1
[Epoch 36] Train-acc: 0.755, loss: 0.495 | Val-acc: 0.797 | time: 7.3
[Epoch 37] Train-acc: 0.739, loss: 0.519 | Val-acc: 0.797 | time: 7.1
[Epoch 38] Train-acc: 0.764, loss: 0.505 | Val-acc: 0.786 | time: 7.3
[Epoch 39] Train-acc: 0.742, loss: 0.502 | Val-acc: 0.763 | time: 7.5
[Epoch 40] Train-acc: 0.759, loss: 0.508 | Val-acc: 0.782 | time: 6.6
[Epoch 41] Train-acc: 0.766, loss: 0.493 | Val-acc: 0.770 | time: 6.7
[Epoch 42] Train-acc: 0.762, loss: 0.489 | Val-acc: 0.757 | time: 6.8
[Epoch 43] Train-acc: 0.771, loss: 0.486 | Val-acc: 0.766 | time: 7.2
[Epoch 44] Train-acc: 0.775, loss: 0.481 | Val-acc: 0.786 | time: 7.0
[Epoch 45] Train-acc: 0.776, loss: 0.487 | Val-acc: 0.806 | time: 7.1
[Epoch 46] Train-acc: 0.779, loss: 0.466 | Val-acc: 0.795 | time: 7.1
