Namespace(batch_size=48, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=84, lr=0.001, lr_factor=0.75, model='arm_network_v3.8', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.600, loss: 0.661 | Val-acc: 0.683 | time: 50.2
[Epoch 1] Train-acc: 0.645, loss: 0.631 | Val-acc: 0.646 | time: 4.9
[Epoch 2] Train-acc: 0.648, loss: 0.628 | Val-acc: 0.705 | time: 4.9
[Epoch 3] Train-acc: 0.663, loss: 0.619 | Val-acc: 0.727 | time: 5.0
[Epoch 4] Train-acc: 0.665, loss: 0.610 | Val-acc: 0.703 | time: 5.0
[Epoch 5] Train-acc: 0.670, loss: 0.604 | Val-acc: 0.721 | time: 5.1
[Epoch 6] Train-acc: 0.680, loss: 0.597 | Val-acc: 0.736 | time: 5.0
[Epoch 7] Train-acc: 0.690, loss: 0.586 | Val-acc: 0.730 | time: 4.9
[Epoch 8] Train-acc: 0.687, loss: 0.582 | Val-acc: 0.660 | time: 5.0
[Epoch 9] Train-acc: 0.692, loss: 0.577 | Val-acc: 0.678 | time: 4.9
[Epoch 10] Train-acc: 0.692, loss: 0.584 | Val-acc: 0.707 | time: 5.0
[Epoch 11] Train-acc: 0.686, loss: 0.578 | Val-acc: 0.689 | time: 4.9
[Epoch 12] Train-acc: 0.705, loss: 0.571 | Val-acc: 0.768 | time: 4.9
[Epoch 13] Train-acc: 0.710, loss: 0.564 | Val-acc: 0.671 | time: 4.8
[Epoch 14] Train-acc: 0.717, loss: 0.569 | Val-acc: 0.725 | time: 4.8
[Epoch 15] Train-acc: 0.693, loss: 0.562 | Val-acc: 0.707 | time: 4.9
[Epoch 16] Train-acc: 0.698, loss: 0.561 | Val-acc: 0.727 | time: 4.8
[Epoch 17] Train-acc: 0.718, loss: 0.553 | Val-acc: 0.754 | time: 4.8
[Epoch 18] Train-acc: 0.721, loss: 0.549 | Val-acc: 0.754 | time: 5.0
[Epoch 19] Train-acc: 0.700, loss: 0.575 | Val-acc: 0.759 | time: 4.9
[Epoch 20] Train-acc: 0.716, loss: 0.560 | Val-acc: 0.755 | time: 4.7
[Epoch 21] Train-acc: 0.718, loss: 0.542 | Val-acc: 0.748 | time: 4.9
[Epoch 22] Train-acc: 0.726, loss: 0.547 | Val-acc: 0.775 | time: 4.7
[Epoch 23] Train-acc: 0.702, loss: 0.565 | Val-acc: 0.737 | time: 5.0
[Epoch 24] Train-acc: 0.727, loss: 0.541 | Val-acc: 0.705 | time: 5.1
[Epoch 25] Train-acc: 0.717, loss: 0.553 | Val-acc: 0.763 | time: 5.0
[Epoch 26] Train-acc: 0.731, loss: 0.538 | Val-acc: 0.759 | time: 4.8
[Epoch 27] Train-acc: 0.736, loss: 0.526 | Val-acc: 0.732 | time: 5.1
[Epoch 28] Train-acc: 0.734, loss: 0.528 | Val-acc: 0.739 | time: 4.9
[Epoch 29] Train-acc: 0.712, loss: 0.543 | Val-acc: 0.761 | time: 4.9
[Epoch 30] Train-acc: 0.729, loss: 0.533 | Val-acc: 0.748 | time: 4.8
[Epoch 31] Train-acc: 0.735, loss: 0.522 | Val-acc: 0.755 | time: 4.8
[Epoch 32] Train-acc: 0.728, loss: 0.542 | Val-acc: 0.770 | time: 4.8
[Epoch 33] Train-acc: 0.735, loss: 0.530 | Val-acc: 0.772 | time: 5.1
[Epoch 34] Train-acc: 0.738, loss: 0.525 | Val-acc: 0.746 | time: 4.9
[Epoch 35] Train-acc: 0.745, loss: 0.517 | Val-acc: 0.781 | time: 4.8
[Epoch 36] Train-acc: 0.738, loss: 0.527 | Val-acc: 0.766 | time: 5.0
[Epoch 37] Train-acc: 0.743, loss: 0.519 | Val-acc: 0.761 | time: 4.9
[Epoch 38] Train-acc: 0.726, loss: 0.521 | Val-acc: 0.754 | time: 5.0
[Epoch 39] Train-acc: 0.746, loss: 0.523 | Val-acc: 0.759 | time: 4.8
[Epoch 40] Train-acc: 0.743, loss: 0.514 | Val-acc: 0.725 | time: 5.1
[Epoch 41] Train-acc: 0.734, loss: 0.532 | Val-acc: 0.764 | time: 5.0
[Epoch 42] Train-acc: 0.748, loss: 0.517 | Val-acc: 0.775 | time: 5.0
[Epoch 43] Train-acc: 0.755, loss: 0.505 | Val-acc: 0.766 | time: 4.7
[Epoch 44] Train-acc: 0.743, loss: 0.512 | Val-acc: 0.779 | time: 4.8
[Epoch 45] Train-acc: 0.764, loss: 0.495 | Val-acc: 0.779 | time: 5.0
[Epoch 46] Train-acc: 0.751, loss: 0.514 | Val-acc: 0.770 | time: 4.9
[Epoch 47] Train-acc: 0.753, loss: 0.500 | Val-acc: 0.773 | time: 4.8
[Epoch 48] Train-acc: 0.746, loss: 0.505 | Val-acc: 0.764 | time: 5.0
