Namespace(batch_size=128, input_sz=180, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v4.5.3', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.585, loss: 0.667 | Val-acc-top1: 0.674 | Val-acc-top5: 1.000 | time: 8.7 | Speed: 253.44 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.663, loss: 0.628 | Val-acc-top1: 0.637 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 290.98 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.649, loss: 0.625 | Val-acc-top1: 0.718 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 300.75 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.671, loss: 0.594 | Val-acc-top1: 0.703 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 305.48 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.690, loss: 0.590 | Val-acc-top1: 0.662 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 300.52 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.688, loss: 0.594 | Val-acc-top1: 0.523 | Val-acc-top5: 1.000 | time: 7.5 | Speed: 293.79 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.702, loss: 0.578 | Val-acc-top1: 0.667 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 299.66 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.733, loss: 0.546 | Val-acc-top1: 0.529 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 297.40 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.730, loss: 0.538 | Val-acc-top1: 0.619 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 300.46 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.694, loss: 0.576 | Val-acc-top1: 0.727 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 303.43 samples/sec | lr: 0.00750000
[Epoch 10] Train-acc: 0.734, loss: 0.540 | Val-acc-top1: 0.558 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 306.48 samples/sec | lr: 0.00750000
