Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=224, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.546, loss: 0.707 | Val-acc-top1: 0.590 | time: 4.6 | Speed: 369.04 samples/sec | lr: 0.01000000
Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=224, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.549, loss: 0.695 | Val-acc-top1: 0.602 | time: 4.6 | Speed: 371.33 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.621, loss: 0.658 | Val-acc-top1: 0.576 | time: 2.3 | Speed: 747.61 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.663, loss: 0.619 | Val-acc-top1: 0.557 | time: 2.2 | Speed: 754.76 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.658, loss: 0.623 | Val-acc-top1: 0.684 | time: 2.2 | Speed: 754.28 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.663, loss: 0.625 | Val-acc-top1: 0.703 | time: 2.2 | Speed: 760.25 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.676, loss: 0.607 | Val-acc-top1: 0.651 | time: 2.2 | Speed: 768.87 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.691, loss: 0.594 | Val-acc-top1: 0.630 | time: 2.3 | Speed: 742.74 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.690, loss: 0.589 | Val-acc-top1: 0.696 | time: 2.4 | Speed: 718.88 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.714, loss: 0.580 | Val-acc-top1: 0.670 | time: 2.3 | Speed: 728.75 samples/sec | lr: 0.01000000
