Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v5.1_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v5.1', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [199]	Speed: 1248.331828 samples/sec	accuracy=0.001055	lr=0.000200
Epoch[0] Batch [399]	Speed: 1468.675032 samples/sec	accuracy=0.000859	lr=0.000400
Epoch[0] Batch [599]	Speed: 1461.579222 samples/sec	accuracy=0.000898	lr=0.000599
Epoch[0] Batch [799]	Speed: 1474.097671 samples/sec	accuracy=0.000859	lr=0.000799
Epoch[0] Batch [999]	Speed: 1455.570063 samples/sec	accuracy=0.000859	lr=0.000999
Epoch[0] Batch [1199]	Speed: 1469.887138 samples/sec	accuracy=0.000898	lr=0.001199
Epoch[0] Batch [1399]	Speed: 1458.949739 samples/sec	accuracy=0.000915	lr=0.001399
Epoch[0] Batch [1599]	Speed: 1462.879465 samples/sec	accuracy=0.001011	lr=0.001599
Epoch[0] Batch [1799]	Speed: 1467.457342 samples/sec	accuracy=0.001089	lr=0.001798
Epoch[0] Batch [1999]	Speed: 1466.403907 samples/sec	accuracy=0.001148	lr=0.001998
Epoch[0] Batch [2199]	Speed: 1454.244940 samples/sec	accuracy=0.001168	lr=0.002198
Epoch[0] Batch [2399]	Speed: 1450.290842 samples/sec	accuracy=0.001217	lr=0.002398
Epoch[0] Batch [2599]	Speed: 1457.972361 samples/sec	accuracy=0.001247	lr=0.002598
Epoch[0] Batch [2799]	Speed: 1449.091114 samples/sec	accuracy=0.001258	lr=0.002798
Epoch[0] Batch [2999]	Speed: 1459.122303 samples/sec	accuracy=0.001307	lr=0.002997
Epoch[0] Batch [3199]	Speed: 1456.200471 samples/sec	accuracy=0.001355	lr=0.003197
Epoch[0] Batch [3399]	Speed: 1452.920811 samples/sec	accuracy=0.001399	lr=0.003397
Epoch[0] Batch [3599]	Speed: 1457.022725 samples/sec	accuracy=0.001469	lr=0.003597
Epoch[0] Batch [3799]	Speed: 1198.414569 samples/sec	accuracy=0.001521	lr=0.003797
Epoch[0] Batch [3999]	Speed: 1446.808324 samples/sec	accuracy=0.001590	lr=0.003996
Epoch[0] Batch [4199]	Speed: 1448.981703 samples/sec	accuracy=0.001689	lr=0.004196
Epoch[0] Batch [4399]	Speed: 1440.643150 samples/sec	accuracy=0.001763	lr=0.004396
Epoch[0] Batch [4599]	Speed: 1386.647857 samples/sec	accuracy=0.001834	lr=0.004596
Epoch[0] Batch [4799]	Speed: 1445.414551 samples/sec	accuracy=0.001922	lr=0.004796
Epoch[0] Batch [4999]	Speed: 1448.629277 samples/sec	accuracy=0.001984	lr=0.004996
Epoch[0] Batch [5199]	Speed: 1398.569763 samples/sec	accuracy=0.002111	lr=0.005195
Epoch[0] Batch [5399]	Speed: 1421.186980 samples/sec	accuracy=0.002228	lr=0.005395
Epoch[0] Batch [5599]	Speed: 1402.033490 samples/sec	accuracy=0.002351	lr=0.005595
Epoch[0] Batch [5799]	Speed: 1416.732547 samples/sec	accuracy=0.002466	lr=0.005795
Epoch[0] Batch [5999]	Speed: 1401.831172 samples/sec	accuracy=0.002585	lr=0.005995
Epoch[0] Batch [6199]	Speed: 1383.288778 samples/sec	accuracy=0.002729	lr=0.006195
Epoch[0] Batch [6399]	Speed: 1443.508044 samples/sec	accuracy=0.002869	lr=0.006394
Epoch[0] Batch [6599]	Speed: 1439.119326 samples/sec	accuracy=0.003034	lr=0.006594
