Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v5.2_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v5.2', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [199]	Speed: 1267.684764 samples/sec	accuracy=0.001055	lr=0.000200
Epoch[0] Batch [399]	Speed: 1466.740732 samples/sec	accuracy=0.000879	lr=0.000400
Epoch[0] Batch [599]	Speed: 1448.994003 samples/sec	accuracy=0.000859	lr=0.000599
Epoch[0] Batch [799]	Speed: 1459.035976 samples/sec	accuracy=0.000898	lr=0.000799
Epoch[0] Batch [999]	Speed: 1455.681122 samples/sec	accuracy=0.000922	lr=0.000999
Epoch[0] Batch [1199]	Speed: 1393.258779 samples/sec	accuracy=0.000924	lr=0.001199
Epoch[0] Batch [1399]	Speed: 1422.883537 samples/sec	accuracy=0.000954	lr=0.001399
Epoch[0] Batch [1599]	Speed: 1420.589806 samples/sec	accuracy=0.000986	lr=0.001599
Epoch[0] Batch [1799]	Speed: 1427.876842 samples/sec	accuracy=0.001033	lr=0.001798
Epoch[0] Batch [1999]	Speed: 1416.943565 samples/sec	accuracy=0.001043	lr=0.001998
Epoch[0] Batch [2199]	Speed: 1453.821110 samples/sec	accuracy=0.001083	lr=0.002198
Epoch[0] Batch [2399]	Speed: 1379.353973 samples/sec	accuracy=0.001133	lr=0.002398
Epoch[0] Batch [2599]	Speed: 1438.965943 samples/sec	accuracy=0.001154	lr=0.002598
Epoch[0] Batch [2799]	Speed: 1391.212405 samples/sec	accuracy=0.001150	lr=0.002798
Epoch[0] Batch [2999]	Speed: 1450.632965 samples/sec	accuracy=0.001234	lr=0.002997
Epoch[0] Batch [3199]	Speed: 1364.028661 samples/sec	accuracy=0.001267	lr=0.003197
Epoch[0] Batch [3399]	Speed: 1191.596365 samples/sec	accuracy=0.001282	lr=0.003397
Epoch[0] Batch [3599]	Speed: 1399.463751 samples/sec	accuracy=0.001382	lr=0.003597
