Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.2', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/Imagenet_v5.2_3083.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.660, loss: 0.727 | Val-acc-top1: 0.740 | time: 60.5 | Speed: 28.02 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.782, loss: 0.502 | Val-acc-top1: 0.789 | time: 5.4 | Speed: 315.20 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.799, loss: 0.436 | Val-acc-top1: 0.799 | time: 4.7 | Speed: 358.24 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.805, loss: 0.415 | Val-acc-top1: 0.838 | time: 4.8 | Speed: 351.22 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.813, loss: 0.399 | Val-acc-top1: 0.845 | time: 5.0 | Speed: 338.86 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.826, loss: 0.398 | Val-acc-top1: 0.831 | time: 4.7 | Speed: 360.58 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.840, loss: 0.355 | Val-acc-top1: 0.834 | time: 4.8 | Speed: 354.90 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.837, loss: 0.375 | Val-acc-top1: 0.855 | time: 4.8 | Speed: 353.91 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.838, loss: 0.360 | Val-acc-top1: 0.838 | time: 5.0 | Speed: 341.30 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.851, loss: 0.354 | Val-acc-top1: 0.836 | time: 5.0 | Speed: 338.54 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.850, loss: 0.340 | Val-acc-top1: 0.820 | time: 5.1 | Speed: 331.31 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.869, loss: 0.308 | Val-acc-top1: 0.841 | time: 4.8 | Speed: 353.99 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.853, loss: 0.352 | Val-acc-top1: 0.827 | time: 4.8 | Speed: 356.28 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.865, loss: 0.326 | Val-acc-top1: 0.834 | time: 4.8 | Speed: 350.71 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.867, loss: 0.321 | Val-acc-top1: 0.857 | time: 5.0 | Speed: 338.52 samples/sec | lr: 0.00700000
