Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.3', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.520, loss: 0.714 | Val-acc-top1: 0.499 | time: 10.1 | Speed: 167.79 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.546, loss: 0.694 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 525.91 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.552, loss: 0.693 | Val-acc-top1: 0.499 | time: 3.2 | Speed: 525.26 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.566, loss: 0.690 | Val-acc-top1: 0.532 | time: 3.2 | Speed: 532.06 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.581, loss: 0.678 | Val-acc-top1: 0.548 | time: 3.2 | Speed: 526.47 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.580, loss: 0.677 | Val-acc-top1: 0.501 | time: 3.2 | Speed: 526.16 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.574, loss: 0.681 | Val-acc-top1: 0.597 | time: 3.2 | Speed: 529.16 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.585, loss: 0.680 | Val-acc-top1: 0.536 | time: 3.2 | Speed: 528.84 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.603, loss: 0.659 | Val-acc-top1: 0.588 | time: 3.2 | Speed: 525.96 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.632, loss: 0.652 | Val-acc-top1: 0.525 | time: 3.3 | Speed: 514.50 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.613, loss: 0.659 | Val-acc-top1: 0.611 | time: 3.5 | Speed: 491.01 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.614, loss: 0.652 | Val-acc-top1: 0.628 | time: 3.3 | Speed: 517.84 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.627, loss: 0.648 | Val-acc-top1: 0.625 | time: 3.3 | Speed: 513.52 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.646, loss: 0.630 | Val-acc-top1: 0.536 | time: 3.3 | Speed: 521.26 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.662, loss: 0.636 | Val-acc-top1: 0.588 | time: 3.3 | Speed: 518.81 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.636, loss: 0.639 | Val-acc-top1: 0.651 | time: 3.4 | Speed: 502.73 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.635, loss: 0.631 | Val-acc-top1: 0.649 | time: 3.4 | Speed: 494.61 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.661, loss: 0.623 | Val-acc-top1: 0.623 | time: 3.5 | Speed: 484.44 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.674, loss: 0.604 | Val-acc-top1: 0.560 | time: 3.5 | Speed: 485.09 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.673, loss: 0.616 | Val-acc-top1: 0.621 | time: 3.7 | Speed: 460.67 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.647, loss: 0.618 | Val-acc-top1: 0.677 | time: 3.5 | Speed: 483.58 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.663, loss: 0.617 | Val-acc-top1: 0.639 | time: 3.3 | Speed: 518.34 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.667, loss: 0.612 | Val-acc-top1: 0.679 | time: 3.3 | Speed: 517.46 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.674, loss: 0.617 | Val-acc-top1: 0.667 | time: 3.4 | Speed: 503.85 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.667, loss: 0.608 | Val-acc-top1: 0.653 | time: 3.4 | Speed: 502.07 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.666, loss: 0.612 | Val-acc-top1: 0.656 | time: 3.4 | Speed: 498.38 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.674, loss: 0.602 | Val-acc-top1: 0.672 | time: 3.3 | Speed: 519.53 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.678, loss: 0.606 | Val-acc-top1: 0.663 | time: 3.3 | Speed: 508.31 samples/sec | lr: 0.00343000
[Epoch 28] Train-acc: 0.662, loss: 0.611 | Val-acc-top1: 0.679 | time: 3.3 | Speed: 514.43 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.687, loss: 0.596 | Val-acc-top1: 0.679 | time: 3.2 | Speed: 525.72 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.683, loss: 0.588 | Val-acc-top1: 0.696 | time: 3.2 | Speed: 527.10 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.687, loss: 0.599 | Val-acc-top1: 0.703 | time: 3.2 | Speed: 527.77 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.681, loss: 0.591 | Val-acc-top1: 0.644 | time: 3.2 | Speed: 525.91 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.680, loss: 0.599 | Val-acc-top1: 0.717 | time: 3.3 | Speed: 517.64 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.692, loss: 0.599 | Val-acc-top1: 0.693 | time: 3.3 | Speed: 513.61 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.683, loss: 0.597 | Val-acc-top1: 0.649 | time: 3.3 | Speed: 518.39 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.670, loss: 0.617 | Val-acc-top1: 0.679 | time: 3.3 | Speed: 520.77 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.690, loss: 0.578 | Val-acc-top1: 0.717 | time: 3.3 | Speed: 520.48 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.690, loss: 0.581 | Val-acc-top1: 0.672 | time: 3.3 | Speed: 519.66 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.698, loss: 0.591 | Val-acc-top1: 0.721 | time: 3.3 | Speed: 511.63 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.717, loss: 0.573 | Val-acc-top1: 0.719 | time: 3.3 | Speed: 521.32 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.694, loss: 0.580 | Val-acc-top1: 0.703 | time: 3.3 | Speed: 521.43 samples/sec | lr: 0.00240100
