Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.514, loss: 0.720 | Val-acc-top1: 0.501 | time: 12.0 | Speed: 141.07 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.535, loss: 0.706 | Val-acc-top1: 0.501 | time: 3.5 | Speed: 477.86 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.524, loss: 0.701 | Val-acc-top1: 0.499 | time: 3.6 | Speed: 474.76 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.539, loss: 0.690 | Val-acc-top1: 0.496 | time: 3.6 | Speed: 471.99 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.553, loss: 0.684 | Val-acc-top1: 0.581 | time: 3.5 | Speed: 485.98 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.532, loss: 0.699 | Val-acc-top1: 0.511 | time: 3.6 | Speed: 475.69 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.562, loss: 0.686 | Val-acc-top1: 0.560 | time: 3.6 | Speed: 476.73 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.557, loss: 0.691 | Val-acc-top1: 0.602 | time: 3.6 | Speed: 476.82 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.568, loss: 0.689 | Val-acc-top1: 0.518 | time: 3.6 | Speed: 467.78 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.594, loss: 0.674 | Val-acc-top1: 0.555 | time: 3.6 | Speed: 477.25 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.595, loss: 0.661 | Val-acc-top1: 0.632 | time: 3.6 | Speed: 475.90 samples/sec | lr: 0.00700000
