Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.695, loss: 0.730 | Test-acc: 0.701 | time: 6.4 | Speed: 345.32 samples/sec | lr: 0.00100000
[Epoch 1] Train-acc: 0.774, loss: 0.546 | Test-acc: 0.727 | time: 4.7 | Speed: 469.78 samples/sec | lr: 0.00100000
[Epoch 2] Train-acc: 0.825, loss: 0.436 | Test-acc: 0.705 | time: 4.6 | Speed: 474.79 samples/sec | lr: 0.00100000
[Epoch 3] Train-acc: 0.815, loss: 0.425 | Test-acc: 0.741 | time: 4.6 | Speed: 477.68 samples/sec | lr: 0.00100000
[Epoch 4] Train-acc: 0.836, loss: 0.376 | Test-acc: 0.707 | time: 4.6 | Speed: 479.91 samples/sec | lr: 0.00100000
[Epoch 5] Train-acc: 0.843, loss: 0.349 | Test-acc: 0.759 | time: 4.6 | Speed: 481.21 samples/sec | lr: 0.00100000
[Epoch 6] Train-acc: 0.852, loss: 0.338 | Test-acc: 0.750 | time: 4.6 | Speed: 478.71 samples/sec | lr: 0.00100000
[Epoch 7] Train-acc: 0.876, loss: 0.312 | Test-acc: 0.727 | time: 4.7 | Speed: 472.71 samples/sec | lr: 0.00100000
[Epoch 8] Train-acc: 0.880, loss: 0.291 | Test-acc: 0.763 | time: 4.6 | Speed: 476.87 samples/sec | lr: 0.00100000
[Epoch 9] Train-acc: 0.880, loss: 0.284 | Test-acc: 0.757 | time: 4.6 | Speed: 475.82 samples/sec | lr: 0.00100000
[Epoch 10] Train-acc: 0.877, loss: 0.283 | Test-acc: 0.746 | time: 4.8 | Speed: 462.41 samples/sec | lr: 0.00075000
[Epoch 11] Train-acc: 0.887, loss: 0.265 | Test-acc: 0.772 | time: 4.7 | Speed: 468.01 samples/sec | lr: 0.00075000
[Epoch 12] Train-acc: 0.893, loss: 0.267 | Test-acc: 0.782 | time: 4.6 | Speed: 480.15 samples/sec | lr: 0.00075000
[Epoch 13] Train-acc: 0.906, loss: 0.233 | Test-acc: 0.768 | time: 4.6 | Speed: 476.38 samples/sec | lr: 0.00075000
[Epoch 14] Train-acc: 0.893, loss: 0.267 | Test-acc: 0.759 | time: 4.7 | Speed: 472.35 samples/sec | lr: 0.00075000
[Epoch 15] Train-acc: 0.897, loss: 0.231 | Test-acc: 0.763 | time: 4.6 | Speed: 478.98 samples/sec | lr: 0.00075000
[Epoch 16] Train-acc: 0.909, loss: 0.223 | Test-acc: 0.741 | time: 4.6 | Speed: 482.87 samples/sec | lr: 0.00075000
