Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=224, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='mobilenet0.25', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.659, loss: 0.818 | Val-acc-top1: 0.590 | time: 5.4 | Speed: 311.32 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.694, loss: 0.676 | Val-acc-top1: 0.745 | time: 2.6 | Speed: 648.49 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.742, loss: 0.576 | Val-acc-top1: 0.623 | time: 2.6 | Speed: 653.00 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.772, loss: 0.561 | Val-acc-top1: 0.714 | time: 2.7 | Speed: 638.19 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.783, loss: 0.515 | Val-acc-top1: 0.803 | time: 2.6 | Speed: 651.17 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.802, loss: 0.512 | Val-acc-top1: 0.845 | time: 2.6 | Speed: 652.18 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.808, loss: 0.494 | Val-acc-top1: 0.831 | time: 2.6 | Speed: 648.81 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.815, loss: 0.482 | Val-acc-top1: 0.838 | time: 2.6 | Speed: 641.02 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.845, loss: 0.453 | Val-acc-top1: 0.834 | time: 2.6 | Speed: 654.09 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.835, loss: 0.459 | Val-acc-top1: 0.892 | time: 2.6 | Speed: 640.23 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.852, loss: 0.431 | Val-acc-top1: 0.836 | time: 2.7 | Speed: 639.40 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.860, loss: 0.418 | Val-acc-top1: 0.855 | time: 2.6 | Speed: 645.17 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.879, loss: 0.403 | Val-acc-top1: 0.857 | time: 2.6 | Speed: 648.21 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.854, loss: 0.417 | Val-acc-top1: 0.890 | time: 2.6 | Speed: 655.37 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.877, loss: 0.404 | Val-acc-top1: 0.888 | time: 2.6 | Speed: 641.39 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.871, loss: 0.400 | Val-acc-top1: 0.867 | time: 2.6 | Speed: 646.20 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.874, loss: 0.401 | Val-acc-top1: 0.897 | time: 2.7 | Speed: 619.34 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.863, loss: 0.406 | Val-acc-top1: 0.838 | time: 2.7 | Speed: 624.45 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.873, loss: 0.400 | Val-acc-top1: 0.848 | time: 2.6 | Speed: 642.96 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.886, loss: 0.388 | Val-acc-top1: 0.867 | time: 2.6 | Speed: 647.81 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.893, loss: 0.373 | Val-acc-top1: 0.902 | time: 2.7 | Speed: 633.84 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.909, loss: 0.364 | Val-acc-top1: 0.862 | time: 2.7 | Speed: 631.84 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.897, loss: 0.369 | Val-acc-top1: 0.892 | time: 2.6 | Speed: 640.05 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.890, loss: 0.375 | Val-acc-top1: 0.881 | time: 2.6 | Speed: 655.58 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.904, loss: 0.364 | Val-acc-top1: 0.881 | time: 2.6 | Speed: 650.57 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.901, loss: 0.367 | Val-acc-top1: 0.874 | time: 2.6 | Speed: 643.24 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.907, loss: 0.352 | Val-acc-top1: 0.892 | time: 2.7 | Speed: 620.16 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.907, loss: 0.352 | Val-acc-top1: 0.883 | time: 2.9 | Speed: 590.76 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.895, loss: 0.365 | Val-acc-top1: 0.867 | time: 2.9 | Speed: 592.98 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.896, loss: 0.361 | Val-acc-top1: 0.878 | time: 2.6 | Speed: 639.66 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.909, loss: 0.350 | Val-acc-top1: 0.885 | time: 2.6 | Speed: 643.80 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.918, loss: 0.348 | Val-acc-top1: 0.888 | time: 2.6 | Speed: 652.47 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.913, loss: 0.343 | Val-acc-top1: 0.888 | time: 2.6 | Speed: 640.61 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.926, loss: 0.332 | Val-acc-top1: 0.904 | time: 2.6 | Speed: 643.55 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.923, loss: 0.340 | Val-acc-top1: 0.895 | time: 2.6 | Speed: 644.48 samples/sec | lr: 0.00343000
