Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=160, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='mobilenet0.5', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.660, loss: 1.004 | Val-acc-top1: 0.534 | time: 6.6 | Speed: 258.57 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.705, loss: 0.671 | Val-acc-top1: 0.689 | time: 2.1 | Speed: 826.14 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.749, loss: 0.533 | Val-acc-top1: 0.782 | time: 2.0 | Speed: 829.41 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.782, loss: 0.479 | Val-acc-top1: 0.806 | time: 2.1 | Speed: 825.55 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.786, loss: 0.462 | Val-acc-top1: 0.806 | time: 2.1 | Speed: 820.68 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.788, loss: 0.446 | Val-acc-top1: 0.801 | time: 2.1 | Speed: 807.81 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.804, loss: 0.427 | Val-acc-top1: 0.813 | time: 2.1 | Speed: 822.08 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.821, loss: 0.399 | Val-acc-top1: 0.838 | time: 2.1 | Speed: 820.67 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.826, loss: 0.401 | Val-acc-top1: 0.841 | time: 2.1 | Speed: 820.39 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.813, loss: 0.395 | Val-acc-top1: 0.843 | time: 2.1 | Speed: 819.77 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.840, loss: 0.370 | Val-acc-top1: 0.857 | time: 2.1 | Speed: 809.11 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.834, loss: 0.373 | Val-acc-top1: 0.857 | time: 2.1 | Speed: 825.16 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.834, loss: 0.369 | Val-acc-top1: 0.852 | time: 2.1 | Speed: 816.07 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.838, loss: 0.352 | Val-acc-top1: 0.829 | time: 2.0 | Speed: 827.12 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.845, loss: 0.352 | Val-acc-top1: 0.845 | time: 2.1 | Speed: 803.72 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.847, loss: 0.327 | Val-acc-top1: 0.855 | time: 2.1 | Speed: 814.10 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.842, loss: 0.354 | Val-acc-top1: 0.883 | time: 2.1 | Speed: 811.01 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.856, loss: 0.327 | Val-acc-top1: 0.869 | time: 2.0 | Speed: 826.89 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.850, loss: 0.341 | Val-acc-top1: 0.867 | time: 2.1 | Speed: 818.68 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.871, loss: 0.315 | Val-acc-top1: 0.857 | time: 2.1 | Speed: 812.81 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.867, loss: 0.305 | Val-acc-top1: 0.862 | time: 2.1 | Speed: 818.18 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.859, loss: 0.324 | Val-acc-top1: 0.845 | time: 2.1 | Speed: 814.94 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.874, loss: 0.287 | Val-acc-top1: 0.876 | time: 2.1 | Speed: 811.74 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.870, loss: 0.295 | Val-acc-top1: 0.867 | time: 2.1 | Speed: 817.73 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.876, loss: 0.294 | Val-acc-top1: 0.869 | time: 2.1 | Speed: 818.55 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.871, loss: 0.282 | Val-acc-top1: 0.897 | time: 2.1 | Speed: 809.95 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.883, loss: 0.273 | Val-acc-top1: 0.892 | time: 2.1 | Speed: 788.99 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.892, loss: 0.264 | Val-acc-top1: 0.871 | time: 2.1 | Speed: 806.62 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.893, loss: 0.259 | Val-acc-top1: 0.871 | time: 2.1 | Speed: 816.61 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.909, loss: 0.230 | Val-acc-top1: 0.902 | time: 2.1 | Speed: 804.79 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.901, loss: 0.240 | Val-acc-top1: 0.897 | time: 2.1 | Speed: 804.13 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.897, loss: 0.249 | Val-acc-top1: 0.890 | time: 2.1 | Speed: 805.24 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.898, loss: 0.233 | Val-acc-top1: 0.888 | time: 2.1 | Speed: 813.68 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.897, loss: 0.257 | Val-acc-top1: 0.888 | time: 2.1 | Speed: 819.91 samples/sec | lr: 0.00343000
