Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='mobilenet0.5_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='mobilenet0.5', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [199]	Speed: 978.087364 samples/sec	accuracy=0.001328	lr=0.000200
Epoch[0] Batch [399]	Speed: 1102.313990 samples/sec	accuracy=0.001172	lr=0.000400
Epoch[0] Batch [599]	Speed: 1115.403714 samples/sec	accuracy=0.001250	lr=0.000599
Epoch[0] Batch [799]	Speed: 1117.136860 samples/sec	accuracy=0.001152	lr=0.000799
Epoch[0] Batch [999]	Speed: 1116.819054 samples/sec	accuracy=0.001219	lr=0.000999
Epoch[0] Batch [1199]	Speed: 1111.506031 samples/sec	accuracy=0.001230	lr=0.001199
Epoch[0] Batch [1399]	Speed: 1120.655313 samples/sec	accuracy=0.001239	lr=0.001399
Epoch[0] Batch [1599]	Speed: 1109.416315 samples/sec	accuracy=0.001245	lr=0.001599
Epoch[0] Batch [1799]	Speed: 1127.524861 samples/sec	accuracy=0.001272	lr=0.001798
Epoch[0] Batch [1999]	Speed: 1127.984062 samples/sec	accuracy=0.001309	lr=0.001998
Epoch[0] Batch [2199]	Speed: 1117.818456 samples/sec	accuracy=0.001325	lr=0.002198
Epoch[0] Batch [2399]	Speed: 1116.301337 samples/sec	accuracy=0.001331	lr=0.002398
Epoch[0] Batch [2599]	Speed: 1131.407158 samples/sec	accuracy=0.001382	lr=0.002598
Epoch[0] Batch [2799]	Speed: 1131.393198 samples/sec	accuracy=0.001440	lr=0.002798
Epoch[0] Batch [2999]	Speed: 1089.424846 samples/sec	accuracy=0.001458	lr=0.002997
Epoch[0] Batch [3199]	Speed: 1100.086464 samples/sec	accuracy=0.001506	lr=0.003197
Epoch[0] Batch [3399]	Speed: 1127.763192 samples/sec	accuracy=0.001549	lr=0.003397
Epoch[0] Batch [3599]	Speed: 1122.216176 samples/sec	accuracy=0.001597	lr=0.003597
Epoch[0] Batch [3799]	Speed: 1125.415018 samples/sec	accuracy=0.001665	lr=0.003797
Epoch[0] Batch [3999]	Speed: 1127.014492 samples/sec	accuracy=0.001779	lr=0.003996
Epoch[0] Batch [4199]	Speed: 1104.593485 samples/sec	accuracy=0.001868	lr=0.004196
Epoch[0] Batch [4399]	Speed: 1108.561703 samples/sec	accuracy=0.001999	lr=0.004396
Epoch[0] Batch [4599]	Speed: 1123.752249 samples/sec	accuracy=0.002135	lr=0.004596
Epoch[0] Batch [4799]	Speed: 1128.928287 samples/sec	accuracy=0.002277	lr=0.004796
Epoch[0] Batch [4999]	Speed: 1110.202082 samples/sec	accuracy=0.002422	lr=0.004996
Epoch[0] Batch [5199]	Speed: 1076.971262 samples/sec	accuracy=0.002556	lr=0.005195
Epoch[0] Batch [5399]	Speed: 1126.295611 samples/sec	accuracy=0.002714	lr=0.005395
Epoch[0] Batch [5599]	Speed: 1124.618979 samples/sec	accuracy=0.002864	lr=0.005595
Epoch[0] Batch [5799]	Speed: 1124.119180 samples/sec	accuracy=0.003043	lr=0.005795
Epoch[0] Batch [5999]	Speed: 1125.584537 samples/sec	accuracy=0.003255	lr=0.005995
Epoch[0] Batch [6199]	Speed: 1125.181794 samples/sec	accuracy=0.003492	lr=0.006195
Epoch[0] Batch [6399]	Speed: 1125.880671 samples/sec	accuracy=0.003723	lr=0.006394
Epoch[0] Batch [6599]	Speed: 1124.634151 samples/sec	accuracy=0.003937	lr=0.006594
Epoch[0] Batch [6799]	Speed: 1107.482656 samples/sec	accuracy=0.004195	lr=0.006794
Epoch[0] Batch [6999]	Speed: 1096.100666 samples/sec	accuracy=0.004469	lr=0.006994
Epoch[0] Batch [7199]	Speed: 1115.604956 samples/sec	accuracy=0.004734	lr=0.007194
Epoch[0] Batch [7399]	Speed: 1116.212307 samples/sec	accuracy=0.005007	lr=0.007393
Epoch[0] Batch [7599]	Speed: 1121.051392 samples/sec	accuracy=0.005336	lr=0.007593
Epoch[0] Batch [7799]	Speed: 1121.121003 samples/sec	accuracy=0.005654	lr=0.007793
Epoch[0] Batch [7999]	Speed: 1121.718510 samples/sec	accuracy=0.005978	lr=0.007993
Epoch[0] Batch [8199]	Speed: 1121.943021 samples/sec	accuracy=0.006319	lr=0.008193
Epoch[0] Batch [8399]	Speed: 1119.716102 samples/sec	accuracy=0.006662	lr=0.008393
Epoch[0] Batch [8599]	Speed: 1122.764659 samples/sec	accuracy=0.007048	lr=0.008592
Epoch[0] Batch [8799]	Speed: 1120.861438 samples/sec	accuracy=0.007403	lr=0.008792
Epoch[0] Batch [8999]	Speed: 1116.899897 samples/sec	accuracy=0.007782	lr=0.008992
Epoch[0] Batch [9199]	Speed: 1115.650800 samples/sec	accuracy=0.008173	lr=0.009192
Epoch[0] Batch [9399]	Speed: 1117.300685 samples/sec	accuracy=0.008591	lr=0.009392
Epoch[0] Batch [9599]	Speed: 1123.527942 samples/sec	accuracy=0.009019	lr=0.009592
Epoch[0] Batch [9799]	Speed: 1118.923135 samples/sec	accuracy=0.009436	lr=0.009791
Epoch[0] Batch [9999]	Speed: 1118.784537 samples/sec	accuracy=0.009889	lr=0.009991
[Epoch 0] training: accuracy=0.009905
[Epoch 0] speed: 1114 samples/sec	time cost: 1177.651772
[Epoch 0] validation: err-top1=0.965840 err-top5=0.891140
Epoch[1] Batch [199]	Speed: 1086.711047 samples/sec	accuracy=0.034648	lr=0.010200
Epoch[1] Batch [399]	Speed: 1111.643912 samples/sec	accuracy=0.034004	lr=0.010400
Epoch[1] Batch [599]	Speed: 1100.831809 samples/sec	accuracy=0.034714	lr=0.010600
Epoch[1] Batch [799]	Speed: 1107.385228 samples/sec	accuracy=0.035439	lr=0.010799
Epoch[1] Batch [999]	Speed: 1119.340697 samples/sec	accuracy=0.036164	lr=0.010999
Epoch[1] Batch [1199]	Speed: 1121.908603 samples/sec	accuracy=0.036758	lr=0.011199
Epoch[1] Batch [1399]	Speed: 1124.026392 samples/sec	accuracy=0.037539	lr=0.011399
Epoch[1] Batch [1599]	Speed: 1122.863956 samples/sec	accuracy=0.038188	lr=0.011599
Epoch[1] Batch [1799]	Speed: 1111.617328 samples/sec	accuracy=0.038715	lr=0.011799
