Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='mobilenet0.5', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.740, loss: 0.602 | Val-acc-top1: 0.766 | time: 11.5 | Speed: 146.79 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.824, loss: 0.432 | Val-acc-top1: 0.843 | time: 3.8 | Speed: 448.17 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.831, loss: 0.409 | Val-acc-top1: 0.735 | time: 3.6 | Speed: 464.47 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.851, loss: 0.334 | Val-acc-top1: 0.780 | time: 3.7 | Speed: 464.26 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.878, loss: 0.295 | Val-acc-top1: 0.857 | time: 3.6 | Speed: 469.11 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.889, loss: 0.269 | Val-acc-top1: 0.838 | time: 3.7 | Speed: 452.45 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.923, loss: 0.200 | Val-acc-top1: 0.876 | time: 3.7 | Speed: 456.35 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.914, loss: 0.206 | Val-acc-top1: 0.918 | time: 3.7 | Speed: 456.11 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.916, loss: 0.224 | Val-acc-top1: 0.904 | time: 3.8 | Speed: 447.12 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.927, loss: 0.165 | Val-acc-top1: 0.906 | time: 3.9 | Speed: 433.73 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.940, loss: 0.168 | Val-acc-top1: 0.904 | time: 3.7 | Speed: 461.27 samples/sec | lr: 0.00700000
