Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='mobilenet0.5', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='params/0.5359-imagenet-mobilenet0.5-40-best.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.657, loss: 0.640 | Val-acc-top1: 0.822 | time: 17.1 | Speed: 99.33 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.817, loss: 0.429 | Val-acc-top1: 0.850 | time: 6.7 | Speed: 254.07 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.845, loss: 0.354 | Val-acc-top1: 0.892 | time: 5.6 | Speed: 301.80 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.860, loss: 0.320 | Val-acc-top1: 0.890 | time: 6.1 | Speed: 278.25 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.873, loss: 0.307 | Val-acc-top1: 0.899 | time: 5.9 | Speed: 287.21 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.870, loss: 0.286 | Val-acc-top1: 0.897 | time: 6.4 | Speed: 266.80 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.887, loss: 0.258 | Val-acc-top1: 0.897 | time: 5.8 | Speed: 294.64 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.883, loss: 0.272 | Val-acc-top1: 0.913 | time: 6.1 | Speed: 278.63 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.896, loss: 0.252 | Val-acc-top1: 0.906 | time: 6.2 | Speed: 272.93 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.897, loss: 0.249 | Val-acc-top1: 0.909 | time: 6.4 | Speed: 264.30 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.899, loss: 0.237 | Val-acc-top1: 0.906 | time: 6.6 | Speed: 258.33 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.893, loss: 0.256 | Val-acc-top1: 0.904 | time: 6.5 | Speed: 260.72 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.908, loss: 0.227 | Val-acc-top1: 0.892 | time: 6.3 | Speed: 268.58 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.903, loss: 0.228 | Val-acc-top1: 0.902 | time: 7.0 | Speed: 243.87 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.909, loss: 0.216 | Val-acc-top1: 0.902 | time: 4.9 | Speed: 349.48 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.910, loss: 0.210 | Val-acc-top1: 0.897 | time: 6.2 | Speed: 273.93 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.916, loss: 0.209 | Val-acc-top1: 0.892 | time: 6.5 | Speed: 262.36 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.914, loss: 0.203 | Val-acc-top1: 0.897 | time: 6.1 | Speed: 276.71 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.922, loss: 0.196 | Val-acc-top1: 0.890 | time: 6.5 | Speed: 262.31 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.920, loss: 0.201 | Val-acc-top1: 0.890 | time: 6.0 | Speed: 283.94 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.929, loss: 0.190 | Val-acc-top1: 0.885 | time: 5.9 | Speed: 286.05 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.922, loss: 0.195 | Val-acc-top1: 0.892 | time: 5.9 | Speed: 288.05 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.923, loss: 0.190 | Val-acc-top1: 0.899 | time: 6.4 | Speed: 266.15 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.917, loss: 0.192 | Val-acc-top1: 0.897 | time: 6.2 | Speed: 272.21 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.927, loss: 0.175 | Val-acc-top1: 0.902 | time: 6.0 | Speed: 281.27 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.934, loss: 0.166 | Val-acc-top1: 0.909 | time: 6.1 | Speed: 278.52 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.929, loss: 0.186 | Val-acc-top1: 0.904 | time: 6.2 | Speed: 271.34 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.941, loss: 0.170 | Val-acc-top1: 0.892 | time: 6.6 | Speed: 255.93 samples/sec | lr: 0.00343000
[Epoch 28] Train-acc: 0.933, loss: 0.187 | Val-acc-top1: 0.899 | time: 6.4 | Speed: 263.62 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.926, loss: 0.182 | Val-acc-top1: 0.897 | time: 6.5 | Speed: 259.17 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.946, loss: 0.162 | Val-acc-top1: 0.897 | time: 6.3 | Speed: 267.02 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.933, loss: 0.162 | Val-acc-top1: 0.906 | time: 6.1 | Speed: 276.33 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.947, loss: 0.152 | Val-acc-top1: 0.902 | time: 6.2 | Speed: 274.57 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.929, loss: 0.165 | Val-acc-top1: 0.899 | time: 6.7 | Speed: 251.73 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.936, loss: 0.168 | Val-acc-top1: 0.899 | time: 6.2 | Speed: 271.58 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.947, loss: 0.151 | Val-acc-top1: 0.904 | time: 6.5 | Speed: 260.73 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.932, loss: 0.158 | Val-acc-top1: 0.906 | time: 6.0 | Speed: 280.32 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.944, loss: 0.148 | Val-acc-top1: 0.909 | time: 6.1 | Speed: 276.82 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.938, loss: 0.160 | Val-acc-top1: 0.899 | time: 6.2 | Speed: 273.23 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.941, loss: 0.157 | Val-acc-top1: 0.897 | time: 6.3 | Speed: 268.08 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.924, loss: 0.171 | Val-acc-top1: 0.899 | time: 6.5 | Speed: 259.36 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.930, loss: 0.169 | Val-acc-top1: 0.911 | time: 6.8 | Speed: 250.88 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.932, loss: 0.173 | Val-acc-top1: 0.913 | time: 6.1 | Speed: 276.34 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.937, loss: 0.164 | Val-acc-top1: 0.904 | time: 6.0 | Speed: 282.88 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.945, loss: 0.148 | Val-acc-top1: 0.906 | time: 6.1 | Speed: 280.11 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.948, loss: 0.134 | Val-acc-top1: 0.902 | time: 5.7 | Speed: 299.20 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.943, loss: 0.149 | Val-acc-top1: 0.904 | time: 5.9 | Speed: 285.17 samples/sec | lr: 0.00168070
[Epoch 47] Train-acc: 0.939, loss: 0.159 | Val-acc-top1: 0.902 | time: 6.2 | Speed: 273.97 samples/sec | lr: 0.00168070
[Epoch 48] Train-acc: 0.938, loss: 0.157 | Val-acc-top1: 0.902 | time: 6.1 | Speed: 277.77 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.947, loss: 0.154 | Val-acc-top1: 0.906 | time: 6.0 | Speed: 284.37 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.940, loss: 0.151 | Val-acc-top1: 0.904 | time: 6.3 | Speed: 269.56 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.946, loss: 0.146 | Val-acc-top1: 0.906 | time: 6.0 | Speed: 281.63 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.950, loss: 0.137 | Val-acc-top1: 0.902 | time: 6.0 | Speed: 283.52 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.953, loss: 0.137 | Val-acc-top1: 0.904 | time: 6.4 | Speed: 264.63 samples/sec | lr: 0.00168070
