Namespace(batch_size=128, dtype='float32', hard_weight=0.5, input_sz=208, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='mobilenet0.5', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='params/0.5177-imagenet-mobilenet0.5-50-best.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.660, loss: 0.618 | Val-acc-top1: 0.792 | time: 11.3 | Speed: 150.06 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.818, loss: 0.429 | Val-acc-top1: 0.857 | time: 4.0 | Speed: 428.34 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.840, loss: 0.364 | Val-acc-top1: 0.878 | time: 4.0 | Speed: 426.22 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.859, loss: 0.323 | Val-acc-top1: 0.895 | time: 3.9 | Speed: 429.75 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.857, loss: 0.311 | Val-acc-top1: 0.885 | time: 4.0 | Speed: 424.79 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.884, loss: 0.278 | Val-acc-top1: 0.899 | time: 4.2 | Speed: 404.65 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.885, loss: 0.281 | Val-acc-top1: 0.906 | time: 4.0 | Speed: 419.15 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.887, loss: 0.262 | Val-acc-top1: 0.904 | time: 4.1 | Speed: 410.39 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.904, loss: 0.234 | Val-acc-top1: 0.916 | time: 4.0 | Speed: 421.81 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.906, loss: 0.231 | Val-acc-top1: 0.906 | time: 4.0 | Speed: 419.54 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.909, loss: 0.238 | Val-acc-top1: 0.904 | time: 4.1 | Speed: 412.77 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.918, loss: 0.216 | Val-acc-top1: 0.911 | time: 4.1 | Speed: 418.19 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.908, loss: 0.223 | Val-acc-top1: 0.909 | time: 4.1 | Speed: 412.47 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.902, loss: 0.231 | Val-acc-top1: 0.913 | time: 4.2 | Speed: 405.12 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.922, loss: 0.213 | Val-acc-top1: 0.911 | time: 4.0 | Speed: 418.66 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.909, loss: 0.210 | Val-acc-top1: 0.909 | time: 4.0 | Speed: 419.54 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.921, loss: 0.190 | Val-acc-top1: 0.909 | time: 4.1 | Speed: 413.86 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.926, loss: 0.198 | Val-acc-top1: 0.909 | time: 4.1 | Speed: 412.53 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.920, loss: 0.203 | Val-acc-top1: 0.906 | time: 4.2 | Speed: 407.46 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.929, loss: 0.197 | Val-acc-top1: 0.911 | time: 4.1 | Speed: 414.04 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.920, loss: 0.202 | Val-acc-top1: 0.911 | time: 4.0 | Speed: 426.85 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.928, loss: 0.187 | Val-acc-top1: 0.913 | time: 4.0 | Speed: 423.41 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.926, loss: 0.201 | Val-acc-top1: 0.913 | time: 4.0 | Speed: 423.37 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.930, loss: 0.191 | Val-acc-top1: 0.916 | time: 4.1 | Speed: 415.63 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.934, loss: 0.177 | Val-acc-top1: 0.904 | time: 4.0 | Speed: 423.67 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.925, loss: 0.194 | Val-acc-top1: 0.918 | time: 4.1 | Speed: 416.30 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.941, loss: 0.159 | Val-acc-top1: 0.911 | time: 4.1 | Speed: 417.22 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.935, loss: 0.171 | Val-acc-top1: 0.909 | time: 4.0 | Speed: 419.49 samples/sec | lr: 0.00343000
[Epoch 28] Train-acc: 0.939, loss: 0.174 | Val-acc-top1: 0.909 | time: 4.1 | Speed: 418.44 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.947, loss: 0.139 | Val-acc-top1: 0.909 | time: 4.1 | Speed: 418.11 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.939, loss: 0.155 | Val-acc-top1: 0.909 | time: 4.0 | Speed: 420.27 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.931, loss: 0.177 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 420.67 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.944, loss: 0.142 | Val-acc-top1: 0.911 | time: 4.0 | Speed: 422.20 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.949, loss: 0.145 | Val-acc-top1: 0.902 | time: 4.0 | Speed: 420.99 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.934, loss: 0.168 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 420.46 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.946, loss: 0.153 | Val-acc-top1: 0.918 | time: 4.0 | Speed: 421.96 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.934, loss: 0.153 | Val-acc-top1: 0.904 | time: 4.0 | Speed: 421.04 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.943, loss: 0.144 | Val-acc-top1: 0.904 | time: 4.1 | Speed: 418.36 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.949, loss: 0.145 | Val-acc-top1: 0.920 | time: 4.1 | Speed: 414.05 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.939, loss: 0.163 | Val-acc-top1: 0.913 | time: 4.1 | Speed: 415.97 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.943, loss: 0.146 | Val-acc-top1: 0.911 | time: 4.0 | Speed: 420.65 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.945, loss: 0.149 | Val-acc-top1: 0.916 | time: 4.1 | Speed: 416.63 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.946, loss: 0.148 | Val-acc-top1: 0.925 | time: 4.0 | Speed: 418.99 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.949, loss: 0.121 | Val-acc-top1: 0.918 | time: 4.2 | Speed: 403.10 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.942, loss: 0.146 | Val-acc-top1: 0.920 | time: 4.4 | Speed: 388.13 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.949, loss: 0.145 | Val-acc-top1: 0.923 | time: 4.4 | Speed: 384.19 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.947, loss: 0.140 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 423.36 samples/sec | lr: 0.00168070
[Epoch 47] Train-acc: 0.949, loss: 0.156 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 419.60 samples/sec | lr: 0.00168070
[Epoch 48] Train-acc: 0.947, loss: 0.144 | Val-acc-top1: 0.920 | time: 4.4 | Speed: 388.52 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.940, loss: 0.148 | Val-acc-top1: 0.923 | time: 4.2 | Speed: 404.83 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.944, loss: 0.153 | Val-acc-top1: 0.913 | time: 4.0 | Speed: 423.01 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.952, loss: 0.137 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 422.56 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.947, loss: 0.154 | Val-acc-top1: 0.911 | time: 4.3 | Speed: 391.17 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.942, loss: 0.150 | Val-acc-top1: 0.920 | time: 4.3 | Speed: 393.05 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.949, loss: 0.125 | Val-acc-top1: 0.920 | time: 4.1 | Speed: 414.23 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.947, loss: 0.121 | Val-acc-top1: 0.925 | time: 4.0 | Speed: 426.11 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.950, loss: 0.139 | Val-acc-top1: 0.925 | time: 4.0 | Speed: 424.68 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.954, loss: 0.138 | Val-acc-top1: 0.916 | time: 4.0 | Speed: 421.24 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.948, loss: 0.133 | Val-acc-top1: 0.920 | time: 4.1 | Speed: 416.63 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.953, loss: 0.131 | Val-acc-top1: 0.920 | time: 4.0 | Speed: 421.89 samples/sec | lr: 0.00168070
[Epoch 60] Train-acc: 0.949, loss: 0.148 | Val-acc-top1: 0.925 | time: 4.1 | Speed: 414.40 samples/sec | lr: 0.00168070
[Epoch 61] Train-acc: 0.951, loss: 0.139 | Val-acc-top1: 0.920 | time: 4.3 | Speed: 394.48 samples/sec | lr: 0.00168070
[Epoch 62] Train-acc: 0.950, loss: 0.125 | Val-acc-top1: 0.925 | time: 4.2 | Speed: 403.56 samples/sec | lr: 0.00168070
[Epoch 63] Train-acc: 0.944, loss: 0.148 | Val-acc-top1: 0.918 | time: 4.0 | Speed: 423.36 samples/sec | lr: 0.00168070
