Namespace(batch_size=32, input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.507, loss: 0.710 | Test-acc: 0.518 | time: 11.2 | Speed: 196.21 samples/sec | lr: 0.00100000
[Epoch 1] Train-acc: 0.564, loss: 0.679 | Test-acc: 0.561 | time: 6.6 | Speed: 331.48 samples/sec | lr: 0.00100000
[Epoch 2] Train-acc: 0.590, loss: 0.666 | Test-acc: 0.595 | time: 6.6 | Speed: 334.68 samples/sec | lr: 0.00100000
[Epoch 3] Train-acc: 0.616, loss: 0.649 | Test-acc: 0.662 | time: 6.6 | Speed: 335.28 samples/sec | lr: 0.00100000
[Epoch 4] Train-acc: 0.601, loss: 0.657 | Test-acc: 0.610 | time: 6.7 | Speed: 328.78 samples/sec | lr: 0.00100000
[Epoch 5] Train-acc: 0.627, loss: 0.644 | Test-acc: 0.638 | time: 6.7 | Speed: 328.31 samples/sec | lr: 0.00100000
[Epoch 6] Train-acc: 0.635, loss: 0.650 | Test-acc: 0.674 | time: 6.7 | Speed: 327.76 samples/sec | lr: 0.00100000
[Epoch 7] Train-acc: 0.643, loss: 0.635 | Test-acc: 0.633 | time: 6.7 | Speed: 327.03 samples/sec | lr: 0.00100000
[Epoch 8] Train-acc: 0.653, loss: 0.627 | Test-acc: 0.662 | time: 6.6 | Speed: 333.02 samples/sec | lr: 0.00100000
[Epoch 9] Train-acc: 0.640, loss: 0.642 | Test-acc: 0.689 | time: 6.6 | Speed: 334.54 samples/sec | lr: 0.00100000
[Epoch 10] Train-acc: 0.659, loss: 0.627 | Test-acc: 0.680 | time: 6.7 | Speed: 328.92 samples/sec | lr: 0.00075000
[Epoch 11] Train-acc: 0.652, loss: 0.622 | Test-acc: 0.647 | time: 6.6 | Speed: 334.14 samples/sec | lr: 0.00075000
[Epoch 12] Train-acc: 0.665, loss: 0.618 | Test-acc: 0.640 | time: 6.8 | Speed: 323.63 samples/sec | lr: 0.00075000
[Epoch 13] Train-acc: 0.665, loss: 0.614 | Test-acc: 0.628 | time: 6.5 | Speed: 337.69 samples/sec | lr: 0.00075000
[Epoch 14] Train-acc: 0.666, loss: 0.612 | Test-acc: 0.665 | time: 6.6 | Speed: 334.12 samples/sec | lr: 0.00075000
[Epoch 15] Train-acc: 0.676, loss: 0.603 | Test-acc: 0.649 | time: 6.6 | Speed: 331.56 samples/sec | lr: 0.00075000
[Epoch 16] Train-acc: 0.656, loss: 0.626 | Test-acc: 0.710 | time: 6.7 | Speed: 326.00 samples/sec | lr: 0.00075000
[Epoch 17] Train-acc: 0.666, loss: 0.608 | Test-acc: 0.682 | time: 6.7 | Speed: 330.77 samples/sec | lr: 0.00075000
[Epoch 18] Train-acc: 0.655, loss: 0.619 | Test-acc: 0.673 | time: 6.6 | Speed: 335.30 samples/sec | lr: 0.00075000
[Epoch 19] Train-acc: 0.666, loss: 0.611 | Test-acc: 0.696 | time: 6.7 | Speed: 328.09 samples/sec | lr: 0.00075000
[Epoch 20] Train-acc: 0.663, loss: 0.609 | Test-acc: 0.691 | time: 6.8 | Speed: 322.81 samples/sec | lr: 0.00056250
[Epoch 21] Train-acc: 0.662, loss: 0.608 | Test-acc: 0.698 | time: 6.6 | Speed: 333.50 samples/sec | lr: 0.00056250
[Epoch 22] Train-acc: 0.692, loss: 0.594 | Test-acc: 0.676 | time: 6.7 | Speed: 327.62 samples/sec | lr: 0.00056250
[Epoch 23] Train-acc: 0.666, loss: 0.606 | Test-acc: 0.687 | time: 6.8 | Speed: 325.92 samples/sec | lr: 0.00056250
[Epoch 24] Train-acc: 0.675, loss: 0.594 | Test-acc: 0.694 | time: 6.5 | Speed: 336.21 samples/sec | lr: 0.00056250
[Epoch 25] Train-acc: 0.684, loss: 0.599 | Test-acc: 0.583 | time: 6.5 | Speed: 338.35 samples/sec | lr: 0.00056250
[Epoch 26] Train-acc: 0.688, loss: 0.598 | Test-acc: 0.703 | time: 6.6 | Speed: 332.50 samples/sec | lr: 0.00056250
[Epoch 27] Train-acc: 0.680, loss: 0.593 | Test-acc: 0.669 | time: 6.5 | Speed: 340.42 samples/sec | lr: 0.00056250
[Epoch 28] Train-acc: 0.687, loss: 0.604 | Test-acc: 0.674 | time: 6.9 | Speed: 319.29 samples/sec | lr: 0.00056250
[Epoch 29] Train-acc: 0.684, loss: 0.591 | Test-acc: 0.700 | time: 6.4 | Speed: 341.75 samples/sec | lr: 0.00056250
[Epoch 30] Train-acc: 0.688, loss: 0.591 | Test-acc: 0.613 | time: 6.5 | Speed: 337.15 samples/sec | lr: 0.00042188
[Epoch 31] Train-acc: 0.691, loss: 0.593 | Test-acc: 0.685 | time: 6.7 | Speed: 327.42 samples/sec | lr: 0.00042188
[Epoch 32] Train-acc: 0.697, loss: 0.590 | Test-acc: 0.631 | time: 6.7 | Speed: 329.34 samples/sec | lr: 0.00042188
[Epoch 33] Train-acc: 0.677, loss: 0.596 | Test-acc: 0.680 | time: 6.7 | Speed: 330.42 samples/sec | lr: 0.00042188
[Epoch 34] Train-acc: 0.699, loss: 0.580 | Test-acc: 0.585 | time: 6.8 | Speed: 321.47 samples/sec | lr: 0.00042188
[Epoch 35] Train-acc: 0.686, loss: 0.602 | Test-acc: 0.705 | time: 6.5 | Speed: 336.46 samples/sec | lr: 0.00042188
[Epoch 36] Train-acc: 0.687, loss: 0.596 | Test-acc: 0.658 | time: 6.8 | Speed: 325.17 samples/sec | lr: 0.00042188
[Epoch 37] Train-acc: 0.694, loss: 0.592 | Test-acc: 0.700 | time: 6.6 | Speed: 334.69 samples/sec | lr: 0.00042188
[Epoch 38] Train-acc: 0.699, loss: 0.594 | Test-acc: 0.705 | time: 6.6 | Speed: 332.91 samples/sec | lr: 0.00042188
[Epoch 39] Train-acc: 0.687, loss: 0.586 | Test-acc: 0.658 | time: 6.7 | Speed: 329.71 samples/sec | lr: 0.00042188
[Epoch 40] Train-acc: 0.700, loss: 0.592 | Test-acc: 0.701 | time: 6.6 | Speed: 334.37 samples/sec | lr: 0.00031641
[Epoch 41] Train-acc: 0.691, loss: 0.587 | Test-acc: 0.703 | time: 6.7 | Speed: 327.51 samples/sec | lr: 0.00031641
[Epoch 42] Train-acc: 0.680, loss: 0.591 | Test-acc: 0.700 | time: 6.5 | Speed: 339.02 samples/sec | lr: 0.00031641
[Epoch 43] Train-acc: 0.698, loss: 0.578 | Test-acc: 0.710 | time: 6.6 | Speed: 332.81 samples/sec | lr: 0.00031641
