Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.711, loss: 0.596 | Val-acc: 0.813 | time: 12.4
[Epoch 1] Train-acc: 0.869, loss: 0.308 | Val-acc: 0.838 | time: 6.2
[Epoch 2] Train-acc: 0.877, loss: 0.282 | Val-acc: 0.842 | time: 6.5
[Epoch 3] Train-acc: 0.904, loss: 0.235 | Val-acc: 0.876 | time: 6.2
[Epoch 4] Train-acc: 0.921, loss: 0.210 | Val-acc: 0.869 | time: 6.3
[Epoch 5] Train-acc: 0.925, loss: 0.193 | Val-acc: 0.879 | time: 6.1
[Epoch 6] Train-acc: 0.925, loss: 0.190 | Val-acc: 0.887 | time: 6.3
[Epoch 7] Train-acc: 0.920, loss: 0.199 | Val-acc: 0.872 | time: 6.1
[Epoch 8] Train-acc: 0.933, loss: 0.167 | Val-acc: 0.881 | time: 6.5
[Epoch 9] Train-acc: 0.947, loss: 0.147 | Val-acc: 0.890 | time: 6.2
[Epoch 10] Train-acc: 0.941, loss: 0.160 | Val-acc: 0.876 | time: 6.2
[Epoch 11] Train-acc: 0.934, loss: 0.163 | Val-acc: 0.892 | time: 6.2
[Epoch 12] Train-acc: 0.931, loss: 0.168 | Val-acc: 0.905 | time: 6.3
[Epoch 13] Train-acc: 0.940, loss: 0.142 | Val-acc: 0.905 | time: 6.5
[Epoch 14] Train-acc: 0.945, loss: 0.141 | Val-acc: 0.890 | time: 6.2
[Epoch 15] Train-acc: 0.944, loss: 0.136 | Val-acc: 0.908 | time: 6.4
[Epoch 16] Train-acc: 0.952, loss: 0.127 | Val-acc: 0.903 | time: 6.2
[Epoch 17] Train-acc: 0.958, loss: 0.112 | Val-acc: 0.908 | time: 6.2
[Epoch 18] Train-acc: 0.950, loss: 0.140 | Val-acc: 0.910 | time: 6.4
[Epoch 19] Train-acc: 0.955, loss: 0.122 | Val-acc: 0.901 | time: 6.2
[Epoch 20] Train-acc: 0.950, loss: 0.134 | Val-acc: 0.910 | time: 6.2
[Epoch 21] Train-acc: 0.959, loss: 0.110 | Val-acc: 0.903 | time: 6.3
[Epoch 22] Train-acc: 0.955, loss: 0.115 | Val-acc: 0.905 | time: 6.3
[Epoch 23] Train-acc: 0.960, loss: 0.110 | Val-acc: 0.899 | time: 6.2
[Epoch 24] Train-acc: 0.957, loss: 0.114 | Val-acc: 0.914 | time: 6.4
