Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=160, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='resnext50_32x4d', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.742, loss: 0.538 | Val-acc-top1: 0.787 | time: 17.2 | Speed: 98.82 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.802, loss: 0.430 | Val-acc-top1: 0.878 | time: 10.0 | Speed: 170.13 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.846, loss: 0.355 | Val-acc-top1: 0.871 | time: 10.0 | Speed: 170.28 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.845, loss: 0.348 | Val-acc-top1: 0.913 | time: 9.8 | Speed: 172.92 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.891, loss: 0.281 | Val-acc-top1: 0.754 | time: 9.7 | Speed: 174.80 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.888, loss: 0.274 | Val-acc-top1: 0.808 | time: 10.0 | Speed: 168.77 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.877, loss: 0.289 | Val-acc-top1: 0.890 | time: 9.7 | Speed: 175.06 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.894, loss: 0.252 | Val-acc-top1: 0.878 | time: 10.0 | Speed: 168.96 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.900, loss: 0.256 | Val-acc-top1: 0.796 | time: 9.9 | Speed: 171.49 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.906, loss: 0.220 | Val-acc-top1: 0.820 | time: 9.8 | Speed: 172.37 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.916, loss: 0.195 | Val-acc-top1: 0.895 | time: 9.8 | Speed: 172.22 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.922, loss: 0.179 | Val-acc-top1: 0.874 | time: 10.1 | Speed: 167.11 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.926, loss: 0.188 | Val-acc-top1: 0.916 | time: 9.9 | Speed: 171.84 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.932, loss: 0.148 | Val-acc-top1: 0.878 | time: 10.0 | Speed: 169.56 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.926, loss: 0.176 | Val-acc-top1: 0.885 | time: 9.7 | Speed: 174.74 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.943, loss: 0.144 | Val-acc-top1: 0.902 | time: 9.7 | Speed: 174.79 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.946, loss: 0.143 | Val-acc-top1: 0.885 | time: 9.7 | Speed: 174.91 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.942, loss: 0.146 | Val-acc-top1: 0.930 | time: 9.7 | Speed: 174.36 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.950, loss: 0.140 | Val-acc-top1: 0.881 | time: 9.7 | Speed: 175.01 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.950, loss: 0.124 | Val-acc-top1: 0.881 | time: 10.0 | Speed: 169.80 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.949, loss: 0.132 | Val-acc-top1: 0.899 | time: 10.1 | Speed: 167.67 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.955, loss: 0.121 | Val-acc-top1: 0.897 | time: 9.8 | Speed: 172.82 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.958, loss: 0.104 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 174.33 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.967, loss: 0.096 | Val-acc-top1: 0.911 | time: 9.7 | Speed: 175.04 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.961, loss: 0.102 | Val-acc-top1: 0.916 | time: 9.7 | Speed: 174.84 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.961, loss: 0.098 | Val-acc-top1: 0.930 | time: 9.9 | Speed: 171.51 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.960, loss: 0.097 | Val-acc-top1: 0.913 | time: 10.2 | Speed: 165.45 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.957, loss: 0.112 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 175.40 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.972, loss: 0.083 | Val-acc-top1: 0.899 | time: 9.7 | Speed: 175.23 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.965, loss: 0.092 | Val-acc-top1: 0.906 | time: 9.7 | Speed: 175.14 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.969, loss: 0.090 | Val-acc-top1: 0.902 | time: 9.7 | Speed: 175.40 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.965, loss: 0.091 | Val-acc-top1: 0.913 | time: 9.7 | Speed: 175.17 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.965, loss: 0.078 | Val-acc-top1: 0.916 | time: 9.7 | Speed: 174.95 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.968, loss: 0.067 | Val-acc-top1: 0.923 | time: 9.7 | Speed: 174.85 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.975, loss: 0.064 | Val-acc-top1: 0.911 | time: 9.7 | Speed: 174.61 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.969, loss: 0.087 | Val-acc-top1: 0.916 | time: 10.1 | Speed: 168.38 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.971, loss: 0.075 | Val-acc-top1: 0.916 | time: 9.8 | Speed: 172.66 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.975, loss: 0.069 | Val-acc-top1: 0.911 | time: 9.8 | Speed: 172.51 samples/sec | lr: 0.00343000
[Epoch 38] Train-acc: 0.969, loss: 0.077 | Val-acc-top1: 0.909 | time: 9.9 | Speed: 171.45 samples/sec | lr: 0.00343000
[Epoch 39] Train-acc: 0.968, loss: 0.078 | Val-acc-top1: 0.918 | time: 9.7 | Speed: 174.69 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.971, loss: 0.066 | Val-acc-top1: 0.913 | time: 9.7 | Speed: 175.36 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.976, loss: 0.058 | Val-acc-top1: 0.918 | time: 9.8 | Speed: 172.79 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.979, loss: 0.064 | Val-acc-top1: 0.906 | time: 10.0 | Speed: 169.29 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.973, loss: 0.062 | Val-acc-top1: 0.906 | time: 10.0 | Speed: 168.68 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.977, loss: 0.059 | Val-acc-top1: 0.927 | time: 9.7 | Speed: 174.47 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.979, loss: 0.059 | Val-acc-top1: 0.918 | time: 9.7 | Speed: 175.20 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.979, loss: 0.059 | Val-acc-top1: 0.911 | time: 9.9 | Speed: 171.46 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.983, loss: 0.049 | Val-acc-top1: 0.925 | time: 9.7 | Speed: 174.89 samples/sec | lr: 0.00240100
[Epoch 48] Train-acc: 0.982, loss: 0.051 | Val-acc-top1: 0.909 | time: 9.9 | Speed: 170.45 samples/sec | lr: 0.00240100
[Epoch 49] Train-acc: 0.986, loss: 0.047 | Val-acc-top1: 0.923 | time: 10.2 | Speed: 166.59 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.978, loss: 0.058 | Val-acc-top1: 0.927 | time: 10.2 | Speed: 166.72 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.972, loss: 0.065 | Val-acc-top1: 0.927 | time: 10.0 | Speed: 168.91 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.982, loss: 0.048 | Val-acc-top1: 0.918 | time: 10.0 | Speed: 169.56 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.985, loss: 0.041 | Val-acc-top1: 0.913 | time: 9.8 | Speed: 172.26 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.981, loss: 0.049 | Val-acc-top1: 0.927 | time: 9.9 | Speed: 171.88 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.985, loss: 0.045 | Val-acc-top1: 0.927 | time: 9.8 | Speed: 172.76 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.979, loss: 0.056 | Val-acc-top1: 0.925 | time: 9.7 | Speed: 174.95 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.978, loss: 0.059 | Val-acc-top1: 0.916 | time: 9.7 | Speed: 174.48 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.985, loss: 0.041 | Val-acc-top1: 0.923 | time: 9.8 | Speed: 173.79 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.979, loss: 0.056 | Val-acc-top1: 0.930 | time: 9.8 | Speed: 172.62 samples/sec | lr: 0.00168070
[Epoch 60] Train-acc: 0.983, loss: 0.045 | Val-acc-top1: 0.927 | time: 9.9 | Speed: 172.07 samples/sec | lr: 0.00168070
[Epoch 61] Train-acc: 0.982, loss: 0.042 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 174.21 samples/sec | lr: 0.00168070
[Epoch 62] Train-acc: 0.979, loss: 0.057 | Val-acc-top1: 0.925 | time: 9.7 | Speed: 174.52 samples/sec | lr: 0.00168070
[Epoch 63] Train-acc: 0.979, loss: 0.045 | Val-acc-top1: 0.925 | time: 9.7 | Speed: 174.29 samples/sec | lr: 0.00168070
[Epoch 64] Train-acc: 0.978, loss: 0.050 | Val-acc-top1: 0.932 | time: 9.7 | Speed: 174.74 samples/sec | lr: 0.00168070
[Epoch 65] Train-acc: 0.983, loss: 0.044 | Val-acc-top1: 0.941 | time: 9.7 | Speed: 174.04 samples/sec | lr: 0.00168070
[Epoch 66] Train-acc: 0.982, loss: 0.044 | Val-acc-top1: 0.925 | time: 9.7 | Speed: 174.60 samples/sec | lr: 0.00168070
[Epoch 67] Train-acc: 0.980, loss: 0.055 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 174.06 samples/sec | lr: 0.00168070
[Epoch 68] Train-acc: 0.986, loss: 0.046 | Val-acc-top1: 0.916 | time: 9.7 | Speed: 174.11 samples/sec | lr: 0.00117649
[Epoch 69] Train-acc: 0.982, loss: 0.052 | Val-acc-top1: 0.923 | time: 9.8 | Speed: 172.36 samples/sec | lr: 0.00117649
[Epoch 70] Train-acc: 0.990, loss: 0.031 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 174.59 samples/sec | lr: 0.00117649
[Epoch 71] Train-acc: 0.982, loss: 0.044 | Val-acc-top1: 0.923 | time: 9.7 | Speed: 174.68 samples/sec | lr: 0.00117649
[Epoch 72] Train-acc: 0.985, loss: 0.054 | Val-acc-top1: 0.923 | time: 9.7 | Speed: 174.93 samples/sec | lr: 0.00117649
[Epoch 73] Train-acc: 0.984, loss: 0.044 | Val-acc-top1: 0.920 | time: 9.7 | Speed: 175.04 samples/sec | lr: 0.00117649
[Epoch 74] Train-acc: 0.985, loss: 0.041 | Val-acc-top1: 0.932 | time: 9.7 | Speed: 174.15 samples/sec | lr: 0.00117649
[Epoch 75] Train-acc: 0.987, loss: 0.037 | Val-acc-top1: 0.927 | time: 9.7 | Speed: 175.03 samples/sec | lr: 0.00117649
[Epoch 76] Train-acc: 0.976, loss: 0.048 | Val-acc-top1: 0.927 | time: 9.7 | Speed: 174.39 samples/sec | lr: 0.00117649
[Epoch 77] Train-acc: 0.983, loss: 0.040 | Val-acc-top1: 0.923 | time: 9.7 | Speed: 174.30 samples/sec | lr: 0.00117649
[Epoch 78] Train-acc: 0.986, loss: 0.040 | Val-acc-top1: 0.927 | time: 9.7 | Speed: 174.47 samples/sec | lr: 0.00117649
[Epoch 79] Train-acc: 0.985, loss: 0.041 | Val-acc-top1: 0.932 | time: 9.7 | Speed: 175.17 samples/sec | lr: 0.00117649
[Epoch 80] Train-acc: 0.983, loss: 0.052 | Val-acc-top1: 0.934 | time: 9.7 | Speed: 174.68 samples/sec | lr: 0.00117649
[Epoch 81] Train-acc: 0.991, loss: 0.032 | Val-acc-top1: 0.941 | time: 9.7 | Speed: 174.40 samples/sec | lr: 0.00117649
[Epoch 82] Train-acc: 0.983, loss: 0.039 | Val-acc-top1: 0.932 | time: 9.7 | Speed: 174.48 samples/sec | lr: 0.00117649
[Epoch 83] Train-acc: 0.985, loss: 0.040 | Val-acc-top1: 0.934 | time: 9.7 | Speed: 174.91 samples/sec | lr: 0.00117649
[Epoch 84] Train-acc: 0.983, loss: 0.038 | Val-acc-top1: 0.937 | time: 9.7 | Speed: 175.28 samples/sec | lr: 0.00117649
[Epoch 85] Train-acc: 0.983, loss: 0.043 | Val-acc-top1: 0.939 | time: 9.7 | Speed: 174.46 samples/sec | lr: 0.00117649
[Epoch 86] Train-acc: 0.982, loss: 0.036 | Val-acc-top1: 0.939 | time: 9.7 | Speed: 174.89 samples/sec | lr: 0.00117649
[Epoch 87] Train-acc: 0.988, loss: 0.037 | Val-acc-top1: 0.937 | time: 9.7 | Speed: 174.47 samples/sec | lr: 0.00117649
[Epoch 88] Train-acc: 0.987, loss: 0.040 | Val-acc-top1: 0.923 | time: 9.7 | Speed: 174.29 samples/sec | lr: 0.00117649
[Epoch 89] Train-acc: 0.986, loss: 0.035 | Val-acc-top1: 0.927 | time: 9.8 | Speed: 173.54 samples/sec | lr: 0.00117649
[Epoch 90] Train-acc: 0.980, loss: 0.046 | Val-acc-top1: 0.932 | time: 9.7 | Speed: 174.93 samples/sec | lr: 0.00117649
