Namespace(batch_size=8, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=224, lr=0.001, lr_factor=0.75, model='senet_154', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.850, loss: 0.331 | Val-acc: 0.932 | time: 140.6
[Epoch 1] Train-acc: 0.918, loss: 0.196 | Val-acc: 0.906 | time: 135.5
[Epoch 2] Train-acc: 0.935, loss: 0.162 | Val-acc: 0.944 | time: 137.2
[Epoch 3] Train-acc: 0.949, loss: 0.135 | Val-acc: 0.930 | time: 136.4
[Epoch 4] Train-acc: 0.946, loss: 0.137 | Val-acc: 0.941 | time: 136.6
[Epoch 5] Train-acc: 0.962, loss: 0.104 | Val-acc: 0.937 | time: 136.7
[Epoch 6] Train-acc: 0.965, loss: 0.088 | Val-acc: 0.933 | time: 136.6
[Epoch 7] Train-acc: 0.969, loss: 0.083 | Val-acc: 0.939 | time: 136.6
[Epoch 8] Train-acc: 0.973, loss: 0.078 | Val-acc: 0.942 | time: 136.4
[Epoch 9] Train-acc: 0.971, loss: 0.075 | Val-acc: 0.942 | time: 136.7
[Epoch 10] Train-acc: 0.980, loss: 0.061 | Val-acc: 0.944 | time: 136.6
[Epoch 11] Train-acc: 0.975, loss: 0.065 | Val-acc: 0.942 | time: 136.4
[Epoch 12] Train-acc: 0.980, loss: 0.061 | Val-acc: 0.946 | time: 136.6
[Epoch 13] Train-acc: 0.980, loss: 0.053 | Val-acc: 0.933 | time: 136.6
[Epoch 14] Train-acc: 0.981, loss: 0.046 | Val-acc: 0.948 | time: 136.7
[Epoch 15] Train-acc: 0.986, loss: 0.043 | Val-acc: 0.933 | time: 136.5
[Epoch 16] Train-acc: 0.986, loss: 0.036 | Val-acc: 0.930 | time: 136.5
[Epoch 17] Train-acc: 0.985, loss: 0.038 | Val-acc: 0.930 | time: 136.4
[Epoch 18] Train-acc: 0.986, loss: 0.041 | Val-acc: 0.926 | time: 136.5
[Epoch 19] Train-acc: 0.984, loss: 0.043 | Val-acc: 0.932 | time: 136.6
[Epoch 20] Train-acc: 0.985, loss: 0.033 | Val-acc: 0.941 | time: 136.6
[Epoch 21] Train-acc: 0.987, loss: 0.033 | Val-acc: 0.933 | time: 136.5
[Epoch 22] Train-acc: 0.985, loss: 0.033 | Val-acc: 0.932 | time: 136.5
[Epoch 23] Train-acc: 0.989, loss: 0.034 | Val-acc: 0.944 | time: 136.5
[Epoch 24] Train-acc: 0.987, loss: 0.033 | Val-acc: 0.951 | time: 136.5
[Epoch 25] Train-acc: 0.989, loss: 0.032 | Val-acc: 0.946 | time: 136.5
[Epoch 26] Train-acc: 0.988, loss: 0.036 | Val-acc: 0.942 | time: 136.4
[Epoch 27] Train-acc: 0.994, loss: 0.021 | Val-acc: 0.946 | time: 136.5
[Epoch 28] Train-acc: 0.989, loss: 0.027 | Val-acc: 0.951 | time: 136.6
[Epoch 29] Train-acc: 0.991, loss: 0.023 | Val-acc: 0.937 | time: 136.4
[Epoch 30] Train-acc: 0.992, loss: 0.028 | Val-acc: 0.948 | time: 136.6
[Epoch 31] Train-acc: 0.994, loss: 0.020 | Val-acc: 0.948 | time: 136.6
[Epoch 32] Train-acc: 0.990, loss: 0.023 | Val-acc: 0.948 | time: 136.5
[Epoch 33] Train-acc: 0.992, loss: 0.019 | Val-acc: 0.951 | time: 136.5
[Epoch 34] Train-acc: 0.992, loss: 0.020 | Val-acc: 0.950 | time: 136.6
[Epoch 35] Train-acc: 0.990, loss: 0.022 | Val-acc: 0.948 | time: 136.4
[Epoch 36] Train-acc: 0.995, loss: 0.020 | Val-acc: 0.935 | time: 136.5
[Epoch 37] Train-acc: 0.996, loss: 0.016 | Val-acc: 0.948 | time: 136.5
[Epoch 38] Train-acc: 0.992, loss: 0.020 | Val-acc: 0.942 | time: 136.5
[Epoch 39] Train-acc: 0.995, loss: 0.017 | Val-acc: 0.941 | time: 136.4
[Epoch 40] Train-acc: 0.992, loss: 0.022 | Val-acc: 0.944 | time: 136.4
[Epoch 41] Train-acc: 0.995, loss: 0.019 | Val-acc: 0.948 | time: 136.6
[Epoch 42] Train-acc: 0.994, loss: 0.016 | Val-acc: 0.942 | time: 136.5
[Epoch 43] Train-acc: 0.997, loss: 0.013 | Val-acc: 0.946 | time: 136.5
[Epoch 44] Train-acc: 0.993, loss: 0.018 | Val-acc: 0.946 | time: 136.5
[Epoch 45] Train-acc: 0.995, loss: 0.022 | Val-acc: 0.948 | time: 136.6
[Epoch 46] Train-acc: 0.992, loss: 0.018 | Val-acc: 0.950 | time: 136.5
[Epoch 47] Train-acc: 0.994, loss: 0.019 | Val-acc: 0.942 | time: 136.4
[Epoch 48] Train-acc: 0.995, loss: 0.014 | Val-acc: 0.944 | time: 136.5
[Epoch 49] Train-acc: 0.991, loss: 0.020 | Val-acc: 0.941 | time: 136.5
[Epoch 50] Train-acc: 0.991, loss: 0.021 | Val-acc: 0.946 | time: 136.5
