Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=180, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='resnext50_32x4d', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=50, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.755, loss: 0.559 | Val-acc-top1: 0.733 | time: 20.4 | Speed: 83.12 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.798, loss: 0.446 | Val-acc-top1: 0.787 | time: 12.7 | Speed: 133.93 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.842, loss: 0.374 | Val-acc-top1: 0.785 | time: 12.7 | Speed: 133.12 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.852, loss: 0.327 | Val-acc-top1: 0.834 | time: 12.9 | Speed: 130.92 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.881, loss: 0.298 | Val-acc-top1: 0.855 | time: 13.0 | Speed: 130.27 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.895, loss: 0.271 | Val-acc-top1: 0.913 | time: 12.8 | Speed: 132.05 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.888, loss: 0.280 | Val-acc-top1: 0.871 | time: 12.6 | Speed: 134.02 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.910, loss: 0.244 | Val-acc-top1: 0.890 | time: 12.7 | Speed: 133.61 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.913, loss: 0.216 | Val-acc-top1: 0.890 | time: 12.6 | Speed: 134.05 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.922, loss: 0.203 | Val-acc-top1: 0.867 | time: 12.7 | Speed: 133.74 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.928, loss: 0.201 | Val-acc-top1: 0.890 | time: 12.7 | Speed: 133.49 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.924, loss: 0.191 | Val-acc-top1: 0.897 | time: 12.6 | Speed: 134.04 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.930, loss: 0.157 | Val-acc-top1: 0.902 | time: 12.7 | Speed: 133.61 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.940, loss: 0.138 | Val-acc-top1: 0.876 | time: 12.7 | Speed: 133.49 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.937, loss: 0.174 | Val-acc-top1: 0.869 | time: 12.7 | Speed: 133.21 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.948, loss: 0.143 | Val-acc-top1: 0.895 | time: 12.6 | Speed: 134.11 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.946, loss: 0.150 | Val-acc-top1: 0.909 | time: 12.7 | Speed: 133.88 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.946, loss: 0.137 | Val-acc-top1: 0.892 | time: 12.7 | Speed: 133.96 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.949, loss: 0.133 | Val-acc-top1: 0.897 | time: 12.7 | Speed: 133.62 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.943, loss: 0.136 | Val-acc-top1: 0.925 | time: 12.7 | Speed: 133.25 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.962, loss: 0.101 | Val-acc-top1: 0.902 | time: 12.7 | Speed: 133.70 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.958, loss: 0.108 | Val-acc-top1: 0.923 | time: 12.7 | Speed: 133.42 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.962, loss: 0.092 | Val-acc-top1: 0.918 | time: 12.8 | Speed: 132.28 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.963, loss: 0.085 | Val-acc-top1: 0.923 | time: 12.8 | Speed: 132.90 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.963, loss: 0.084 | Val-acc-top1: 0.913 | time: 12.7 | Speed: 133.91 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.958, loss: 0.097 | Val-acc-top1: 0.895 | time: 12.7 | Speed: 133.93 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.968, loss: 0.091 | Val-acc-top1: 0.913 | time: 12.7 | Speed: 133.93 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.966, loss: 0.086 | Val-acc-top1: 0.906 | time: 12.7 | Speed: 133.11 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.965, loss: 0.088 | Val-acc-top1: 0.902 | time: 12.7 | Speed: 133.83 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.975, loss: 0.075 | Val-acc-top1: 0.902 | time: 12.7 | Speed: 133.48 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.973, loss: 0.069 | Val-acc-top1: 0.895 | time: 12.7 | Speed: 133.48 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.973, loss: 0.069 | Val-acc-top1: 0.923 | time: 12.7 | Speed: 133.33 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.972, loss: 0.077 | Val-acc-top1: 0.923 | time: 12.8 | Speed: 132.80 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.967, loss: 0.089 | Val-acc-top1: 0.923 | time: 12.7 | Speed: 133.03 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.973, loss: 0.069 | Val-acc-top1: 0.934 | time: 12.7 | Speed: 133.79 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.973, loss: 0.067 | Val-acc-top1: 0.927 | time: 12.7 | Speed: 133.52 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.973, loss: 0.068 | Val-acc-top1: 0.937 | time: 12.7 | Speed: 133.85 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.978, loss: 0.057 | Val-acc-top1: 0.925 | time: 12.7 | Speed: 133.48 samples/sec | lr: 0.00343000
[Epoch 38] Train-acc: 0.968, loss: 0.083 | Val-acc-top1: 0.925 | time: 12.7 | Speed: 133.72 samples/sec | lr: 0.00343000
[Epoch 39] Train-acc: 0.978, loss: 0.061 | Val-acc-top1: 0.932 | time: 12.7 | Speed: 133.05 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.973, loss: 0.060 | Val-acc-top1: 0.925 | time: 12.7 | Speed: 133.42 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.981, loss: 0.052 | Val-acc-top1: 0.934 | time: 12.8 | Speed: 132.75 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.972, loss: 0.070 | Val-acc-top1: 0.916 | time: 12.7 | Speed: 133.65 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.979, loss: 0.050 | Val-acc-top1: 0.918 | time: 12.7 | Speed: 133.26 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.981, loss: 0.058 | Val-acc-top1: 0.916 | time: 12.9 | Speed: 131.59 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.980, loss: 0.052 | Val-acc-top1: 0.934 | time: 12.8 | Speed: 132.92 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.978, loss: 0.053 | Val-acc-top1: 0.927 | time: 13.0 | Speed: 130.65 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.982, loss: 0.050 | Val-acc-top1: 0.946 | time: 13.0 | Speed: 130.03 samples/sec | lr: 0.00240100
[Epoch 48] Train-acc: 0.986, loss: 0.039 | Val-acc-top1: 0.951 | time: 12.7 | Speed: 133.08 samples/sec | lr: 0.00240100
[Epoch 49] Train-acc: 0.981, loss: 0.045 | Val-acc-top1: 0.920 | time: 12.7 | Speed: 133.30 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.982, loss: 0.050 | Val-acc-top1: 0.930 | time: 12.7 | Speed: 133.28 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.979, loss: 0.055 | Val-acc-top1: 0.932 | time: 12.7 | Speed: 133.25 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.979, loss: 0.050 | Val-acc-top1: 0.918 | time: 12.8 | Speed: 132.86 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.983, loss: 0.044 | Val-acc-top1: 0.918 | time: 12.7 | Speed: 133.21 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.978, loss: 0.052 | Val-acc-top1: 0.916 | time: 12.7 | Speed: 133.23 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.985, loss: 0.039 | Val-acc-top1: 0.925 | time: 12.7 | Speed: 133.29 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.978, loss: 0.054 | Val-acc-top1: 0.932 | time: 12.7 | Speed: 133.22 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.985, loss: 0.039 | Val-acc-top1: 0.927 | time: 12.8 | Speed: 132.91 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.988, loss: 0.033 | Val-acc-top1: 0.920 | time: 12.8 | Speed: 132.51 samples/sec | lr: 0.00168070
