Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='mobilenet0.25.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='mobilenet0.25', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_mobilenet0.25', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [199]	Speed: 1018.064893 samples/sec	accuracy=0.000781	lr=0.001599
Epoch[0] Batch [399]	Speed: 1128.552742 samples/sec	accuracy=0.001055	lr=0.003197
Epoch[0] Batch [599]	Speed: 1132.815047 samples/sec	accuracy=0.001120	lr=0.004796
Epoch[0] Batch [799]	Speed: 1121.154202 samples/sec	accuracy=0.001201	lr=0.006394
Epoch[0] Batch [999]	Speed: 1125.540102 samples/sec	accuracy=0.001250	lr=0.007993
Epoch[0] Batch [1199]	Speed: 1118.978149 samples/sec	accuracy=0.001348	lr=0.009592
Epoch[0] Batch [1399]	Speed: 1142.321774 samples/sec	accuracy=0.001395	lr=0.011190
Epoch[0] Batch [1599]	Speed: 1105.549910 samples/sec	accuracy=0.001431	lr=0.012789
Epoch[0] Batch [1799]	Speed: 1113.893820 samples/sec	accuracy=0.001545	lr=0.014387
Epoch[0] Batch [1999]	Speed: 1118.526344 samples/sec	accuracy=0.001586	lr=0.015986
Epoch[0] Batch [2199]	Speed: 1135.334396 samples/sec	accuracy=0.001641	lr=0.017585
Epoch[0] Batch [2399]	Speed: 1112.969733 samples/sec	accuracy=0.001807	lr=0.019183
Epoch[0] Batch [2599]	Speed: 1117.102795 samples/sec	accuracy=0.001989	lr=0.020782
Epoch[0] Batch [2799]	Speed: 1134.910036 samples/sec	accuracy=0.002201	lr=0.022380
Epoch[0] Batch [2999]	Speed: 1111.020839 samples/sec	accuracy=0.002411	lr=0.023979
Epoch[0] Batch [3199]	Speed: 1081.659779 samples/sec	accuracy=0.002664	lr=0.025577
Epoch[0] Batch [3399]	Speed: 1114.017997 samples/sec	accuracy=0.002937	lr=0.027176
Epoch[0] Batch [3599]	Speed: 1092.772923 samples/sec	accuracy=0.003231	lr=0.028775
Epoch[0] Batch [3799]	Speed: 1081.065513 samples/sec	accuracy=0.003520	lr=0.030373
Epoch[0] Batch [3999]	Speed: 1134.958896 samples/sec	accuracy=0.003844	lr=0.031972
Epoch[0] Batch [4199]	Speed: 1107.523632 samples/sec	accuracy=0.004193	lr=0.033570
Epoch[0] Batch [4399]	Speed: 1107.443283 samples/sec	accuracy=0.004631	lr=0.035169
Epoch[0] Batch [4599]	Speed: 1081.657949 samples/sec	accuracy=0.005029	lr=0.036768
Epoch[0] Batch [4799]	Speed: 1092.816110 samples/sec	accuracy=0.005509	lr=0.038366
Epoch[0] Batch [4999]	Speed: 1112.867889 samples/sec	accuracy=0.006044	lr=0.039965
Epoch[0] Batch [5199]	Speed: 1083.318675 samples/sec	accuracy=0.006546	lr=0.041563
Epoch[0] Batch [5399]	Speed: 1112.262096 samples/sec	accuracy=0.007130	lr=0.043162
Epoch[0] Batch [5599]	Speed: 1127.929746 samples/sec	accuracy=0.007773	lr=0.044761
Epoch[0] Batch [5799]	Speed: 1117.762334 samples/sec	accuracy=0.008384	lr=0.046359
Epoch[0] Batch [5999]	Speed: 1024.266476 samples/sec	accuracy=0.009087	lr=0.047958
Epoch[0] Batch [6199]	Speed: 1055.252087 samples/sec	accuracy=0.009752	lr=0.049556
Epoch[0] Batch [6399]	Speed: 1106.877394 samples/sec	accuracy=0.010406	lr=0.051155
Epoch[0] Batch [6599]	Speed: 1100.753613 samples/sec	accuracy=0.011136	lr=0.052754
Epoch[0] Batch [6799]	Speed: 1112.818052 samples/sec	accuracy=0.011892	lr=0.054352
Epoch[0] Batch [6999]	Speed: 1110.147834 samples/sec	accuracy=0.012709	lr=0.055951
Epoch[0] Batch [7199]	Speed: 1053.704433 samples/sec	accuracy=0.013482	lr=0.057549
Epoch[0] Batch [7399]	Speed: 1043.272751 samples/sec	accuracy=0.014296	lr=0.059148
Epoch[0] Batch [7599]	Speed: 1031.356050 samples/sec	accuracy=0.015095	lr=0.060747
Epoch[0] Batch [7799]	Speed: 1075.120925 samples/sec	accuracy=0.015928	lr=0.062345
Epoch[0] Batch [7999]	Speed: 1105.186320 samples/sec	accuracy=0.016796	lr=0.063944
Epoch[0] Batch [8199]	Speed: 1092.384913 samples/sec	accuracy=0.017734	lr=0.065542
Epoch[0] Batch [8399]	Speed: 1114.620474 samples/sec	accuracy=0.018678	lr=0.067141
Epoch[0] Batch [8599]	Speed: 1093.215078 samples/sec	accuracy=0.019566	lr=0.068740
Epoch[0] Batch [8799]	Speed: 1099.271053 samples/sec	accuracy=0.020471	lr=0.070338
Epoch[0] Batch [8999]	Speed: 1124.817386 samples/sec	accuracy=0.021382	lr=0.071937
Epoch[0] Batch [9199]	Speed: 1090.398456 samples/sec	accuracy=0.022300	lr=0.073535
Epoch[0] Batch [9399]	Speed: 1106.402140 samples/sec	accuracy=0.023273	lr=0.075134
Epoch[0] Batch [9599]	Speed: 1122.101516 samples/sec	accuracy=0.024279	lr=0.076732
Epoch[0] Batch [9799]	Speed: 1112.149553 samples/sec	accuracy=0.025210	lr=0.078331
Epoch[0] Batch [9999]	Speed: 1119.676882 samples/sec	accuracy=0.026250	lr=0.079930
[Epoch 0] training: accuracy=0.026305
[Epoch 0] speed: 1100 samples/sec	time cost: 1194.494883
[Epoch 0] validation: err-top1=0.927560 err-top5=0.802080
Epoch[1] Batch [199]	Speed: 1096.396646 samples/sec	accuracy=0.082305	lr=0.081600
Epoch[1] Batch [399]	Speed: 1126.733687 samples/sec	accuracy=0.080957	lr=0.083199
Epoch[1] Batch [599]	Speed: 1114.343394 samples/sec	accuracy=0.080755	lr=0.084797
Epoch[1] Batch [799]	Speed: 1098.383071 samples/sec	accuracy=0.081455	lr=0.086396
